date	rating
29-Aug-1976	1478
1-Sep-1976	1464
4-Sep-1976	1453
7-Sep-1976	1438
19-Sep-1976	1434
22-Sep-1976	1423
26-Sep-1976	1411
29-Sep-1976	1425
10-Oct-1976	1414
13-Oct-1976	1427
17-Oct-1976	1443
20-Oct-1976	1424
19-Oct-1977	1429
23-Oct-1977	1438
26-Oct-1977	1442
30-Oct-1977	1431
6-Nov-1977	1434
13-Nov-1977	1416
16-Nov-1977	1410
23-Nov-1977	1399
27-Nov-1977	1417
4-Dec-1977	1401
7-Dec-1977	1403
11-Dec-1977	1417
15-Dec-1977	1401
22-Sep-1979	1387
25-Sep-1979	1380
6-Oct-1979	1397
13-Oct-1979	1385
17-Oct-1979	1408
21-Oct-1979	1429
25-Oct-1979	1430
28-Oct-1979	1454
4-Nov-1979	1442
16-Jan-1982	1435
20-Jan-1982	1440
24-Jan-1982	1460
28-Jan-1982	1456
3-Feb-1982	1449
7-Feb-1982	1446
14-Feb-1982	1465
17-Feb-1982	1469
28-Feb-1982	1462
7-Mar-1982	1464
11-Mar-1982	1455
14-Mar-1982	1442
17-Mar-1982	1432
24-Mar-1982	1463
26-Jan-1983	1458
29-Jan-1983	1444
2-Feb-1983	1431
5-Feb-1983	1417
9-Feb-1983	1406
19-Feb-1983	1398
23-Feb-1983	1411
6-Mar-1983	1406
29-Jan-1984	1402
2-Feb-1984	1411
5-Feb-1984	1406
12-Feb-1984	1397
19-Feb-1984	1393
22-Feb-1984	1413
26-Feb-1984	1430
29-Feb-1984	1440
2-Mar-1984	1454
11-Mar-1984	1461
14-Mar-1984	1455
18-Mar-1984	1465
21-Mar-1984	1458
24-Mar-1984	1468
1-Apr-1984	1463
12-Oct-1986	1480
15-Oct-1986	1470
19-Oct-1986	1488
22-Oct-1986	1505
24-Oct-1986	1492
29-Oct-1986	1496
2-Nov-1986	1487
12-Nov-1986	1508
23-Nov-1986	1497
26-Nov-1986	1483
3-Dec-1986	1476
7-Dec-1986	1467
10-Dec-1986	1473
13-Dec-1986	1477
25-Jan-1987	1470
28-Jan-1987	1476
13-Sep-1987	1482
16-Sep-1987	1472
20-Sep-1987	1466
23-Sep-1987	1472
27-Sep-1987	1488
30-Sep-1987	1512
11-Oct-1987	1500
13-Oct-1987	1493
28-Oct-1987	1515
1-Nov-1987	1518
4-Nov-1987	1523
8-Nov-1987	1537
15-Nov-1987	1530
18-Nov-1987	1518
