date	rating
24-Jan-1999	1512
27-Jan-1999	1509
31-Jan-1999	1520
3-Feb-1999	1522
7-Feb-1999	1539
10-Feb-1999	1551
13-Feb-1999	1557
21-Feb-1999	1546
24-Feb-1999	1567
28-Feb-1999	1565
7-Mar-1999	1552
14-Mar-1999	1549
20-Mar-1999	1549
23-Mar-1999	1535
28-Mar-1999	1565
4-Apr-1999	1560
11-Apr-1999	1584
17-Apr-1999	1607
21-Apr-1999	1625
25-Apr-1999	1613
2-May-1999	1619
6-May-1999	1608
9-May-1999	1613
16-May-1999	1623
23-May-1999	1622
30-May-1999	1608
23-Jan-2000	1619
26-Jan-2000	1633
30-Jan-2000	1629
2-Feb-2000	1621
6-Feb-2000	1605
14-Feb-2000	1589
16-Feb-2000	1586
20-Feb-2000	1600
23-Feb-2000	1613
27-Feb-2000	1623
8-Mar-2000	1620
12-Mar-2000	1631
19-Mar-2000	1610
23-Mar-2000	1615
26-Mar-2000	1610
2-Apr-2000	1597
6-Apr-2000	1600
12-Apr-2000	1613
16-Apr-2000	1621
22-Apr-2000	1613
21-Jan-2001	1620
28-Jan-2001	1619
4-Feb-2001	1612
11-Feb-2001	1600
18-Feb-2001	1593
24-Feb-2001	1592
4-Mar-2001	1592
11-Mar-2001	1591
18-Mar-2001	1578
25-Mar-2001	1589
31-Mar-2001	1580
8-Apr-2001	1568
14-Apr-2001	1583
22-Apr-2001	1588
28-Apr-2001	1565
20-Jan-2002	1550
23-Jan-2002	1549
23-Jan-2002	1549
30-Jan-2002	1550
3-Feb-2002	1539
9-Feb-2002	1551
17-Feb-2002	1552
23-Feb-2002	1541
3-Mar-2002	1556
6-Mar-2002	1554
10-Mar-2002	1572
17-Mar-2002	1584
20-Mar-2002	1567
24-Mar-2002	1568
31-Mar-2002	1548
7-Apr-2002	1547
13-Apr-2002	1537
21-Apr-2002	1549
28-Apr-2002	1558
1-May-2002	1558
5-May-2002	1556
12-May-2002	1548
26-Jan-2003	1534
29-Jan-2003	1553
2-Feb-2003	1572
9-Feb-2003	1574
12-Feb-2003	1583
16-Feb-2003	1602
26-Feb-2003	1596
21-Jan-2004	1607
25-Jan-2004	1606
1-Feb-2004	1607
8-Feb-2004	1607
14-Feb-2004	1594
21-Feb-2004	1593
29-Feb-2004	1608
7-Mar-2004	1597
14-Mar-2004	1604
20-Mar-2004	1600
19-Jan-2005	1609
23-Jan-2005	1597
26-Jan-2005	1614
2-Feb-2005	1603
5-Feb-2005	1609
9-Feb-2005	1606
13-Feb-2005	1592
19-Feb-2005	1581
23-Feb-2005	1580
26-Feb-2005	1567
6-Mar-2005	1567
13-Mar-2005	1562
20-Mar-2005	1575
23-Mar-2005	1574
26-Mar-2005	1567
29-Mar-2005	1561
2-Apr-2005	1555
10-Apr-2005	1566
17-Apr-2005	1578
19-Jan-2013	1579
24-Jan-2013	1588
27-Jan-2013	1577
3-Feb-2013	1554
6-Feb-2013	1543
9-Feb-2013	1544
16-Feb-2013	1535
24-Feb-2013	1528
1-Mar-2013	1515
8-Mar-2013	1515
16-Mar-2013	1509
21-Mar-2013	1514
24-Mar-2013	1514
27-Mar-2013	1524
31-Mar-2013	1523
3-Apr-2013	1521
10-Apr-2013	1517
13-Apr-2013	1509
21-Apr-2013	1521
