date	rating
28-fev-1988	1504
6-mar-1988	1496
9-mar-1988	1498
13-mar-1988	1493
20-mar-1988	1512
23-mar-1988	1502
27-mar-1988	1493
30-mar-1988	1514
3-abr-1988	1514
10-abr-1988	1515
4-mai-1988	1506
8-mai-1988	1502
11-mai-1988	1494
15-mai-1988	1482
18-mai-1988	1485
22-mai-1988	1504
25-mai-1988	1493
29-mai-1988	1488
5-jun-1988	1483
12-jun-1988	1471
19-fev-1989	1477
26-fev-1989	1490
1-mar-1989	1495
5-mar-1989	1495
12-mar-1989	1486
22-mar-1989	1493
26-mar-1989	1507
29-mar-1989	1503
2-abr-1989	1496
5-abr-1989	1487
9-abr-1989	1491
16-abr-1989	1503
19-abr-1989	1503
23-abr-1989	1504
30-abr-1989	1521
3-mai-1989	1535
7-mai-1989	1545
14-mai-1989	1545
17-mai-1989	1545
21-mai-1989	1544
28-mai-1989	1545
31-mai-1989	1537
8-jun-1989	1552
11-jun-1989	1546
15-jun-1989	1538
28-jan-1990	1537
4-fev-1990	1554
7-fev-1990	1568
11-fev-1990	1567
18-fev-1990	1569
21-fev-1990	1557
4-mar-1990	1566
7-mar-1990	1575
11-mar-1990	1574
14-mar-1990	1574
18-mar-1990	1583
21-mar-1990	1582
25-mar-1990	1573
1-abr-1990	1577
8-abr-1990	1567
15-abr-1990	1569
18-abr-1990	1556
22-abr-1990	1576
25-abr-1990	1571
29-abr-1990	1576
2-mai-1990	1587
6-mai-1990	1578
12-mai-1990	1573
20-mai-1990	1580
23-mai-1990	1591
27-mai-1990	1600
30-mai-1990	1601
3-jun-1990	1602
6-jun-1990	1589
9-jun-1990	1585
13-jun-1990	1582
17-jun-1990	1592
21-jun-1990	1580
24-jul-1991	1578
28-jul-1991	1576
31-jul-1991	1573
4-ago-1991	1578
7-ago-1991	1566
11-ago-1991	1566
14-ago-1991	1555
18-ago-1991	1567
25-ago-1991	1554
27-ago-1991	1550
1-set-1991	1541
4-set-1991	1541
8-set-1991	1525
15-set-1991	1527
18-set-1991	1537
22-set-1991	1519
29-set-1991	1540
5-out-1991	1554
9-out-1991	1551
12-out-1991	1560
16-out-1991	1560
19-out-1991	1558
23-out-1991	1557
27-out-1991	1545
31-out-1991	1552
2-nov-1991	1548
5-jul-1992	1537
12-jul-1992	1548
19-jul-1992	1548
26-jul-1992	1538
2-ago-1992	1539
13-ago-1992	1541
16-ago-1992	1549
19-ago-1992	1557
23-ago-1992	1555
30-ago-1992	1556
2-set-1992	1555
6-set-1992	1573
9-set-1992	1579
13-set-1992	1589
16-set-1992	1599
20-set-1992	1580
24-set-1992	1581
26-set-1992	1583
30-set-1992	1590
4-out-1992	1577
7-out-1992	1590
11-out-1992	1599
18-out-1992	1605
21-out-1992	1605
24-out-1992	1611
1-nov-1992	1599
27-jan-1993	1598
31-jan-1993	1588
3-fev-1993	1592
6-fev-1993	1608
10-fev-1993	1625
14-fev-1993	1609
17-fev-1993	1612
21-fev-1993	1611
25-fev-1993	1616
28-fev-1993	1631
3-mar-1993	1649
7-mar-1993	1635
10-mar-1993	1648
14-mar-1993	1662
17-mar-1993	1664
21-mar-1993	1666
24-mar-1993	1674
28-mar-1993	1698
31-mar-1993	1694
4-abr-1993	1691
7-abr-1993	1696
11-abr-1993	1705
14-abr-1993	1695
18-abr-1993	1674
22-abr-1993	1678
25-abr-1993	1685
28-abr-1993	1672
2-mai-1993	1672
6-mai-1993	1666
9-mai-1993	1675
4-set-1993	1694
11-set-1993	1707
15-set-1993	1705
18-set-1993	1723
22-set-1993	1702
26-set-1993	1712
29-set-1993	1707
6-out-1993	1689
9-out-1993	1677
13-out-1993	1694
16-out-1993	1691
20-out-1993	1698
24-out-1993	1693
27-out-1993	1677
23-jan-1994	1685
26-jan-1994	1703
30-jan-1994	1701
3-fev-1994	1715
6-fev-1994	1702
10-fev-1994	1708
12-fev-1994	1695
16-fev-1994	1680
20-fev-1994	1678
23-fev-1994	1680
27-fev-1994	1693
2-mar-1994	1687
6-mar-1994	1686
9-mar-1994	1687
13-mar-1994	1677
20-mar-1994	1659
24-mar-1994	1651
27-mar-1994	1661
31-mar-1994	1651
5-abr-1994	1644
10-abr-1994	1643
12-abr-1994	1649
17-abr-1994	1668
20-abr-1994	1670
24-abr-1994	1654
27-abr-1994	1664
1-mai-1994	1676
9-mai-1994	1675
11-mai-1994	1678
15-mai-1994	1678
14-ago-1994	1659
17-ago-1994	1674
21-ago-1994	1682
24-ago-1994	1673
28-ago-1994	1657
4-set-1994	1642
7-set-1994	1638
15-set-1994	1634
18-set-1994	1637
24-set-1994	1661
5-out-1994	1637
9-out-1994	1624
15-out-1994	1624
20-out-1994	1644
23-out-1994	1652
28-out-1994	1639
30-out-1994	1635
3-nov-1994	1632
6-nov-1994	1642
9-nov-1994	1642
16-nov-1994	1642
20-nov-1994	1628
23-nov-1994	1608
27-nov-1994	1631
29-jan-1995	1623
5-fev-1995	1639
9-fev-1995	1631
12-fev-1995	1647
23-fev-1995	1636
5-mar-1995	1636
8-mar-1995	1639
12-mar-1995	1623
15-mar-1995	1616
19-mar-1995	1624
26-mar-1995	1614
30-mar-1995	1637
2-abr-1995	1638
5-abr-1995	1656
8-abr-1995	1652
15-abr-1995	1653
19-abr-1995	1649
23-abr-1995	1669
26-abr-1995	1677
30-abr-1995	1691
7-mai-1995	1679
10-mai-1995	1687
14-mai-1995	1681
17-mai-1995	1679
21-mai-1995	1676
24-mai-1995	1658
28-mai-1995	1662
3-jun-1995	1652
7-jun-1995	1641
10-jun-1995	1653
18-jun-1995	1640
25-jun-1995	1631
1-jul-1995	1625
9-jul-1995	1614
15-jul-1995	1618
23-jul-1995	1634
27-ago-1995	1623
30-ago-1995	1614
3-set-1995	1604
7-set-1995	1594
10-set-1995	1572
13-set-1995	1557
17-set-1995	1559
20-set-1995	1589
24-set-1995	1581
26-set-1995	1571
8-out-1995	1563
11-out-1995	1554
14-out-1995	1543
22-out-1995	1561
29-out-1995	1561
5-nov-1995	1550
9-nov-1995	1542
12-nov-1995	1533
18-nov-1995	1526
24-nov-1995	1520
26-nov-1995	1503
2-dez-1995	1494
9-dez-1995	1500
28-jan-1996	1498
1-fev-1996	1501
4-fev-1996	1495
8-fev-1996	1503
11-fev-1996	1504
17-fev-1996	1524
25-fev-1996	1517
2-mar-1996	1525
7-mar-1996	1531
10-mar-1996	1551
13-mar-1996	1578
17-mar-1996	1589
20-mar-1996	1581
24-mar-1996	1591
31-mar-1996	1596
6-abr-1996	1584
10-abr-1996	1583
14-abr-1996	1585
18-abr-1996	1580
20-abr-1996	1570
28-abr-1996	1556
1-mai-1996	1559
5-mai-1996	1556
8-mai-1996	1547
12-mai-1996	1548
15-mai-1996	1551
18-mai-1996	1553
25-mai-1996	1558
2-jun-1996	1569
6-jun-1996	1565
9-fev-1997	1577
15-fev-1997	1569
19-fev-1997	1555
23-fev-1997	1575
26-fev-1997	1564
1-mar-1997	1559
6-mar-1997	1555
9-mar-1997	1561
16-mar-1997	1562
20-mar-1997	1566
23-mar-1997	1577
29-mar-1997	1593
5-abr-1997	1601
9-abr-1997	1608
13-abr-1997	1603
20-abr-1997	1622
23-abr-1997	1603
26-abr-1997	1607
1-mai-1997	1615
4-mai-1997	1595
10-mai-1997	1620
14-mai-1997	1627
18-mai-1997	1621
6-jul-1997	1608
9-jul-1997	1595
13-jul-1997	1599
16-jul-1997	1573
20-jul-1997	1580
27-jul-1997	1574
2-ago-1997	1589
10-ago-1997	1590
16-ago-1997	1592
20-ago-1997	1596
31-ago-1997	1587
3-set-1997	1594
6-set-1997	1589
11-set-1997	1572
17-set-1997	1590
24-set-1997	1590
28-set-1997	1575
1-out-1997	1564
5-out-1997	1568
12-out-1997	1553
19-out-1997	1546
26-out-1997	1533
2-nov-1997	1523
5-nov-1997	1514
9-nov-1997	1522
18-jan-1998	1502
20-jan-1998	1505
24-jan-1998	1492
28-jan-1998	1497
31-jan-1998	1509
