date	rating
15-fev-1971	1486
18-fev-1971	1491
6-mar-1971	1505
13-mar-1971	1525
20-mar-1971	1526
31-mar-1971	1525
25-abr-1971	1508
5-mai-1971	1532
12-mai-1971	1526
19-mai-1971	1520
1-mar-1973	1488
11-mar-1973	1472
14-mar-1973	1456
18-mar-1973	1459
22-mar-1973	1475
24-mar-1973	1475
2-mar-1974	1495
5-mar-1974	1472
19-mar-1974	1462
26-mar-1974	1487
2-abr-1974	1468
4-abr-1974	1448
26-fev-1975	1450
12-mar-1975	1450
16-mar-1975	1452
26-mar-1975	1484
1-abr-1975	1508
8-abr-1975	1535
7-mai-1975	1514
16-mai-1975	1532
27-mai-1975	1557
3-jun-1975	1559
18-jun-1975	1581
25-jun-1975	1568
29-jun-1975	1556
9-mar-1976	1568
13-mar-1976	1573
18-mar-1976	1603
24-mar-1976	1615
31-mar-1976	1616
4-abr-1976	1598
14-mar-1978	1595
22-mar-1978	1605
26-mar-1978	1613
9-abr-1978	1623
16-abr-1978	1613
19-abr-1978	1618
2-mar-1994	1605
8-mar-1994	1615
15-mar-1994	1630
23-mar-1994	1611
12-abr-1994	1606
15-abr-1994	1621
21-abr-1994	1641
28-abr-1994	1644
29-jul-1994	1652
3-ago-1994	1645
14-fev-2006	1631
21-fev-2006	1611
28-fev-2006	1621
29-mar-2006	1631
11-abr-2006	1633
19-abr-2006	1639
16-fev-2011	1638
3-mar-2011	1607
10-mar-2011	1626
24-mar-2011	1614
6-abr-2011	1596
14-abr-2011	1582
8-fev-2012	1605
21-fev-2012	1619
6-mar-2012	1620
28-mar-2012	1606
10-abr-2012	1616
17-abr-2012	1599
