date	rating
10-Feb-1962	1527
14-Feb-1962	1550
18-Feb-1962	1546
22-Feb-1962	1511
8-Jul-1962	1524
12-Jul-1962	1521
2-Mar-1966	1519
5-Mar-1966	1542
8-Mar-1966	1540
11-Mar-1966	1565
16-Mar-1966	1537
20-Mar-1966	1534
30-Mar-1966	1555
2-Apr-1966	1574
16-Apr-1966	1560
19-Apr-1966	1545
4-Mar-1967	1567
14-Mar-1967	1564
18-Mar-1967	1582
22-Mar-1967	1562
25-Mar-1967	1580
12-Apr-1967	1583
16-Apr-1967	1580
19-Apr-1967	1559
23-Apr-1967	1570
26-Apr-1967	1586
10-May-1967	1567
17-May-1967	1541
11-Feb-1968	1524
18-Feb-1968	1536
21-Feb-1968	1547
24-Feb-1968	1568
27-Feb-1968	1563
2-Mar-1968	1573
13-Mar-1968	1598
17-Mar-1968	1570
21-Mar-1968	1558
31-Mar-1968	1551
26-Feb-1969	1525
1-Mar-1969	1546
3-Mar-1969	1526
6-Mar-1969	1539
11-Mar-1969	1523
13-Mar-1969	1540
18-Mar-1969	1563
20-Mar-1969	1578
3-Apr-1969	1593
8-Apr-1969	1606
15-Apr-1969	1582
18-Apr-1969	1580
1-May-1969	1564
7-May-1969	1549
17-Feb-1974	1520
24-Feb-1974	1535
3-Mar-1974	1533
10-Mar-1974	1532
3-Apr-1974	1512
9-Apr-1974	1498
14-Mar-1984	1519
21-Mar-1984	1505
25-Mar-1984	1520
25-Apr-1984	1536
6-May-1984	1535
13-May-1984	1559
7-Jun-1984	1566
26-Jun-1984	1559
29-Jun-1984	1545
26-Mar-1986	1544
1-Apr-1986	1534
4-Apr-1986	1517
9-Apr-1986	1502
15-Apr-1986	1488
25-Apr-1986	1477
20-Jul-1988	1498
28-Jul-1988	1511
31-Jul-1988	1510
11-Aug-1988	1514
16-Aug-1988	1528
26-Aug-1988	1544
7-Sep-1988	1550
14-Sep-1988	1556
11-Apr-1990	1558
17-Apr-1990	1554
20-Apr-1990	1535
4-May-1990	1553
8-May-1990	1571
18-May-1990	1566
8-Aug-1990	1582
15-Aug-1990	1577
22-Aug-1990	1559
29-Aug-1990	1564
21-Feb-1992	1570
26-Feb-1992	1551
9-Mar-1992	1555
13-Mar-1992	1592
20-Mar-1992	1595
25-Mar-1992	1614
7-Apr-1992	1614
10-Apr-1992	1616
28-Apr-1992	1618
5-May-1992	1605
24-Feb-1993	1608
2-Mar-1993	1585
5-Mar-1993	1600
17-Mar-1993	1602
26-Mar-1993	1616
2-Apr-1993	1644
7-Apr-1993	1666
14-Apr-1993	1649
21-Apr-1993	1669
28-Apr-1993	1681
5-May-1993	1699
12-May-1993	1701
19-May-1993	1685
26-May-1993	1718
10-Feb-1995	1679
21-Feb-1995	1644
24-Feb-1995	1621
15-Mar-1995	1618
21-Mar-1995	1648
4-Apr-1995	1648
12-Apr-1995	1668
27-Apr-1995	1686
3-May-1995	1665
13-Mar-1996	1635
19-Mar-1996	1627
26-Mar-1996	1613
29-Mar-1996	1601
3-Apr-1996	1601
9-Apr-1996	1623
19-Feb-1997	1625
25-Feb-1997	1642
4-Mar-1997	1656
12-Mar-1997	1634
18-Mar-1997	1626
20-Mar-1997	1603
6-May-1997	1624
14-May-1997	1642
21-May-1997	1659
28-May-1997	1638
25-Feb-1998	1626
3-Mar-1998	1624
6-Mar-1998	1605
18-Mar-1998	1588
24-Mar-1998	1603
31-Mar-1998	1623
25-Feb-1999	1608
3-Mar-1999	1606
10-Mar-1999	1619
17-Mar-1999	1642
25-Mar-1999	1639
8-Apr-1999	1655
14-Apr-1999	1650
21-Apr-1999	1619
22-Feb-2000	1620
2-Mar-2000	1606
9-Mar-2000	1581
5-Apr-2000	1557
12-Apr-2000	1542
19-Apr-2000	1575
14-Feb-2002	1599
27-Feb-2002	1585
7-Mar-2002	1554
13-Mar-2002	1571
2-Apr-2002	1573
10-Apr-2002	1595
25-Apr-2002	1604
1-May-2002	1611
6-Feb-2003	1598
19-Feb-2003	1576
11-Mar-2003	1555
18-Mar-2003	1574
27-Mar-2003	1544
15-Apr-2003	1548
8-Feb-2006	1565
22-Feb-2006	1574
21-Mar-2006	1591
30-Mar-2006	1607
6-Apr-2006	1598
19-Apr-2006	1584
21-Feb-2008	1574
26-Feb-2008	1587
12-Mar-2008	1574
26-Mar-2008	1556
1-Apr-2008	1570
17-Apr-2008	1601
26-Jan-2010	1582
9-Feb-2010	1594
24-Feb-2010	1585
9-Mar-2010	1585
17-Mar-2010	1582
24-Mar-2010	1580
14-Apr-2010	1617
21-Apr-2010	1618
16-Feb-2011	1619
3-Mar-2011	1638
9-Mar-2011	1609
22-Mar-2011	1628
7-Apr-2011	1631
14-Apr-2011	1644
9-Feb-2012	1637
23-Feb-2012	1634
6-Mar-2012	1634
28-Mar-2012	1648
4-Apr-2012	1613
17-Apr-2012	1578
