date	rating
19-Feb-1965	1495
22-Feb-1965	1509
6-Mar-1965	1504
10-Mar-1965	1474
5-Feb-1966	1495
8-Feb-1966	1494
12-Feb-1966	1494
17-Feb-1966	1514
23-Feb-1966	1515
2-Mar-1966	1490
8-Mar-1966	1503
13-Mar-1966	1485
18-Mar-1966	1471
23-Mar-1966	1468
4-Mar-1967	1485
11-Mar-1967	1509
15-Mar-1967	1482
25-Mar-1967	1503
28-Mar-1967	1514
28-Apr-1967	1492
3-May-1967	1497
16-May-1967	1511
31-May-1967	1539
7-Jun-1967	1528
13-Jun-1967	1548
15-Jun-1967	1567
29-Jun-1967	1571
12-Jul-1967	1583
18-Jul-1967	1572
24-Jan-1968	1593
28-Jan-1968	1589
15-Feb-1968	1586
22-Feb-1968	1608
27-Feb-1968	1625
2-Mar-1968	1621
14-Mar-1968	1635
21-Mar-1968	1605
9-Apr-1968	1591
11-Apr-1968	1564
15-Feb-1970	1537
15-Feb-1970	1533
22-Feb-1970	1557
26-Feb-1970	1562
28-Feb-1970	1575
1-Mar-1970	1553
7-Mar-1970	1534
11-Mar-1970	1504
12-Mar-1970	1528
16-Mar-1970	1551
19-Mar-1970	1520
20-Mar-1970	1519
11-Apr-1970	1508
14-Apr-1970	1498
22-Apr-1970	1491
25-Apr-1970	1478
13-Feb-1971	1481
26-Feb-1971	1497
4-Mar-1971	1505
16-Mar-1971	1504
31-Mar-1971	1532
14-Apr-1971	1526
22-Apr-1971	1535
6-May-1971	1523
11-May-1971	1513
25-Feb-1972	1524
7-Mar-1972	1510
11-Mar-1972	1532
14-Mar-1972	1528
21-Mar-1972	1525
26-Mar-1972	1543
11-Apr-1972	1535
14-Apr-1972	1579
25-Apr-1972	1587
29-Apr-1972	1593
17-May-1972	1597
24-May-1972	1586
2-Feb-1973	1582
14-Feb-1973	1595
19-Feb-1973	1571
2-Mar-1973	1554
9-Mar-1973	1530
13-Mar-1973	1517
8-Mar-1975	1517
18-Mar-1975	1539
21-Mar-1975	1561
26-Mar-1975	1557
1-Apr-1975	1578
6-Apr-1975	1598
4-May-1975	1596
16-May-1975	1578
22-May-1975	1593
3-Jun-1975	1591
24-Feb-1979	1614
3-Mar-1979	1648
13-Mar-1979	1625
21-Mar-1979	1635
8-Apr-1979	1652
11-Apr-1979	1627
12-Mar-1983	1620
19-Mar-1983	1616
30-Mar-1983	1612
13-Apr-1983	1590
24-Apr-1983	1565
27-Apr-1983	1563
15-May-1985	1576
7-Jul-1985	1552
14-Jul-1985	1528
19-Jul-1985	1543
2-Aug-1985	1547
27-Apr-1986	1566
10-May-1986	1527
13-May-1986	1501
18-May-1986	1520
21-May-1986	1551
25-May-1986	1533
1-Jul-1988	1530
12-Jul-1988	1538
18-Jul-1988	1560
3-Aug-1988	1578
23-Aug-1988	1583
26-Aug-1988	1590
7-Sep-1988	1580
14-Sep-1988	1585
12-Feb-1989	1566
20-Feb-1989	1586
28-Feb-1989	1605
8-Mar-1989	1627
14-Mar-1989	1607
17-Mar-1989	1588
6-Apr-1989	1595
13-Apr-1989	1586
20-Feb-1991	1595
6-Mar-1991	1558
15-Mar-1991	1555
22-Mar-1991	1557
2-Apr-1991	1532
5-Apr-1991	1536
17-Apr-1991	1540
24-Apr-1991	1530
10-Feb-1993	1548
19-Feb-1993	1570
5-Mar-1993	1587
10-Mar-1993	1582
23-Mar-1993	1577
26-Mar-1993	1571
7-Apr-1993	1588
14-Apr-1993	1561
2-Mar-1994	1542
8-Mar-1994	1544
11-Mar-1994	1513
23-Mar-1994	1524
8-Apr-1994	1526
15-Apr-1994	1539
20-Apr-1994	1554
27-Apr-1994	1530
13-Mar-1996	1555
23-Mar-1996	1537
30-Mar-1996	1535
7-Apr-1996	1520
12-Apr-1996	1497
16-Apr-1996	1517
24-Feb-1999	1535
4-Mar-1999	1565
10-Mar-1999	1552
17-Mar-1999	1552
24-Mar-1999	1539
8-Apr-1999	1523
14-Apr-1999	1530
21-Apr-1999	1513
22-Feb-2000	1496
2-Mar-2000	1517
9-Mar-2000	1505
16-Mar-2000	1510
21-Mar-2000	1490
6-Apr-2000	1479
6-Feb-2001	1469
21-Feb-2001	1451
15-Mar-2001	1441
20-Mar-2001	1450
5-Apr-2001	1443
19-Apr-2001	1449
18-Feb-2003	1454
26-Feb-2003	1475
19-Mar-2003	1461
25-Mar-2003	1466
8-Apr-2003	1462
16-Apr-2003	1468
24-Jan-2006	1468
31-Jan-2006	1467
7-Feb-2006	1469
16-Feb-2006	1459
7-Mar-2006	1450
14-Mar-2006	1443
6-Apr-2006	1426
18-Apr-2006	1428
11-Feb-2009	1420
19-Feb-2009	1442
10-Mar-2009	1443
18-Mar-2009	1444
7-Apr-2009	1467
28-Apr-2009	1447
11-Feb-2010	1465
18-Feb-2010	1490
25-Feb-2010	1495
23-Mar-2010	1500
6-Apr-2010	1497
15-Apr-2010	1498
28-Apr-2010	1508
4-May-2010	1517
