date	rating
27-Feb-1980	1508
1-Mar-1980	1530
14-Mar-1980	1547
27-Mar-1980	1567
9-Apr-1980	1577
25-Apr-1980	1583
28-Apr-1980	1589
13-Jun-1980	1584
18-Jun-1980	1579
25-Jun-1980	1573
16-Jul-1980	1569
13-Feb-1994	1575
9-Mar-1994	1581
17-Mar-1994	1607
23-Mar-1994	1626
31-Mar-1994	1655
7-Apr-1994	1644
21-Apr-1994	1638
27-Apr-1994	1632
27-Jul-1994	1624
3-Aug-1994	1635
10-Aug-1994	1616
17-Aug-1994	1629
24-Aug-1994	1651
31-Aug-1994	1642
26-Apr-1995	1672
3-May-1995	1672
26-Jul-1995	1674
2-Aug-1995	1677
26-Feb-1997	1655
2-Mar-1997	1666
12-Mar-1997	1679
18-Mar-1997	1698
4-Apr-1997	1691
23-Apr-1997	1686
8-May-1997	1667
24-Feb-1999	1672
9-Mar-1999	1666
11-Mar-1999	1651
17-Mar-1999	1653
23-Mar-1999	1665
8-Apr-1999	1688
14-Apr-1999	1682
21-Apr-1999	1698
5-May-1999	1677
12-May-1999	1695
6-Feb-2001	1705
22-Feb-2001	1720
8-Mar-2001	1693
22-Mar-2001	1656
5-Apr-2001	1663
19-Apr-2001	1641
5-Feb-2002	1636
26-Feb-2002	1645
5-Mar-2002	1643
13-Mar-2002	1624
20-Mar-2002	1632
11-Apr-2002	1631
10-Feb-2004	1625
25-Feb-2004	1604
9-Mar-2004	1626
17-Mar-2004	1600
6-Apr-2004	1610
22-Apr-2004	1580
7-Feb-2006	1605
14-Feb-2006	1623
7-Mar-2006	1632
14-Mar-2006	1640
11-Apr-2006	1656
18-Apr-2006	1655
27-Apr-2006	1679
3-May-2006	1678
9-May-2006	1678
20-Jul-2006	1663
30-Jan-2007	1684
6-Feb-2007	1694
13-Feb-2007	1700
28-Feb-2007	1696
14-Mar-2007	1728
28-Mar-2007	1729
12-Apr-2007	1699
19-Apr-2007	1704
2-May-2007	1679
9-May-2007	1705
10-Feb-2010	1733
23-Feb-2010	1736
16-Mar-2010	1731
25-Mar-2010	1742
31-Mar-2010	1718
15-Apr-2010	1723
27-Apr-2010	1690
4-May-2010	1711
15-Feb-2011	1724
3-Mar-2011	1704
10-Mar-2011	1685
24-Mar-2011	1698
7-Apr-2011	1695
14-Apr-2011	1711
7-Feb-2012	1729
22-Feb-2012	1748
7-Mar-2012	1706
22-Mar-2012	1714
11-Apr-2012	1730
17-Apr-2012	1698
12-Feb-2013	1675
20-Feb-2013	1688
26-Feb-2013	1698
12-Mar-2013	1712
2-Apr-2013	1721
9-Apr-2013	1713
24-Apr-2013	1724
15-May-2013	1704
