date	rating
1-Jul-1979	1492
4-Jul-1979	1493
8-Jul-1979	1493
11-Jul-1979	1475
14-Jul-1979	1474
18-Jul-1979	1468
22-Jul-1979	1456
25-Jul-1979	1445
29-Jul-1979	1462
1-Aug-1979	1462
5-Aug-1979	1454
9-Aug-1979	1438
12-Aug-1979	1435
15-Aug-1979	1429
19-Aug-1979	1422
22-Aug-1979	1418
26-Aug-1979	1414
29-Aug-1979	1411
2-Sep-1979	1405
5-Sep-1979	1399
9-Sep-1979	1410
12-Sep-1979	1413
16-Sep-1979	1410
18-Sep-1979	1406
20-Sep-1979	1413
23-Sep-1979	1430
26-Sep-1979	1422
3-Oct-1979	1434
7-Oct-1979	1423
11-Oct-1979	1427
14-Oct-1979	1432
17-Oct-1979	1435
20-Oct-1979	1431
24-Oct-1979	1425
28-Oct-1979	1427
30-Oct-1979	1429
1-Nov-1979	1452
4-Nov-1979	1442
