date	rating
16-out-1977	1506
23-out-1977	1508
30-out-1977	1488
2-nov-1977	1474
6-nov-1977	1470
9-nov-1977	1448
13-nov-1977	1449
20-nov-1977	1440
26-nov-1977	1431
4-dez-1977	1453
11-dez-1977	1439
15-dez-1977	1428
18-dez-1977	1433
26-mar-1978	1432
6-abr-1978	1427
9-abr-1978	1442
16-abr-1978	1445
20-abr-1978	1432
23-abr-1978	1425
27-abr-1978	1428
3-mai-1978	1451
7-mai-1978	1440
10-mai-1978	1460
14-mai-1978	1454
21-mai-1978	1436
28-mai-1978	1449
7-jun-1978	1429
13-jun-1978	1433
24-jun-1978	1445
23-set-1979	1441
30-set-1979	1460
4-out-1979	1468
6-out-1979	1488
10-out-1979	1489
14-out-1979	1488
17-out-1979	1514
28-out-1979	1519
4-nov-1979	1529
8-nov-1979	1548
11-nov-1979	1546
15-nov-1979	1553
17-nov-1979	1550
21-nov-1979	1548
25-nov-1979	1560
29-nov-1979	1559
24-fev-1980	1542
27-fev-1980	1555
2-mar-1980	1555
5-mar-1980	1544
9-mar-1980	1533
15-mar-1980	1523
19-mar-1980	1532
23-mar-1980	1536
30-mar-1980	1528
17-jan-1981	1523
22-jan-1981	1517
25-jan-1981	1520
28-jan-1981	1508
1-fev-1981	1524
4-fev-1981	1506
11-fev-1981	1532
14-fev-1981	1526
21-fev-1981	1515
23-jan-1983	1518
30-jan-1983	1513
2-fev-1983	1497
5-fev-1983	1489
10-fev-1983	1481
19-fev-1983	1497
23-fev-1983	1532
26-fev-1983	1547
13-mar-1983	1539
16-mar-1983	1530
19-mar-1983	1531
26-mar-1983	1525
30-mar-1983	1503
2-abr-1983	1535
27-jan-1985	1523
30-jan-1985	1513
2-fev-1985	1506
6-fev-1985	1519
10-fev-1985	1492
13-fev-1985	1481
24-fev-1985	1492
27-fev-1985	1490
3-mar-1985	1491
6-mar-1985	1493
10-mar-1985	1497
17-mar-1985	1510
21-mar-1985	1528
24-mar-1985	1517
27-mar-1985	1519
31-mar-1985	1530
3-abr-1985	1515
6-abr-1985	1531
10-abr-1985	1546
14-abr-1985	1520
17-abr-1985	1523
21-abr-1985	1505
