date	rating
5-jun-1949	1489
12-jun-1949	1486
26-jun-1949	1484
3-jul-1949	1479
10-jul-1949	1472
17-jul-1949	1480
24-jul-1949	1464
14-ago-1949	1451
21-ago-1949	1447
28-ago-1949	1453
4-set-1949	1481
11-set-1949	1495
17-set-1949	1502
25-set-1949	1529
2-out-1949	1521
16-out-1949	1526
30-out-1949	1517
6-nov-1949	1522
13-nov-1949	1503
19-nov-1949	1524
27-nov-1949	1537
11-dez-1949	1557
20-ago-1950	1566
3-set-1950	1580
10-set-1950	1566
17-set-1950	1558
24-set-1950	1565
1-out-1950	1558
8-out-1950	1566
14-out-1950	1550
22-out-1950	1534
29-out-1950	1548
4-nov-1950	1543
19-nov-1950	1537
26-nov-1950	1541
3-dez-1950	1526
9-dez-1950	1522
17-dez-1950	1510
23-dez-1950	1514
30-dez-1950	1534
7-jan-1951	1544
14-jan-1951	1538
21-jan-1951	1529
28-jan-1951	1524
3-jun-1951	1540
10-jun-1951	1531
17-jun-1951	1523
29-jul-1951	1533
5-ago-1951	1543
12-ago-1951	1543
18-ago-1951	1537
25-ago-1951	1532
2-set-1951	1520
9-set-1951	1526
16-set-1951	1536
23-set-1951	1536
30-set-1951	1535
7-out-1951	1542
20-out-1951	1530
28-out-1951	1525
4-nov-1951	1522
18-nov-1951	1532
24-nov-1951	1510
2-dez-1951	1519
9-dez-1951	1524
16-dez-1951	1519
23-dez-1951	1508
30-dez-1951	1495
5-jan-1952	1477
13-jan-1952	1467
19-jan-1952	1461
25-jan-1952	1455
31-ago-1952	1444
7-set-1952	1455
14-set-1952	1462
17-set-1952	1455
20-set-1952	1443
28-set-1952	1454
5-out-1952	1461
12-out-1952	1462
19-out-1952	1477
26-out-1952	1496
1-nov-1952	1496
5-nov-1952	1504
9-nov-1952	1483
16-nov-1952	1508
19-nov-1952	1500
23-nov-1952	1511
26-nov-1952	1502
30-nov-1952	1499
7-dez-1952	1493
10-dez-1952	1509
14-dez-1952	1521
17-dez-1952	1513
21-dez-1952	1518
28-dez-1952	1535
4-jan-1953	1532
11-jan-1953	1545
18-jan-1953	1558
21-jan-1953	1547
25-jan-1953	1534
31-jan-1953	1512
19-jul-1953	1502
26-jul-1953	1507
2-ago-1953	1513
16-ago-1953	1511
19-ago-1953	1522
23-ago-1953	1535
30-ago-1953	1533
2-set-1953	1547
6-set-1953	1539
13-set-1953	1537
20-set-1953	1544
27-set-1953	1558
4-out-1953	1562
10-out-1953	1550
1-nov-1953	1538
8-nov-1953	1534
29-nov-1953	1555
6-dez-1953	1557
13-dez-1953	1569
20-dez-1953	1564
27-dez-1953	1560
2-jan-1954	1546
10-jan-1954	1541
17-jan-1954	1558
20-jan-1954	1554
24-jan-1954	1536
31-jan-1954	1554
7-fev-1954	1543
15-ago-1954	1558
22-ago-1954	1548
29-ago-1954	1535
7-set-1954	1517
12-set-1954	1528
19-set-1954	1522
26-set-1954	1519
2-out-1954	1509
10-out-1954	1518
