date	rating
23-Aug-1959	1500
30-Aug-1959	1500
1-Sep-1959	1487
21-Aug-1960	1475
28-Aug-1960	1501
30-Aug-1960	1523
11-Sep-1960	1500
13-Sep-1960	1501
16-Jul-1961	1484
23-Jul-1961	1487
5-Sep-1962	1476
9-Sep-1962	1460
21-Jul-1963	1464
28-Jul-1963	1468
30-Jul-1963	1454
14-Jul-1966	1440
24-Jul-1966	1431
30-Jul-1967	1434
2-Aug-1967	1419
6-Aug-1967	1407
9-Aug-1967	1392
13-Aug-1967	1407
16-Aug-1967	1410
10-Sep-1972	1412
13-Sep-1972	1408
17-Sep-1972	1405
20-Sep-1972	1408
24-Sep-1972	1404
27-Sep-1972	1414
1-Oct-1972	1409
4-Oct-1972	1419
8-Oct-1972	1427
11-Oct-1972	1443
15-Oct-1972	1435
18-Oct-1972	1447
22-Oct-1972	1439
25-Oct-1972	1435
29-Oct-1972	1452
1-Nov-1972	1446
5-Nov-1972	1442
8-Nov-1972	1437
12-Nov-1972	1465
16-Nov-1972	1457
19-Nov-1972	1461
22-Nov-1972	1454
26-Nov-1972	1449
29-Nov-1972	1444
3-Dec-1972	1454
29-Aug-1976	1447
1-Sep-1976	1442
4-Sep-1976	1443
7-Sep-1976	1430
12-Sep-1976	1436
19-Sep-1976	1429
22-Sep-1976	1432
26-Sep-1976	1431
10-Oct-1976	1423
13-Oct-1976	1404
17-Oct-1976	1395
23-Oct-1976	1426
16-Oct-1977	1441
20-Oct-1977	1460
27-Oct-1977	1467
30-Oct-1977	1488
2-Nov-1977	1482
5-Nov-1977	1478
9-Nov-1977	1475
20-Nov-1977	1503
24-Nov-1977	1501
27-Nov-1977	1491
1-Dec-1977	1507
11-Dec-1977	1516
14-Dec-1977	1494
17-Dec-1977	1492
29-Mar-1978	1500
2-Apr-1978	1497
6-Apr-1978	1501
10-Apr-1978	1484
13-Apr-1978	1486
16-Apr-1978	1482
23-Apr-1978	1483
26-Apr-1978	1501
30-Apr-1978	1509
4-May-1978	1496
10-May-1978	1506
14-May-1978	1500
21-May-1978	1502
27-May-1978	1502
30-May-1978	1499
4-Jun-1978	1512
17-Jun-1978	1522
22-Jun-1978	1521
25-Sep-1979	1542
30-Sep-1979	1554
3-Oct-1979	1552
6-Oct-1979	1563
14-Oct-1979	1560
17-Oct-1979	1544
21-Oct-1979	1529
28-Oct-1979	1550
4-Nov-1979	1530
11-Nov-1979	1517
15-Nov-1979	1506
18-Nov-1979	1502
21-Nov-1979	1491
25-Nov-1979	1485
29-Jan-1984	1499
5-Feb-1984	1492
8-Feb-1984	1486
12-Feb-1984	1503
15-Feb-1984	1494
19-Feb-1984	1490
22-Feb-1984	1484
26-Feb-1984	1492
11-Mar-1984	1476
14-Mar-1984	1483
18-Mar-1984	1472
21-Mar-1984	1468
25-Mar-1984	1458
1-Apr-1984	1477
27-Jan-1985	1476
30-Jan-1985	1492
3-Feb-1985	1491
6-Feb-1985	1462
10-Feb-1985	1467
14-Feb-1985	1458
24-Feb-1985	1448
27-Feb-1985	1433
3-Mar-1985	1463
6-Mar-1985	1472
10-Mar-1985	1457
17-Mar-1985	1470
21-Mar-1985	1458
24-Mar-1985	1485
27-Mar-1985	1465
31-Mar-1985	1455
3-Apr-1985	1448
7-Apr-1985	1452
10-Apr-1985	1469
14-Apr-1985	1471
17-Apr-1985	1454
21-Apr-1985	1438
14-Feb-1991	1447
21-Feb-1991	1440
17-Feb-1994	1435
15-Mar-1994	1445
17-Feb-1995	1443
24-Mar-1995	1441
27-Feb-1996	1435
20-Jan-1998	1424
3-Mar-1999	1421
11-Mar-1999	1431
15-Mar-2000	1447
23-Mar-2000	1462
29-Mar-2000	1483
12-Apr-2000	1503
27-Apr-2000	1509
3-May-2000	1514
1-Jun-2000	1522
8-Jun-2000	1530
4-Apr-2001	1531
11-Apr-2001	1552
18-Apr-2001	1543
15-Feb-2006	1554
22-Feb-2006	1573
22-Mar-2006	1564
5-Apr-2006	1548
27-Feb-2008	1549
5-Mar-2008	1551
4-Mar-2009	1546
19-Mar-2009	1560
8-Apr-2009	1565
22-Apr-2009	1553
11-Apr-2013	1566
8-May-2013	1591
21-May-2013	1606
3-Jul-2013	1586
17-Jul-2013	1589
12-Mar-2014	1572
2-Apr-2014	1586
7-May-2014	1587
14-May-2014	1601
23-Jul-2014	1610
30-Jul-2014	1586
26-Aug-2014	1591
2-Sep-2014	1608
1-Oct-2014	1604
15-Oct-2014	1625
