date	rating
18-Feb-1970	1496
22-Feb-1970	1509
1-Mar-1970	1490
5-Mar-1970	1495
8-Mar-1970	1497
11-Mar-1970	1479
15-Mar-1970	1467
18-Mar-1970	1450
21-Mar-1970	1425
24-Mar-1970	1412
12-Mar-1980	1427
16-Mar-1980	1408
19-Mar-1980	1410
26-Mar-1980	1425
30-Mar-1980	1445
2-Apr-1980	1470
18-Jun-1980	1474
2-Jul-1980	1487
10-Jul-1980	1499
16-Jul-1980	1502
16-Mar-1983	1503
27-Mar-1983	1516
30-Mar-1983	1521
13-Apr-1983	1545
24-Apr-1983	1571
27-Apr-1983	1587
24-Jun-1983	1610
1-Jul-1983	1595
6-Jul-1983	1587
15-Jul-1983	1594
21-Mar-1984	1607
27-Mar-1984	1613
5-Apr-1984	1634
12-Apr-1984	1594
27-Apr-1984	1614
3-May-1984	1604
6-Mar-1985	1601
19-Mar-1985	1600
21-Mar-1985	1600
27-Mar-1985	1597
31-Mar-1985	1620
3-Apr-1985	1632
18-Sep-1985	1639
22-Sep-1985	1615
29-Sep-1985	1658
6-Oct-1985	1689
17-Oct-1985	1672
22-Oct-1985	1687
24-Oct-1985	1686
12-Mar-1986	1683
18-Mar-1986	1676
1-Apr-1986	1686
10-Apr-1986	1699
18-Apr-1986	1692
25-Apr-1986	1703
16-Sep-1986	1702
20-Sep-1986	1670
24-Sep-1986	1681
5-Oct-1986	1696
22-Oct-1986	1684
29-Oct-1986	1672
7-May-1987	1686
19-May-1987	1679
22-May-1987	1669
26-May-1987	1652
5-Jun-1987	1661
12-Jun-1987	1678
17-Jun-1987	1677
4-Sep-1987	1679
9-Sep-1987	1693
18-Sep-1987	1695
23-Sep-1987	1710
21-Oct-1987	1725
28-Oct-1987	1709
31-Oct-1987	1694
30-Jun-1988	1703
5-Jul-1988	1713
8-Jul-1988	1690
19-Jul-1988	1699
23-Jul-1988	1708
3-Aug-1988	1708
7-Sep-1988	1718
14-Sep-1988	1713
21-Sep-1988	1704
28-Sep-1988	1714
5-Oct-1988	1699
12-Oct-1988	1699
22-Feb-1991	1718
26-Feb-1991	1723
1-Mar-1991	1714
31-Mar-1991	1726
5-Apr-1991	1732
7-Apr-1991	1738
16-Apr-1991	1749
25-Apr-1991	1740
3-May-1991	1735
10-May-1991	1706
26-Feb-1992	1725
10-Mar-1992	1730
17-Mar-1992	1735
25-Mar-1992	1701
31-Mar-1992	1704
3-Apr-1992	1668
28-Apr-1992	1666
5-May-1992	1679
13-May-1992	1694
20-May-1992	1715
27-May-1992	1713
3-Jun-1992	1712
11-Feb-1993	1709
16-Feb-1993	1728
2-Mar-1993	1755
5-Mar-1993	1756
11-Mar-1993	1736
23-Mar-1993	1759
2-Apr-1993	1776
7-Apr-1993	1784
14-Apr-1993	1777
21-Apr-1993	1768
28-Apr-1993	1775
5-May-1993	1756
12-May-1993	1754
13-Mar-1996	1731
19-Mar-1996	1736
22-Mar-1996	1711
29-Mar-1996	1718
3-Apr-1996	1733
19-Apr-1996	1740
1-May-1996	1729
8-May-1996	1737
15-May-1996	1730
22-May-1996	1739
4-Jun-1996	1727
12-Jun-1996	1756
19-Jun-1996	1770
26-Jun-1996	1746
25-Feb-1998	1736
10-Mar-1998	1748
13-Mar-1998	1726
18-Mar-1998	1732
27-Mar-1998	1737
3-Apr-1998	1731
15-Apr-1998	1711
29-Apr-1998	1692
22-Feb-2000	1707
7-Mar-2000	1728
14-Mar-2000	1741
22-Mar-2000	1747
4-Apr-2000	1743
19-Apr-2000	1755
2-May-2000	1734
9-May-2000	1715
13-Feb-2001	1728
27-Feb-2001	1737
6-Mar-2001	1748
14-Mar-2001	1721
12-Apr-2001	1700
2-May-2001	1708
9-May-2001	1726
16-May-2001	1742
22-May-2001	1725
29-May-2001	1740
7-Feb-2002	1746
20-Feb-2002	1741
27-Feb-2002	1741
5-Mar-2002	1718
21-Mar-2002	1733
27-Mar-2002	1765
23-Apr-2002	1743
2-May-2002	1738
5-Feb-2003	1710
26-Feb-2003	1705
4-Mar-2003	1718
19-Mar-2003	1694
27-Mar-2003	1705
16-Apr-2003	1717
29-Apr-2003	1713
13-May-2003	1710
20-May-2003	1694
27-May-2003	1721
11-Jun-2003	1702
19-Jun-2003	1681
1-Feb-2005	1689
8-Feb-2005	1697
17-Feb-2005	1703
22-Feb-2005	1715
10-Mar-2005	1745
14-Apr-2005	1732
26-Apr-2005	1701
10-May-2005	1678
10-Feb-2009	1658
5-Mar-2009	1648
10-Mar-2009	1648
17-Mar-2009	1648
16-Apr-2009	1645
22-Apr-2009	1638
