date	rating
10-Jul-1966	1499
17-Jul-1966	1520
23-Aug-1966	1501
28-Aug-1966	1515
30-Aug-1966	1528
7-Sep-1966	1506
14-Sep-1966	1485
24-Aug-1975	1505
27-Aug-1975	1498
31-Aug-1975	1511
3-Sep-1975	1506
7-Sep-1975	1517
10-Sep-1975	1511
14-Sep-1975	1491
17-Sep-1975	1474
28-Sep-1975	1458
2-Oct-1975	1452
5-Oct-1975	1441
25-Oct-1975	1434
28-Oct-1975	1426
1-Nov-1975	1449
5-Nov-1975	1461
9-Nov-1975	1438
14-Mar-1976	1425
17-Mar-1976	1422
21-Mar-1976	1431
28-Mar-1976	1432
4-Apr-1976	1435
14-Apr-1976	1443
18-Apr-1976	1441
21-Apr-1976	1437
25-Apr-1976	1444
29-Apr-1976	1439
2-May-1976	1439
5-May-1976	1445
9-May-1976	1434
15-May-1976	1449
6-Jun-1976	1445
12-Jun-1976	1455
17-Jun-1976	1465
27-Jun-1976	1453
4-Jul-1976	1459
17-Jul-1976	1467
24-Jul-1976	1464
29-Jul-1976	1458
1-Aug-1976	1457
4-Aug-1976	1488
8-Aug-1976	1503
11-Aug-1976	1490
15-Aug-1976	1499
1-Sep-1976	1491
5-Sep-1976	1504
8-Sep-1976	1498
15-Sep-1976	1505
18-Sep-1976	1520
22-Sep-1976	1522
25-Sep-1976	1521
29-Sep-1976	1512
10-Oct-1976	1490
17-Oct-1976	1479
21-Oct-1976	1506
24-Oct-1976	1493
27-Mar-1977	1490
3-Apr-1977	1468
10-Apr-1977	1458
13-Apr-1977	1455
21-Apr-1977	1461
24-Apr-1977	1457
27-Apr-1977	1452
1-May-1977	1450
8-May-1977	1462
11-May-1977	1478
15-May-1977	1478
22-May-1977	1487
25-May-1977	1481
29-May-1977	1476
24-Jul-1977	1457
31-Jul-1977	1452
3-Aug-1977	1452
6-Aug-1977	1438
13-Aug-1977	1437
17-Aug-1977	1430
21-Aug-1977	1430
24-Aug-1977	1427
28-Aug-1977	1436
4-Sep-1977	1434
7-Sep-1977	1417
11-Sep-1977	1413
21-Sep-1977	1398
25-Sep-1977	1404
16-Oct-1977	1414
26-Oct-1977	1430
30-Oct-1977	1428
2-Nov-1977	1443
9-Nov-1977	1435
13-Nov-1977	1436
20-Nov-1977	1423
23-Nov-1977	1411
27-Nov-1977	1432
7-Dec-1977	1441
10-Dec-1977	1430
14-Dec-1977	1422
18-Dec-1977	1419
26-Mar-1978	1409
29-Mar-1978	1418
8-Apr-1978	1431
12-Apr-1978	1432
16-Apr-1978	1440
20-Apr-1978	1438
23-Apr-1978	1444
3-May-1978	1442
7-May-1978	1465
10-May-1978	1472
14-May-1978	1474
21-May-1978	1472
25-May-1978	1489
27-May-1978	1489
31-May-1978	1500
17-Jun-1978	1521
2-Jul-1978	1505
5-Jul-1978	1494
9-Jul-1978	1489
13-Jul-1978	1485
16-Jul-1978	1508
20-Jul-1978	1517
23-Jul-1978	1530
4-Feb-1979	1523
11-Feb-1979	1518
14-Feb-1979	1532
18-Feb-1979	1541
4-Mar-1979	1548
7-Mar-1979	1544
10-Mar-1979	1554
14-Mar-1979	1547
17-Mar-1979	1546
23-Mar-1979	1553
1-Apr-1979	1559
8-Apr-1979	1566
11-Apr-1979	1563
14-Apr-1979	1560
18-Apr-1979	1572
22-Apr-1979	1559
25-Apr-1979	1555
29-Apr-1979	1565
6-May-1979	1563
20-May-1979	1544
23-May-1979	1539
27-May-1979	1547
3-Jun-1979	1560
7-Jun-1979	1573
10-Jun-1979	1576
14-Jun-1979	1573
17-Jun-1979	1567
24-Jun-1979	1564
27-Jun-1979	1556
30-Jun-1979	1562
7-Jul-1979	1571
11-Jul-1979	1587
14-Jul-1979	1592
18-Jul-1979	1598
22-Jul-1979	1602
28-Jul-1979	1594
5-Aug-1979	1611
19-Aug-1979	1605
26-Aug-1979	1611
2-Sep-1979	1604
12-Sep-1979	1613
16-Sep-1979	1612
19-Sep-1979	1607
23-Sep-1979	1604
30-Sep-1979	1595
6-Oct-1979	1580
13-Oct-1979	1576
19-Oct-1979	1571
24-Oct-1979	1566
28-Oct-1979	1573
3-Nov-1979	1582
8-Nov-1979	1579
11-Nov-1979	1569
15-Nov-1979	1568
18-Nov-1979	1580
21-Nov-1979	1566
24-Nov-1979	1578
28-Nov-1979	1561
6-Apr-1980	1549
13-Apr-1980	1554
16-Apr-1980	1545
21-Apr-1980	1546
27-Apr-1980	1565
3-May-1980	1551
17-Aug-1980	1562
31-Aug-1980	1560
10-Sep-1980	1558
11-Sep-1980	1567
17-Sep-1980	1575
21-Sep-1980	1571
24-Sep-1980	1578
28-Sep-1980	1572
1-Oct-1980	1566
5-Oct-1980	1551
12-Oct-1980	1548
19-Oct-1980	1543
22-Oct-1980	1549
29-Oct-1980	1555
2-Nov-1980	1545
5-Nov-1980	1546
9-Nov-1980	1534
12-Nov-1980	1529
16-Nov-1980	1520
20-Nov-1980	1500
23-Nov-1980	1500
26-Nov-1980	1498
24-May-1981	1486
31-May-1981	1491
3-Jun-1981	1485
7-Jun-1981	1474
14-Jun-1981	1475
18-Jun-1981	1479
21-Jun-1981	1476
