date	rating
25-May-1958	1509
28-May-1958	1508
4-Jun-1958	1523
8-Jun-1958	1519
11-Jun-1958	1501
14-Jun-1958	1511
18-Jun-1958	1533
22-Jun-1958	1529
25-Jun-1958	1540
28-Jun-1958	1539
6-Jul-1958	1524
13-Jul-1958	1537
27-Jul-1958	1532
3-Aug-1958	1539
10-Aug-1958	1545
17-Aug-1958	1530
24-Aug-1958	1520
31-Aug-1958	1520
11-Sep-1958	1516
28-Sep-1958	1506
5-Oct-1958	1504
9-Oct-1958	1489
12-Oct-1958	1485
18-Oct-1958	1467
19-Oct-1958	1464
22-Oct-1958	1452
25-Oct-1958	1442
1-Nov-1958	1440
9-Nov-1958	1431
16-Nov-1958	1446
23-Nov-1958	1462
26-Nov-1958	1456
30-Nov-1958	1459
3-Dec-1958	1459
6-Dec-1958	1479
11-Dec-1958	1497
14-Dec-1958	1488
17-Dec-1958	1498
24-May-1959	1491
31-May-1959	1500
7-Jun-1959	1482
14-Jun-1959	1484
21-Jun-1959	1469
28-Jun-1959	1477
5-Jul-1959	1465
12-Jul-1959	1482
18-Jul-1959	1480
5-Aug-1959	1470
9-Aug-1959	1464
13-Aug-1959	1471
16-Aug-1959	1468
22-Aug-1959	1478
30-Aug-1959	1476
6-Sep-1959	1470
13-Sep-1959	1479
19-Sep-1959	1481
3-Oct-1959	1463
7-Oct-1959	1475
10-Oct-1959	1493
14-Oct-1959	1489
17-Oct-1959	1482
28-Oct-1959	1479
7-Nov-1959	1461
11-Nov-1959	1442
15-Nov-1959	1443
19-Nov-1959	1433
22-Nov-1959	1417
26-Nov-1959	1428
29-Nov-1959	1448
2-Dec-1959	1448
6-Dec-1959	1434
8-Dec-1959	1431
17-Dec-1959	1446
20-Dec-1959	1437
22-Dec-1959	1453
30-Dec-1959	1472
12-Jun-1960	1462
19-Jun-1960	1467
26-Jun-1960	1467
29-Jun-1960	1468
3-Jul-1960	1478
6-Jul-1960	1487
9-Jul-1960	1475
17-Jul-1960	1472
24-Jul-1960	1456
28-Jul-1960	1450
31-Jul-1960	1451
7-Aug-1960	1445
21-Aug-1960	1439
24-Aug-1960	1430
7-Sep-1960	1435
11-Sep-1960	1425
17-Sep-1960	1443
22-Sep-1960	1446
25-Sep-1960	1432
28-Sep-1960	1451
6-Oct-1960	1436
9-Oct-1960	1455
13-Oct-1960	1451
16-Oct-1960	1446
19-Oct-1960	1467
27-Oct-1960	1476
30-Oct-1960	1468
6-Nov-1960	1488
13-Nov-1960	1492
16-Nov-1960	1473
20-Nov-1960	1488
1-Dec-1960	1505
7-Dec-1960	1498
11-Dec-1960	1489
5-Jul-1964	1506
12-Jul-1964	1498
19-Jul-1964	1510
22-Jul-1964	1530
26-Jul-1964	1523
2-Aug-1964	1532
9-Aug-1964	1541
12-Aug-1964	1534
16-Aug-1964	1530
22-Aug-1964	1516
30-Aug-1964	1518
6-Sep-1964	1524
13-Sep-1964	1548
20-Sep-1964	1534
27-Sep-1964	1542
4-Oct-1964	1535
11-Oct-1964	1547
18-Oct-1964	1540
21-Oct-1964	1527
25-Oct-1964	1509
28-Oct-1964	1532
1-Nov-1964	1528
8-Nov-1964	1545
14-Nov-1964	1531
22-Nov-1964	1546
25-Nov-1964	1562
29-Nov-1964	1551
6-Dec-1964	1552
9-Dec-1964	1563
13-Dec-1964	1570
7-Jul-1965	1555
11-Jul-1965	1548
14-Jul-1965	1544
18-Jul-1965	1534
25-Jul-1965	1547
31-Jul-1965	1552
8-Aug-1965	1551
15-Aug-1965	1565
18-Aug-1965	1576
22-Aug-1965	1570
29-Aug-1965	1566
4-Sep-1965	1555
7-Sep-1965	1565
12-Sep-1965	1577
18-Sep-1965	1563
26-Sep-1965	1562
29-Sep-1965	1541
3-Oct-1965	1541
10-Oct-1965	1529
17-Oct-1965	1524
20-Oct-1965	1532
24-Oct-1965	1527
30-Oct-1965	1542
3-Nov-1965	1560
7-Nov-1965	1552
13-Nov-1965	1548
20-Nov-1965	1557
28-Nov-1965	1557
5-Dec-1965	1544
12-Dec-1965	1558
31-Jul-1966	1541
7-Aug-1966	1532
14-Aug-1966	1527
21-Aug-1966	1540
28-Aug-1966	1534
4-Sep-1966	1527
7-Sep-1966	1542
14-Sep-1966	1534
18-Sep-1966	1531
21-Sep-1966	1545
25-Sep-1966	1524
28-Sep-1966	1519
2-Oct-1966	1508
5-Oct-1966	1531
15-Oct-1966	1545
23-Oct-1966	1541
6-Nov-1966	1529
9-Nov-1966	1548
13-Nov-1966	1544
16-Nov-1966	1552
20-Nov-1966	1569
23-Nov-1966	1548
27-Nov-1966	1561
30-Nov-1966	1551
3-Dec-1966	1527
11-Dec-1966	1549
14-Dec-1966	1546
17-Dec-1966	1569
4-Jul-1967	1569
9-Jul-1967	1581
16-Jul-1967	1591
23-Jul-1967	1591
2-Aug-1967	1597
6-Aug-1967	1610
15-Aug-1967	1605
16-Aug-1967	1600
20-Aug-1967	1613
27-Aug-1967	1593
3-Sep-1967	1606
7-Sep-1967	1604
10-Sep-1967	1595
13-Sep-1967	1580
17-Sep-1967	1589
20-Sep-1967	1573
23-Sep-1967	1582
8-Oct-1967	1578
15-Oct-1967	1565
22-Oct-1967	1571
5-Nov-1967	1592
12-Nov-1967	1619
15-Nov-1967	1606
26-Nov-1967	1595
3-Dec-1967	1584
10-Dec-1967	1582
31-Jan-1968	1565
4-Feb-1968	1555
11-Feb-1968	1565
18-Feb-1968	1553
21-Feb-1968	1552
25-Feb-1968	1558
3-Mar-1968	1567
17-Mar-1968	1563
24-Mar-1968	1555
28-Mar-1968	1544
31-Mar-1968	1542
4-Apr-1968	1524
7-Apr-1968	1535
14-Apr-1968	1545
20-Apr-1968	1559
1-May-1968	1558
5-May-1968	1549
8-May-1968	1542
12-May-1968	1556
19-May-1968	1556
22-May-1968	1550
26-May-1968	1576
2-Jun-1968	1592
5-Jun-1968	1584
8-Jun-1968	1562
26-Jun-1968	1551
26-Jan-1969	1564
5-Feb-1969	1554
9-Feb-1969	1563
23-Feb-1969	1562
2-Mar-1969	1546
6-Mar-1969	1534
9-Mar-1969	1540
16-Mar-1969	1534
23-Mar-1969	1537
26-Mar-1969	1540
30-Mar-1969	1553
12-Apr-1969	1533
19-Apr-1969	1531
20-Apr-1969	1546
27-Apr-1969	1553
15-May-1969	1542
18-May-1969	1524
24-May-1969	1548
28-May-1969	1540
1-Jun-1969	1553
8-Jun-1969	1534
22-Jun-1969	1519
29-Jun-1969	1529
6-Jul-1969	1530
9-Jul-1969	1530
13-Jul-1969	1540
8-Mar-1972	1535
12-Mar-1972	1528
19-Mar-1972	1525
26-Mar-1972	1516
9-Apr-1972	1535
16-Apr-1972	1537
30-Apr-1972	1536
7-May-1972	1527
14-May-1972	1528
17-May-1972	1538
28-May-1972	1534
15-Jul-1972	1530
22-Jul-1972	1526
30-Jul-1972	1521
2-Aug-1972	1510
5-Aug-1972	1501
9-Aug-1972	1499
13-Aug-1972	1491
16-Aug-1972	1501
20-Aug-1972	1514
27-Aug-1972	1511
31-Aug-1972	1521
4-Aug-1974	1508
7-Aug-1974	1508
10-Aug-1974	1508
14-Aug-1974	1501
17-Aug-1974	1494
25-Aug-1974	1503
31-Aug-1974	1502
3-Sep-1974	1498
15-Sep-1974	1487
18-Sep-1974	1484
22-Sep-1974	1469
25-Sep-1974	1480
4-Oct-1974	1495
13-Oct-1974	1489
19-Oct-1974	1490
23-Oct-1974	1502
27-Oct-1974	1503
3-Nov-1974	1509
9-Nov-1974	1521
13-Nov-1974	1520
17-Nov-1974	1524
24-Nov-1974	1516
30-Nov-1974	1508
4-Dec-1974	1502
8-Dec-1974	1484
15-Dec-1974	1466
2-Mar-1975	1477
5-Mar-1975	1464
9-Mar-1975	1453
12-Mar-1975	1470
15-Mar-1975	1462
23-Mar-1975	1459
29-Mar-1975	1460
6-Apr-1975	1447
9-Apr-1975	1443
13-Apr-1975	1437
16-Apr-1975	1460
20-Apr-1975	1453
23-Apr-1975	1465
30-Apr-1975	1481
3-May-1975	1473
11-May-1975	1482
18-May-1975	1472
25-May-1975	1472
29-May-1975	1488
1-Jun-1975	1485
8-Jun-1975	1497
15-Jun-1975	1492
21-Jun-1975	1508
29-Jun-1975	1517
6-Jul-1975	1530
12-Jul-1975	1535
17-Jul-1975	1544
20-Jul-1975	1533
26-Jul-1975	1537
30-Jul-1975	1534
3-Aug-1975	1548
6-Aug-1975	1543
10-Aug-1975	1559
22-Feb-1976	1572
28-Feb-1976	1562
7-Mar-1976	1561
13-Mar-1976	1560
21-Mar-1976	1558
28-Mar-1976	1547
10-Apr-1976	1538
18-Apr-1976	1547
25-Apr-1976	1554
2-May-1976	1572
9-May-1976	1582
16-May-1976	1577
13-Jun-1976	1592
17-Jun-1976	1590
20-Jun-1976	1594
27-Jun-1976	1578
4-Jul-1976	1588
11-Jul-1976	1582
14-Jul-1976	1597
18-Jul-1976	1594
21-Jul-1976	1608
25-Jul-1976	1620
29-Jul-1976	1623
1-Aug-1976	1626
8-Aug-1976	1623
15-Aug-1976	1620
18-Aug-1976	1620
22-Aug-1976	1606
6-Feb-1977	1587
9-Feb-1977	1597
13-Feb-1977	1582
27-Feb-1977	1597
6-Mar-1977	1607
13-Mar-1977	1595
19-Mar-1977	1597
30-Mar-1977	1609
6-Apr-1977	1593
10-Apr-1977	1603
13-Apr-1977	1592
17-Apr-1977	1605
21-Apr-1977	1585
24-Apr-1977	1594
27-Apr-1977	1580
1-May-1977	1576
4-May-1977	1574
8-May-1977	1560
22-May-1977	1545
29-May-1977	1555
5-Jun-1977	1571
9-Jun-1977	1573
12-Jun-1977	1593
19-Jun-1977	1588
26-Jun-1977	1591
29-Jun-1977	1591
3-Jul-1977	1576
10-Jul-1977	1589
20-Jul-1977	1607
24-Jul-1977	1592
31-Jul-1977	1585
3-Aug-1977	1571
7-Aug-1977	1557
14-Aug-1977	1556
17-Aug-1977	1564
21-Aug-1977	1552
26-Mar-1978	1566
29-Mar-1978	1574
6-Apr-1978	1552
9-Apr-1978	1534
12-Apr-1978	1555
16-Apr-1978	1572
20-Apr-1978	1565
30-Apr-1978	1579
7-May-1978	1590
10-May-1978	1574
14-May-1978	1557
21-May-1978	1550
24-May-1978	1559
31-May-1978	1552
4-Jun-1978	1580
8-Jun-1978	1574
11-Jun-1978	1572
18-Jun-1978	1571
24-Jun-1978	1566
20-Aug-1978	1579
26-Aug-1978	1567
2-Sep-1978	1571
7-Sep-1978	1558
10-Sep-1978	1542
13-Sep-1978	1556
17-Sep-1978	1563
21-Sep-1978	1558
24-Sep-1978	1540
27-Sep-1978	1546
1-Oct-1978	1522
5-Oct-1978	1517
8-Oct-1978	1535
11-Oct-1978	1540
15-Oct-1978	1539
22-Oct-1978	1562
25-Oct-1978	1551
29-Oct-1978	1538
5-Nov-1978	1552
26-Nov-1978	1550
29-Nov-1978	1542
3-Dec-1978	1532
6-Dec-1978	1538
10-Dec-1978	1552
17-Dec-1978	1549
28-Jan-1979	1534
4-Feb-1979	1537
7-Feb-1979	1546
10-Feb-1979	1539
14-Feb-1979	1537
18-Feb-1979	1540
24-Feb-1979	1526
4-Mar-1979	1525
11-Mar-1979	1526
14-Mar-1979	1512
18-Mar-1979	1513
25-Mar-1979	1530
1-Apr-1979	1517
1-Jul-1979	1507
5-Jul-1979	1507
8-Jul-1979	1530
11-Jul-1979	1540
15-Jul-1979	1549
18-Jul-1979	1566
22-Jul-1979	1560
25-Jul-1979	1571
29-Jul-1979	1571
1-Aug-1979	1571
5-Aug-1979	1586
9-Aug-1979	1590
12-Aug-1979	1593
15-Aug-1979	1603
19-Aug-1979	1612
22-Aug-1979	1617
26-Aug-1979	1604
30-Aug-1979	1606
2-Sep-1979	1601
5-Sep-1979	1617
9-Sep-1979	1631
12-Sep-1979	1618
16-Sep-1979	1615
20-Sep-1979	1627
23-Sep-1979	1622
26-Sep-1979	1620
3-Oct-1979	1630
7-Oct-1979	1647
10-Oct-1979	1644
14-Oct-1979	1639
16-Oct-1979	1637
18-Oct-1979	1622
21-Oct-1979	1630
24-Oct-1979	1632
28-Oct-1979	1629
30-Oct-1979	1627
1-Nov-1979	1615
4-Nov-1979	1596
7-Nov-1979	1589
11-Nov-1979	1599
15-Nov-1979	1590
18-Nov-1979	1578
22-Nov-1979	1566
5-Apr-1980	1540
13-Apr-1980	1532
16-Apr-1980	1525
20-Apr-1980	1546
27-Apr-1980	1538
4-May-1980	1529
11-May-1980	1538
14-May-1980	1549
18-May-1980	1550
22-May-1980	1554
