date	rating
26-Mar-1978	1508
29-Mar-1978	1505
2-Apr-1978	1511
6-Apr-1978	1498
9-Apr-1978	1483
16-Apr-1978	1470
20-Apr-1978	1459
30-Apr-1978	1451
3-May-1978	1454
7-May-1978	1468
14-May-1978	1472
21-May-1978	1448
28-May-1978	1436
17-Jun-1978	1457
20-Jun-1978	1456
24-Jun-1978	1459
23-Sep-1979	1469
25-Sep-1979	1482
30-Sep-1979	1466
3-Oct-1979	1457
10-Oct-1979	1473
14-Oct-1979	1460
24-Oct-1979	1449
28-Oct-1979	1461
4-Nov-1979	1481
8-Nov-1979	1464
11-Nov-1979	1453
15-Nov-1979	1440
18-Nov-1979	1450
22-Nov-1979	1452
25-Nov-1979	1442
28-Nov-1979	1457
17-Jan-1982	1460
24-Jan-1982	1484
28-Jan-1982	1486
31-Jan-1982	1501
3-Feb-1982	1491
7-Feb-1982	1511
10-Feb-1982	1531
14-Feb-1982	1544
28-Feb-1982	1528
7-Mar-1982	1553
10-Mar-1982	1568
13-Mar-1982	1548
17-Mar-1982	1563
24-Mar-1982	1574
29-Jan-1984	1571
1-Feb-1984	1554
5-Feb-1984	1549
12-Feb-1984	1561
15-Feb-1984	1566
23-Feb-1984	1565
26-Feb-1984	1534
29-Feb-1984	1542
14-Mar-2001	1537
21-Mar-2001	1526
6-Feb-2002	1514
5-Feb-2003	1502
19-Feb-2003	1487
