date	rating
5-Jul-1992	1490
12-Jul-1992	1482
19-Jul-1992	1494
26-Jul-1992	1506
2-Aug-1992	1507
9-Aug-1992	1517
16-Aug-1992	1509
19-Aug-1992	1522
23-Aug-1992	1520
30-Aug-1992	1516
2-Sep-1992	1518
6-Sep-1992	1507
9-Sep-1992	1498
13-Sep-1992	1484
16-Sep-1992	1477
20-Sep-1992	1466
27-Sep-1992	1453
30-Sep-1992	1458
4-Oct-1992	1446
7-Oct-1992	1457
11-Oct-1992	1461
14-Oct-1992	1462
18-Oct-1992	1456
21-Oct-1992	1453
24-Oct-1992	1454
1-Nov-1992	1444
24-Jan-1993	1438
31-Jan-1993	1439
3-Feb-1993	1431
7-Feb-1993	1443
10-Feb-1993	1453
14-Feb-1993	1456
17-Feb-1993	1469
21-Feb-1993	1457
28-Feb-1993	1458
3-Mar-1993	1470
7-Mar-1993	1482
10-Mar-1993	1471
14-Mar-1993	1472
21-Mar-1993	1474
24-Mar-1993	1474
28-Mar-1993	1478
31-Mar-1993	1487
4-Apr-1993	1492
7-Apr-1993	1494
11-Apr-1993	1481
14-Apr-1993	1485
18-Apr-1993	1467
25-Apr-1993	1457
28-Apr-1993	1459
2-May-1993	1448
9-May-1993	1458
29-Jan-1995	1454
5-Feb-1995	1447
8-Feb-1995	1463
12-Feb-1995	1456
19-Feb-1995	1480
24-Feb-1995	1477
5-Mar-1995	1492
8-Mar-1995	1513
12-Mar-1995	1530
19-Mar-1995	1523
23-Mar-1995	1518
26-Mar-1995	1535
2-Apr-1995	1530
5-Apr-1995	1523
9-Apr-1995	1518
15-Apr-1995	1515
19-Apr-1995	1519
23-Apr-1995	1503
30-Apr-1995	1518
7-May-1995	1508
10-May-1995	1512
14-May-1995	1519
17-May-1995	1520
21-May-1995	1537
26-May-1995	1532
28-May-1995	1544
31-May-1995	1561
4-Jun-1995	1563
7-Jun-1995	1579
11-Jun-1995	1571
28-Jan-1996	1562
31-Jan-1996	1553
4-Feb-1996	1571
7-Feb-1996	1573
11-Feb-1996	1577
17-Feb-1996	1556
25-Feb-1996	1574
2-Mar-1996	1567
6-Mar-1996	1563
9-Mar-1996	1561
13-Mar-1996	1570
17-Mar-1996	1558
21-Mar-1996	1580
24-Mar-1996	1567
31-Mar-1996	1577
6-Apr-1996	1584
11-Apr-1996	1599
14-Apr-1996	1598
17-Apr-1996	1608
20-Apr-1996	1621
28-Apr-1996	1634
1-May-1996	1614
4-May-1996	1628
8-May-1996	1637
12-May-1996	1633
15-May-1996	1622
19-May-1996	1622
26-May-1996	1611
2-Jun-1996	1602
5-Jun-1996	1592
9-Feb-1997	1584
16-Feb-1997	1580
20-Feb-1997	1575
23-Feb-1997	1566
26-Feb-1997	1576
2-Mar-1997	1586
5-Mar-1997	1591
9-Mar-1997	1575
15-Mar-1997	1571
19-Mar-1997	1569
23-Mar-1997	1562
30-Mar-1997	1566
6-Apr-1997	1578
10-Apr-1997	1567
13-Apr-1997	1587
20-Apr-1997	1602
23-Apr-1997	1609
26-Apr-1997	1617
1-May-1997	1608
4-May-1997	1630
11-May-1997	1618
14-May-1997	1612
18-May-1997	1601
18-Jan-1998	1598
20-Jan-1998	1586
24-Jan-1998	1589
28-Jan-1998	1576
31-Jan-1998	1576
7-Feb-1998	1556
11-Feb-1998	1539
14-Feb-1998	1543
21-Feb-1998	1556
1-Mar-1998	1543
15-Mar-1998	1552
22-Mar-1998	1567
29-Mar-1998	1566
5-Apr-1998	1580
12-Apr-1998	1568
19-Apr-1998	1556
24-Jan-1999	1569
27-Jan-1999	1567
30-Jan-1999	1570
3-Feb-1999	1560
7-Feb-1999	1572
10-Feb-1999	1559
13-Feb-1999	1538
21-Feb-1999	1542
24-Feb-1999	1560
28-Feb-1999	1549
23-Jan-2000	1537
26-Jan-2000	1530
30-Jan-2000	1510
2-Feb-2000	1501
6-Feb-2000	1482
13-Feb-2000	1488
16-Feb-2000	1481
20-Feb-2000	1491
23-Feb-2000	1492
27-Feb-2000	1515
8-Mar-2000	1520
12-Mar-2000	1502
19-Mar-2000	1494
22-Mar-2000	1486
23-Mar-2000	1482
2-Apr-2000	1471
6-Apr-2000	1467
12-Apr-2000	1461
16-Apr-2000	1476
23-Apr-2000	1472
