date	rating
13-Sep-1959	1501
20-Sep-1959	1514
18-Oct-1959	1493
25-Oct-1959	1482
5-Sep-1963	1497
12-Sep-1963	1497
2-Oct-1963	1501
10-Oct-1963	1492
6-Sep-1964	1495
10-Sep-1964	1510
20-Sep-1964	1523
27-Sep-1964	1535
18-Oct-1964	1527
25-Oct-1964	1518
5-Mar-1967	1507
8-Mar-1967	1504
11-Mar-1967	1512
19-Mar-1967	1510
29-Mar-1967	1542
2-Apr-1967	1573
5-Apr-1967	1602
9-Apr-1967	1604
16-Apr-1967	1605
23-Apr-1967	1589
24-Apr-1967	1596
3-May-1967	1580
7-May-1967	1597
14-May-1967	1605
19-Sep-1967	1614
24-Sep-1967	1630
11-Oct-1967	1621
1-Nov-1967	1638
15-Nov-1967	1641
22-Nov-1967	1622
29-Nov-1967	1646
1-Dec-1967	1647
14-Sep-1968	1661
18-Sep-1968	1672
22-Sep-1968	1657
25-Sep-1968	1644
29-Sep-1968	1644
3-Oct-1968	1637
6-Oct-1968	1626
9-Oct-1968	1637
16-Oct-1968	1640
20-Oct-1968	1643
23-Oct-1968	1648
27-Oct-1968	1665
16-Nov-1968	1678
24-Nov-1968	1686
28-Nov-1968	1702
1-Dec-1968	1718
7-Sep-1969	1738
13-Sep-1969	1717
21-Sep-1969	1739
24-Sep-1969	1751
28-Sep-1969	1738
1-Oct-1969	1727
5-Oct-1969	1741
12-Oct-1969	1730
15-Oct-1969	1746
19-Oct-1969	1717
22-Oct-1969	1706
25-Oct-1969	1720
2-Nov-1969	1708
8-Nov-1969	1706
16-Nov-1969	1726
23-Nov-1969	1750
23-Sep-1970	1746
27-Sep-1970	1740
4-Oct-1970	1760
11-Oct-1970	1768
14-Oct-1970	1769
21-Oct-1970	1765
25-Oct-1970	1766
31-Oct-1970	1780
11-Nov-1970	1777
14-Nov-1970	1788
19-Nov-1970	1776
22-Nov-1970	1793
26-Nov-1970	1797
29-Nov-1970	1815
2-Dec-1970	1799
5-Dec-1970	1780
13-Dec-1970	1781
16-Dec-1970	1761
20-Dec-1970	1762
7-Aug-1971	1754
15-Aug-1971	1755
21-Aug-1971	1766
25-Aug-1971	1782
28-Aug-1971	1776
1-Sep-1971	1792
5-Sep-1971	1803
8-Sep-1971	1776
12-Sep-1971	1776
19-Sep-1971	1785
22-Sep-1971	1786
25-Sep-1971	1781
3-Oct-1971	1763
10-Oct-1971	1764
16-Oct-1971	1744
23-Oct-1971	1761
31-Oct-1971	1781
6-Nov-1971	1775
14-Nov-1971	1776
21-Nov-1971	1783
25-Nov-1971	1768
28-Nov-1971	1790
1-Dec-1971	1806
4-Dec-1971	1800
9-Dec-1971	1786
12-Dec-1971	1799
19-Dec-1971	1809
30-Jan-1972	1808
1-Mar-1972	1798
5-Mar-1972	1788
9-Mar-1972	1789
16-Mar-1972	1781
19-Mar-1972	1756
10-Sep-1972	1740
13-Sep-1972	1728
17-Sep-1972	1730
21-Sep-1972	1717
24-Sep-1972	1721
27-Sep-1972	1732
1-Oct-1972	1749
4-Oct-1972	1727
8-Oct-1972	1739
11-Oct-1972	1743
15-Oct-1972	1760
18-Oct-1972	1743
21-Oct-1972	1750
26-Oct-1972	1719
29-Oct-1972	1711
2-Nov-1972	1698
5-Nov-1972	1715
8-Nov-1972	1731
12-Nov-1972	1733
16-Nov-1972	1720
18-Nov-1972	1722
22-Nov-1972	1731
26-Nov-1972	1725
29-Nov-1972	1719
