date	rating
16-Feb-1972	1499
22-Feb-1972	1504
24-Feb-1972	1490
9-Mar-1972	1474
21-Mar-1972	1455
23-Mar-1972	1444
14-Feb-1974	1421
19-Feb-1974	1438
21-Feb-1974	1442
7-Mar-1974	1429
20-Mar-1974	1444
22-Mar-1974	1476
23-Feb-1975	1477
9-Mar-1975	1486
13-Mar-1975	1482
23-Mar-1975	1500
6-Apr-1975	1525
10-Apr-1975	1513
27-Apr-1977	1488
4-May-1977	1454
8-May-1977	1434
15-May-1977	1417
19-May-1977	1443
22-May-1977	1461
24-Mar-1982	1438
28-Mar-1982	1459
31-Mar-1982	1458
14-Apr-1982	1461
18-Apr-1982	1481
21-Apr-1982	1493
16-Feb-1989	1496
21-Feb-1989	1493
24-Feb-1989	1493
7-Mar-1989	1476
14-Mar-1989	1492
28-Mar-1989	1509
5-Apr-1989	1541
12-Apr-1989	1531
19-Apr-1989	1549
26-Apr-1989	1552
10-May-1989	1554
17-May-1989	1591
24-May-1989	1571
31-May-1989	1599
8-Aug-1990	1600
15-Aug-1990	1616
22-Aug-1990	1622
13-Sep-1990	1641
20-Sep-1990	1627
26-Sep-1990	1644
22-Feb-1991	1625
5-Mar-1991	1636
8-Mar-1991	1645
31-Mar-1991	1633
5-Apr-1991	1627
7-Apr-1991	1618
17-Apr-1991	1613
25-Apr-1991	1629
3-May-1991	1634
10-May-1991	1663
16-May-1991	1664
23-May-1991	1650
26-Feb-1992	1631
13-Mar-1992	1621
20-Mar-1992	1629
25-Mar-1992	1663
7-Apr-1992	1671
10-Apr-1992	1685
29-Apr-1992	1675
6-May-1992	1684
13-May-1992	1669
20-May-1992	1648
11-Feb-1993	1651
19-Feb-1993	1642
11-Mar-1993	1661
16-Mar-1993	1680
19-Mar-1993	1664
26-Mar-1993	1667
2-Apr-1993	1650
7-Apr-1993	1627
14-Apr-1993	1644
14-Feb-1995	1642
24-Feb-1995	1665
10-Mar-1995	1675
15-Mar-1995	1651
4-Apr-1995	1651
7-Apr-1995	1648
26-Apr-1995	1671
3-May-1995	1691
26-Jul-1995	1704
2-Aug-1995	1700
9-Aug-1995	1716
16-Aug-1995	1701
23-Aug-1995	1683
30-Aug-1995	1688
23-Feb-2000	1654
29-Feb-2000	1634
8-Mar-2000	1638
16-Mar-2000	1663
22-Mar-2000	1627
20-Apr-2000	1646
9-Feb-2006	1663
2-Mar-2006	1654
14-Mar-2006	1686
23-Mar-2006	1685
4-Apr-2006	1672
13-Apr-2006	1687
25-Apr-2006	1654
2-May-2006	1639
27-Feb-2008	1647
6-Mar-2008	1663
18-Mar-2008	1642
3-Apr-2008	1638
10-Apr-2008	1651
23-Apr-2008	1641
30-Apr-2008	1633
6-May-2008	1624
15-Feb-2012	1647
21-Feb-2012	1669
8-Mar-2012	1663
22-Mar-2012	1657
10-Apr-2012	1674
19-Apr-2012	1658
