date	rating
21-Jan-2004	1503
24-Jan-2004	1492
1-Feb-2004	1505
8-Feb-2004	1507
15-Feb-2004	1499
21-Feb-2004	1493
29-Feb-2004	1495
7-Mar-2004	1509
14-Mar-2004	1502
19-Jan-2005	1504
23-Jan-2005	1493
26-Jan-2005	1489
30-Jan-2005	1483
5-Feb-2005	1481
9-Feb-2005	1484
12-Feb-2005	1480
20-Feb-2005	1472
24-Feb-2005	1478
27-Feb-2005	1498
6-Mar-2005	1484
13-Mar-2005	1488
20-Mar-2005	1476
23-Mar-2005	1490
26-Mar-2005	1483
31-Mar-2005	1503
3-Apr-2005	1496
10-Apr-2005	1509
17-Apr-2005	1502
19-Jan-2013	1494
23-Jan-2013	1493
26-Jan-2013	1491
31-Jan-2013	1493
3-Feb-2013	1516
7-Feb-2013	1506
10-Feb-2013	1507
17-Feb-2013	1498
22-Feb-2013	1486
2-Mar-2013	1497
10-Mar-2013	1493
17-Mar-2013	1489
20-Mar-2013	1477
23-Mar-2013	1469
28-Mar-2013	1469
31-Mar-2013	1487
7-Apr-2013	1499
12-Apr-2013	1511
21-Apr-2013	1506
18-Jan-2014	1495
22-Jan-2014	1497
26-Jan-2014	1486
29-Jan-2014	1490
1-Feb-2014	1477
5-Feb-2014	1469
11-Feb-2014	1457
15-Feb-2014	1471
20-Feb-2014	1468
23-Feb-2014	1478
28-Feb-2014	1479
5-Mar-2014	1474
8-Mar-2014	1476
15-Mar-2014	1479
23-Mar-2014	1470
