date	rating
19-Jan-2013	1500
23-Jan-2013	1508
26-Jan-2013	1518
30-Jan-2013	1510
2-Feb-2013	1521
7-Feb-2013	1521
17-Feb-2013	1514
24-Feb-2013	1513
17-Mar-2013	1510
23-Mar-2013	1511
27-Mar-2013	1502
31-Mar-2013	1519
7-Apr-2013	1528
13-Apr-2013	1519
21-Apr-2013	1528
19-Jan-2014	1525
22-Jan-2014	1526
25-Jan-2014	1525
29-Jan-2014	1514
1-Feb-2014	1496
4-Feb-2014	1490
9-Feb-2014	1490
15-Feb-2014	1473
20-Feb-2014	1486
23-Feb-2014	1475
26-Feb-2014	1457
6-Mar-2014	1464
9-Mar-2014	1465
16-Mar-2014	1483
23-Mar-2014	1473
