date	rating
20-May-1906	1514
27-May-1906	1502
10-Jun-1906	1486
8-Jul-1906	1469
15-Jul-1906	1480
22-Jul-1906	1471
26-Aug-1906	1489
16-Sep-1906	1481
23-Sep-1906	1465
21-Oct-1906	1456
9-May-1909	1448
23-May-1909	1438
6-Jun-1909	1452
4-May-1913	1443
25-May-1913	1444
8-Jun-1913	1439
15-Jun-1913	1450
22-Jun-1913	1444
27-Jul-1913	1430
3-Aug-1913	1423
17-Aug-1913	1425
7-Sep-1913	1427
16-May-1915	1421
23-May-1915	1416
13-Jun-1915	1402
4-Jul-1915	1424
18-Jul-1915	1420
25-Jul-1915	1415
15-Aug-1915	1409
22-Aug-1915	1390
5-Sep-1915	1385
26-Sep-1915	1405
17-Oct-1915	1431
31-Oct-1915	1425
7-May-1916	1452
28-May-1916	1478
25-Jun-1916	1488
16-Jul-1916	1487
6-Aug-1916	1478
3-Sep-1916	1474
10-Sep-1916	1468
1-Oct-1916	1479
29-Oct-1916	1463
5-Nov-1916	1480
19-Nov-1916	1507
26-Nov-1916	1503
20-May-1917	1513
27-May-1917	1529
3-Jun-1917	1523
10-Jun-1917	1518
1-Jul-1917	1518
8-Jul-1917	1509
15-Jul-1917	1524
5-Aug-1917	1532
26-Aug-1917	1525
9-Sep-1917	1512
30-Sep-1917	1518
28-Oct-1917	1494
4-Nov-1917	1482
18-Nov-1917	1473
9-Dec-1917	1464
16-Dec-1917	1459
23-Dec-1917	1447
24-Feb-1918	1442
14-Apr-1918	1437
21-Apr-1918	1431
28-Apr-1918	1423
5-May-1918	1405
12-May-1918	1396
19-May-1918	1408
26-May-1918	1423
9-Jun-1918	1402
23-Jun-1918	1396
21-Jul-1918	1393
28-Jul-1918	1388
18-Aug-1918	1403
25-Aug-1918	1429
7-Sep-1918	1446
15-Sep-1918	1461
29-Sep-1918	1471
6-Oct-1918	1477
8-Dec-1918	1469
8-Jun-1919	1451
29-Jun-1919	1443
13-Jul-1919	1472
20-Jul-1919	1482
3-Aug-1919	1475
15-Aug-1919	1469
24-Aug-1919	1476
31-Aug-1919	1500
7-Sep-1919	1492
5-Oct-1919	1468
9-Nov-1919	1466
16-Nov-1919	1458
23-Nov-1919	1471
7-Dec-1919	1465
14-Dec-1919	1454
21-Dec-1919	1463
25-Dec-1919	1473
28-Dec-1919	1490
11-Apr-1920	1488
18-Apr-1920	1502
25-Apr-1920	1491
16-May-1920	1483
30-May-1920	1474
20-Jun-1920	1497
4-Jul-1920	1505
1-Aug-1920	1509
8-Aug-1920	1503
15-Aug-1920	1518
24-Oct-1920	1497
31-Oct-1920	1489
7-Nov-1920	1506
14-Nov-1920	1504
21-Nov-1920	1500
28-Nov-1920	1516
5-Dec-1920	1522
12-Dec-1920	1542
3-Apr-1921	1542
17-Apr-1921	1563
24-Apr-1921	1586
1-May-1921	1602
8-May-1921	1602
15-May-1921	1591
19-Jun-1921	1606
3-Jul-1921	1591
17-Jul-1921	1581
24-Jul-1921	1584
7-Aug-1921	1585
28-Aug-1921	1578
2-Apr-1922	1568
16-Apr-1922	1560
23-Apr-1922	1582
30-Apr-1922	1571
14-May-1922	1571
21-May-1922	1567
4-Jun-1922	1577
11-Jun-1922	1569
18-Jun-1922	1582
25-Jun-1922	1582
9-Jul-1922	1572
23-Jul-1922	1568
15-Apr-1923	1559
22-Apr-1923	1589
29-Apr-1923	1579
13-May-1923	1578
20-May-1923	1567
3-Jun-1923	1557
17-Jun-1923	1550
24-Jun-1923	1569
1-Jul-1923	1572
14-Jul-1923	1586
22-Jul-1923	1569
29-Jul-1923	1575
5-Aug-1923	1562
19-Aug-1923	1565
26-Apr-1925	1569
10-May-1925	1565
17-May-1925	1572
24-May-1925	1584
31-May-1925	1598
7-Jun-1925	1582
14-Jun-1925	1569
24-Jun-1925	1558
28-Jun-1925	1548
5-Jul-1925	1541
27-Sep-1925	1538
18-Oct-1925	1537
1-Nov-1925	1528
8-Nov-1925	1536
15-Nov-1925	1549
6-Dec-1925	1537
13-Dec-1925	1524
20-Dec-1925	1513
4-Apr-1926	1530
18-Apr-1926	1553
21-Apr-1926	1560
2-May-1926	1553
16-May-1926	1550
23-May-1926	1536
30-May-1926	1531
6-Jun-1926	1543
12-Jun-1926	1533
13-Jun-1926	1538
27-Jun-1926	1534
4-Jul-1926	1552
18-Jul-1926	1568
25-Jul-1926	1582
1-Aug-1926	1576
8-Aug-1926	1585
15-Aug-1926	1601
29-Aug-1926	1609
1-May-1927	1593
8-May-1927	1580
22-May-1927	1573
29-May-1927	1555
5-Jun-1927	1547
12-Jun-1927	1543
19-Jun-1927	1552
26-Jun-1927	1562
3-Jul-1927	1551
10-Jul-1927	1564
17-Jul-1927	1568
24-Jul-1927	1577
31-Jul-1927	1583
7-Aug-1927	1570
14-Aug-1927	1562
21-Aug-1927	1555
4-Sep-1927	1549
18-Sep-1927	1566
8-Apr-1928	1595
15-Apr-1928	1598
