date	rating
29-Jan-1995	1493
2-Feb-1995	1499
5-Feb-1995	1512
9-Feb-1995	1511
12-Feb-1995	1506
16-Feb-1995	1495
19-Feb-1995	1481
25-Feb-1995	1474
1-Mar-1995	1481
5-Mar-1995	1478
8-Mar-1995	1469
12-Mar-1995	1475
15-Mar-1995	1474
19-Mar-1995	1477
10-Mar-1996	1465
16-Mar-1996	1450
20-Mar-1996	1442
24-Mar-1996	1437
31-Mar-1996	1433
7-Apr-1996	1435
13-Apr-1996	1444
21-Apr-1996	1445
24-Apr-1996	1441
28-Apr-1996	1438
4-May-1996	1449
12-May-1996	1470
19-May-1996	1459
23-May-1996	1447
25-May-1996	1442
29-May-1996	1450
5-Jun-1996	1461
8-Jun-1996	1450
12-Jun-1996	1446
16-Jun-1996	1430
23-Jun-1996	1437
29-Jun-1996	1438
12-Jan-1997	1423
2-Feb-1997	1417
16-Feb-1997	1410
19-Feb-1997	1404
22-Feb-1997	1389
2-Mar-1997	1384
9-Mar-1997	1396
16-Mar-1997	1385
18-Mar-1997	1391
23-Mar-1997	1384
26-Mar-1997	1385
