date	rating
25-Mar-1981	1486
22-Apr-1981	1511
26-Apr-1981	1537
6-May-1981	1543
13-May-1981	1559
17-May-1981	1578
23-Apr-1985	1571
30-Apr-1985	1548
3-May-1985	1531
15-May-1985	1523
21-May-1985	1506
28-May-1985	1525
20-Feb-1991	1509
26-Feb-1991	1517
12-Mar-1991	1526
20-Mar-1991	1511
26-Mar-1991	1520
29-Mar-1991	1509
17-Feb-1993	1514
23-Feb-1993	1497
26-Feb-1993	1480
10-Mar-1993	1471
16-Mar-1993	1493
23-Mar-1993	1525
24-Feb-1999	1512
2-Mar-1999	1511
6-Mar-1999	1491
18-Mar-1999	1479
23-Mar-1999	1503
30-Mar-1999	1525
14-Apr-1999	1531
21-Apr-1999	1561
5-May-1999	1548
12-May-1999	1551
24-Feb-2000	1554
1-Mar-2000	1541
14-Mar-2000	1535
22-Mar-2000	1540
4-Apr-2000	1577
18-Apr-2000	1599
