date	rating
13-Mar-1983	1473
22-Mar-1983	1464
5-Apr-1983	1474
15-Apr-1983	1510
22-Apr-1983	1498
26-Apr-1983	1490
17-Mar-1984	1492
25-Mar-1984	1478
28-Mar-1984	1503
24-Apr-1984	1521
2-May-1984	1531
6-May-1984	1532
12-Mar-1985	1525
17-Mar-1985	1545
21-Mar-1985	1554
28-Mar-1985	1562
7-Apr-1985	1579
14-Apr-1985	1589
19-Sep-1985	1596
19-Sep-1985	1597
1-Oct-1985	1583
4-Oct-1985	1572
24-Feb-1999	1566
9-Mar-1999	1549
12-Mar-1999	1534
17-Mar-1999	1513
26-Mar-1999	1537
9-Apr-1999	1559
23-Feb-2000	1579
2-Mar-2000	1566
9-Mar-2000	1591
22-Mar-2000	1568
13-Apr-2000	1572
19-Apr-2000	1540
31-Jan-2007	1535
7-Feb-2007	1525
11-Feb-2010	1507
16-Feb-2010	1486
25-Feb-2010	1459
24-Mar-2010	1446
6-Apr-2010	1448
15-Apr-2010	1440
