date	rating
24-Jan-2007	1502
27-Jan-2007	1502
4-Feb-2007	1497
10-Feb-2007	1497
17-Feb-2007	1512
11-Mar-2007	1497
17-Mar-2007	1491
25-Mar-2007	1482
28-Mar-2007	1501
1-Apr-2007	1498
8-Apr-2007	1492
20-Jan-2008	1487
23-Jan-2008	1500
26-Jan-2008	1490
29-Jan-2008	1504
1-Feb-2008	1511
6-Feb-2008	1510
10-Feb-2008	1521
2-Mar-2008	1513
9-Mar-2008	1510
12-Mar-2008	1496
16-Mar-2008	1498
22-Mar-2008	1510
26-Mar-2008	1499
30-Mar-2008	1518
5-Apr-2008	1543
16-Jan-2010	1556
20-Jan-2010	1570
24-Jan-2010	1567
27-Jan-2010	1548
31-Jan-2010	1562
4-Feb-2010	1554
7-Feb-2010	1551
27-Feb-2010	1562
3-Mar-2010	1570
7-Mar-2010	1565
13-Mar-2010	1577
21-Mar-2010	1566
24-Mar-2010	1553
29-Mar-2010	1545
4-Apr-2010	1556
19-Jan-2011	1556
22-Jan-2011	1564
27-Jan-2011	1585
30-Jan-2011	1592
2-Feb-2011	1579
6-Feb-2011	1574
13-Feb-2011	1584
3-Mar-2011	1597
9-Mar-2011	1577
12-Mar-2011	1588
19-Mar-2011	1612
26-Mar-2011	1617
2-Apr-2011	1604
9-Apr-2011	1591
17-Apr-2011	1604
22-Jan-2012	1614
29-Jan-2012	1611
1-Feb-2012	1626
5-Feb-2012	1623
8-Feb-2012	1598
11-Feb-2012	1607
18-Feb-2012	1603
29-Feb-2012	1617
4-Mar-2012	1605
10-Mar-2012	1586
18-Mar-2012	1573
24-Mar-2012	1554
31-Mar-2012	1542
8-Apr-2012	1538
15-Apr-2012	1544
19-Jan-2013	1535
24-Jan-2013	1536
27-Jan-2013	1525
30-Jan-2013	1534
2-Feb-2013	1543
7-Feb-2013	1551
16-Feb-2013	1558
24-Feb-2013	1564
16-Mar-2013	1552
23-Mar-2013	1557
27-Mar-2013	1566
30-Mar-2013	1560
7-Apr-2013	1559
13-Apr-2013	1546
21-Apr-2013	1557
18-Jan-2014	1561
21-Jan-2014	1570
26-Jan-2014	1566
30-Jan-2014	1574
2-Feb-2014	1574
5-Feb-2014	1566
9-Feb-2014	1578
15-Feb-2014	1568
20-Feb-2014	1555
23-Feb-2014	1534
26-Feb-2014	1544
5-Mar-2014	1543
9-Mar-2014	1552
15-Mar-2014	1566
23-Mar-2014	1574
2-Apr-2014	1557
23-Apr-2014	1532
31-Jan-2015	1523
5-Feb-2015	1522
8-Feb-2015	1512
12-Feb-2015	1505
19-Feb-2015	1500
22-Feb-2015	1491
1-Mar-2015	1493
7-Mar-2015	1478
11-Mar-2015	1477
14-Mar-2015	1491
22-Mar-2015	1468
26-Mar-2015	1464
29-Mar-2015	1451
4-Apr-2015	1450
8-Apr-2015	1451
30-Jan-2016	1457
3-Feb-2016	1478
10-Feb-2016	1485
14-Feb-2016	1498
21-Feb-2016	1499
25-Feb-2016	1498
28-Feb-2016	1505
6-Mar-2016	1500
13-Mar-2016	1512
19-Mar-2016	1508
27-Mar-2016	1497
30-Mar-2016	1509
2-Apr-2016	1499
9-Apr-2016	1491
17-Apr-2016	1487
23-Apr-2016	1471
