date	rating
7-Apr-1963	1485
14-Apr-1963	1509
26-Jun-1963	1524
31-Jul-1963	1537
7-Aug-1963	1554
15-Aug-1963	1570
4-Sep-1963	1566
11-Sep-1963	1562
7-Feb-1965	1573
14-Feb-1965	1586
26-Feb-1965	1605
5-Mar-1965	1621
24-Mar-1965	1598
28-Mar-1965	1615
5-Apr-1965	1615
10-Feb-1966	1595
17-Feb-1966	1576
19-Feb-1966	1584
23-Feb-1966	1594
25-Feb-1966	1613
2-Mar-1966	1623
8-Mar-1966	1638
10-Mar-1966	1613
18-Mar-1966	1628
24-Mar-1966	1650
30-Mar-1966	1666
7-Apr-1966	1641
14-Apr-1966	1641
19-Apr-1966	1635
29-Apr-1966	1636
4-May-1966	1652
17-Feb-1970	1672
22-Feb-1970	1678
26-Feb-1970	1673
7-Mar-1970	1693
12-Mar-1970	1701
19-Mar-1970	1714
11-Apr-1970	1725
16-Apr-1970	1707
22-Apr-1970	1714
30-Apr-1970	1712
19-Feb-1971	1719
1-Mar-1971	1685
4-Mar-1971	1677
17-Mar-1971	1672
9-Mar-1977	1689
14-Apr-1977	1683
20-Apr-1977	1695
28-Apr-1977	1708
11-May-1977	1719
18-May-1977	1718
14-Jul-1977	1726
20-Jul-1977	1733
3-Aug-1977	1727
16-Aug-1977	1720
6-Sep-1977	1741
11-Sep-1977	1731
14-Sep-1977	1737
19-Sep-1978	1737
24-Sep-1978	1755
5-Oct-1978	1779
17-Oct-1978	1799
23-Nov-1978	1793
28-Nov-1978	1810
16-May-1979	1818
13-Jun-1979	1800
27-Jun-1979	1820
4-Jul-1979	1812
11-Jul-1979	1824
22-Jul-1979	1793
27-Jul-1979	1790
30-Jun-1982	1763
5-Aug-1982	1761
11-Aug-1982	1736
31-Aug-1982	1742
17-Sep-1982	1731
30-Sep-1982	1716
9-Jul-1986	1715
17-Jul-1986	1730
23-Jul-1986	1697
1-Aug-1986	1695
7-Aug-1986	1707
20-Aug-1986	1694
12-Feb-1989	1694
20-Feb-1989	1674
23-Feb-1989	1652
8-Mar-1989	1668
14-Mar-1989	1688
21-Mar-1989	1696
29-Mar-1989	1718
5-Apr-1989	1688
12-Apr-1989	1707
27-Feb-1991	1724
12-Mar-1991	1695
15-Mar-1991	1671
20-Mar-1991	1696
29-Mar-1991	1692
5-Apr-1991	1685
17-Apr-1991	1711
24-Apr-1991	1713
1-May-1991	1701
8-May-1991	1733
16-May-1991	1745
22-May-1991	1716
13-Feb-1994	1710
9-Mar-1994	1699
16-Mar-1994	1686
23-Mar-1994	1668
30-Mar-1994	1691
6-Apr-1994	1679
23-Feb-2000	1659
2-Mar-2000	1672
16-Mar-2000	1671
22-Mar-2000	1694
12-Apr-2000	1708
19-Apr-2000	1727
3-May-2000	1723
9-May-2000	1740
17-May-2000	1725
24-May-2000	1755
31-May-2000	1776
7-Jun-2000	1747
14-Jun-2000	1748
22-Jun-2000	1749
21-Feb-2001	1754
28-Feb-2001	1763
7-Mar-2001	1773
20-Mar-2001	1781
4-Apr-2001	1785
2-May-2001	1747
10-May-2001	1757
16-May-2001	1750
23-May-2001	1770
30-May-2001	1800
7-Jun-2001	1799
13-Jun-2001	1798
20-Jun-2001	1808
28-Jun-2001	1787
13-Feb-2002	1777
27-Feb-2002	1783
6-Mar-2002	1793
14-Mar-2002	1768
20-Mar-2002	1773
10-Apr-2002	1785
25-Apr-2002	1779
1-May-2002	1792
8-May-2002	1787
16-May-2002	1767
20-Feb-2003	1776
26-Feb-2003	1783
5-Mar-2003	1792
26-Mar-2003	1767
3-Apr-2003	1760
10-Apr-2003	1753
24-Apr-2003	1734
15-May-2003	1753
21-May-2003	1763
28-May-2003	1773
11-Jun-2003	1792
19-Jun-2003	1813
25-Jun-2003	1835
1-Jul-2003	1855
18-Feb-2004	1820
3-Mar-2004	1828
10-Mar-2004	1838
24-Mar-2004	1854
8-Apr-2004	1829
21-Apr-2004	1842
4-May-2004	1847
12-May-2004	1852
20-May-2004	1850
25-May-2004	1849
10-Jun-2004	1858
17-Jun-2004	1836
23-Jun-2004	1829
1-Jul-2004	1822
17-Feb-2005	1811
2-Mar-2005	1821
16-Mar-2005	1782
6-Apr-2005	1793
27-Apr-2005	1804
4-May-2005	1811
17-May-2005	1803
26-May-2005	1816
2-Jun-2005	1774
14-Jun-2005	1770
14-Feb-2007	1762
1-Mar-2007	1766
14-Mar-2007	1729
22-Mar-2007	1742
4-Apr-2007	1700
26-Apr-2007	1717
2-May-2007	1743
9-May-2007	1717
17-May-2007	1715
24-May-2007	1736
31-May-2007	1705
7-Jun-2007	1725
13-Jun-2007	1749
20-Jun-2007	1766
20-Feb-2008	1756
6-Mar-2008	1773
20-Mar-2008	1739
27-Mar-2008	1749
9-Apr-2008	1718
22-Apr-2008	1728
30-Apr-2008	1743
7-May-2008	1757
14-May-2008	1752
21-May-2008	1772
28-May-2008	1772
4-Jun-2008	1749
17-Feb-2009	1755
4-Mar-2009	1759
18-Mar-2009	1767
9-Apr-2009	1775
23-Apr-2009	1750
30-Apr-2009	1758
14-May-2009	1751
21-May-2009	1730
14-Feb-2012	1722
7-Mar-2012	1709
14-Mar-2012	1718
29-Mar-2012	1731
11-Apr-2012	1755
18-Apr-2012	1762
13-Feb-2013	1740
27-Feb-2013	1750
7-Mar-2013	1732
14-Mar-2013	1746
3-Apr-2013	1755
17-Apr-2013	1733
1-May-2013	1750
15-May-2013	1752
23-May-2013	1747
29-May-2013	1742
