date	rating
25-Feb-1987	1496
8-Mar-1987	1496
15-Mar-1987	1497
18-Mar-1987	1489
22-Mar-1987	1507
25-Mar-1987	1519
28-Mar-1987	1510
1-Apr-1987	1498
8-Apr-1987	1488
12-Apr-1987	1485
15-Apr-1987	1478
18-Apr-1987	1467
21-Apr-1987	1471
26-Apr-1987	1472
29-Apr-1987	1464
3-May-1987	1470
6-May-1987	1477
10-May-1987	1466
14-May-1987	1453
17-May-1987	1463
20-May-1987	1463
28-May-1987	1466
31-May-1987	1486
7-Jun-1987	1482
14-Jun-1987	1491
18-Jun-1987	1487
31-Jan-1988	1478
6-Feb-1988	1474
21-Feb-1988	1476
24-Feb-1988	1490
28-Feb-1988	1481
2-Mar-1988	1479
5-Mar-1988	1472
13-Mar-1988	1467
20-Mar-1988	1466
23-Mar-1988	1459
27-Mar-1988	1480
2-Apr-1988	1475
9-Apr-1988	1492
14-Apr-1988	1477
17-Apr-1988	1465
20-Apr-1988	1454
24-Apr-1988	1453
1-May-1988	1436
8-May-1988	1451
15-May-1988	1459
22-May-1988	1460
28-May-1988	1464
12-Feb-1989	1468
19-Feb-1989	1465
26-Feb-1989	1455
5-Mar-1989	1461
12-Mar-1989	1483
19-Mar-1989	1473
22-Mar-1989	1468
26-Mar-1989	1462
2-Apr-1989	1473
16-Apr-1989	1473
22-Apr-1989	1473
29-Apr-1989	1471
3-May-1989	1474
7-May-1989	1491
14-May-1989	1481
17-May-1989	1476
21-May-1989	1475
27-May-1989	1470
31-May-1989	1478
4-Jun-1989	1469
7-Jun-1989	1470
11-Jun-1989	1470
27-Jan-1990	1462
31-Jan-1990	1453
3-Feb-1990	1444
7-Feb-1990	1451
11-Feb-1990	1447
14-Feb-1990	1444
18-Feb-1990	1439
21-Feb-1990	1429
4-Mar-1990	1431
7-Mar-1990	1440
10-Mar-1990	1455
18-Mar-1990	1449
21-Mar-1990	1467
25-Mar-1990	1481
28-Mar-1990	1476
31-Mar-1990	1483
8-Apr-1990	1484
11-Apr-1990	1479
15-Apr-1990	1479
20-Apr-1990	1473
22-Apr-1990	1470
28-Apr-1990	1464
12-Mar-2000	1469
20-Mar-2000	1469
22-Mar-2000	1455
26-Mar-2000	1457
29-Mar-2000	1457
2-Apr-2000	1445
9-Apr-2000	1452
12-Apr-2000	1437
16-Apr-2000	1421
19-Apr-2000	1418
22-Apr-2000	1413
21-Jan-2001	1426
26-Jan-2001	1417
4-Feb-2001	1413
11-Feb-2001	1402
17-Feb-2001	1398
11-Mar-2001	1395
18-Mar-2001	1386
25-Mar-2001	1389
28-Mar-2001	1386
2-Apr-2001	1373
8-Apr-2001	1367
15-Apr-2001	1378
22-Apr-2001	1391
28-Apr-2001	1388
6-May-2001	1391
12-May-2001	1398
19-Jan-2003	1400
25-Jan-2003	1403
29-Jan-2003	1405
1-Feb-2003	1401
8-Feb-2003	1420
12-Feb-2003	1422
15-Feb-2003	1417
19-Feb-2003	1431
23-Feb-2003	1424
26-Feb-2003	1419
1-Mar-2003	1414
25-Jan-2004	1410
29-Jan-2004	1402
31-Jan-2004	1420
7-Feb-2004	1411
11-Feb-2004	1405
29-Feb-2004	1408
4-Mar-2004	1401
7-Mar-2004	1408
11-Mar-2004	1432
14-Mar-2004	1429
21-Mar-2004	1430
23-Jan-2005	1425
26-Jan-2005	1437
29-Jan-2005	1453
2-Feb-2005	1469
5-Feb-2005	1459
13-Feb-2005	1446
23-Feb-2005	1436
27-Feb-2005	1417
6-Mar-2005	1433
12-Mar-2005	1423
20-Mar-2005	1434
23-Mar-2005	1440
14-Jan-2006	1435
19-Jan-2006	1451
22-Jan-2006	1443
28-Jan-2006	1451
1-Feb-2006	1467
6-Feb-2006	1468
15-Feb-2006	1476
19-Feb-2006	1465
1-Mar-2006	1471
5-Mar-2006	1493
8-Mar-2006	1482
12-Mar-2006	1483
15-Mar-2006	1506
19-Mar-2006	1505
26-Mar-2006	1504
25-Jan-2007	1497
31-Jan-2007	1492
3-Feb-2007	1482
10-Feb-2007	1482
15-Feb-2007	1474
11-Mar-2007	1466
17-Mar-2007	1483
25-Mar-2007	1503
28-Mar-2007	1495
31-Mar-2007	1512
8-Apr-2007	1528
12-Apr-2007	1530
15-Apr-2007	1536
22-Apr-2007	1529
19-Jan-2008	1542
24-Jan-2008	1553
27-Jan-2008	1537
30-Jan-2008	1522
2-Feb-2008	1538
6-Feb-2008	1544
10-Feb-2008	1534
1-Mar-2008	1528
8-Mar-2008	1526
12-Mar-2008	1540
16-Mar-2008	1529
22-Mar-2008	1524
26-Mar-2008	1534
30-Mar-2008	1531
5-Apr-2008	1548
20-Jan-2011	1529
23-Jan-2011	1521
26-Jan-2011	1504
30-Jan-2011	1501
2-Feb-2011	1491
5-Feb-2011	1492
13-Feb-2011	1507
3-Mar-2011	1491
9-Mar-2011	1501
12-Mar-2011	1490
20-Mar-2011	1496
27-Mar-2011	1486
2-Apr-2011	1474
9-Apr-2011	1470
17-Apr-2011	1461
19-Jan-2014	1472
23-Jan-2014	1472
26-Jan-2014	1489
30-Jan-2014	1481
2-Feb-2014	1490
5-Feb-2014	1500
8-Feb-2014	1491
15-Feb-2014	1503
20-Feb-2014	1510
23-Feb-2014	1526
26-Feb-2014	1531
6-Mar-2014	1531
9-Mar-2014	1530
16-Mar-2014	1512
23-Mar-2014	1508
1-Feb-2015	1501
5-Feb-2015	1501
8-Feb-2015	1488
11-Feb-2015	1482
19-Feb-2015	1498
22-Feb-2015	1517
28-Feb-2015	1516
8-Mar-2015	1503
11-Mar-2015	1494
15-Mar-2015	1481
22-Mar-2015	1475
26-Mar-2015	1469
29-Mar-2015	1468
4-Apr-2015	1453
8-Apr-2015	1463
30-Jan-2016	1462
3-Feb-2016	1452
11-Feb-2016	1465
14-Feb-2016	1450
21-Feb-2016	1446
24-Feb-2016	1442
27-Feb-2016	1455
6-Mar-2016	1448
12-Mar-2016	1438
19-Mar-2016	1437
26-Mar-2016	1449
31-Mar-2016	1440
3-Apr-2016	1428
9-Apr-2016	1441
16-Apr-2016	1453
