date	rating
1-Jul-1962	1518
8-Jul-1962	1515
15-Jul-1962	1513
22-Jul-1962	1526
28-Jul-1962	1531
5-Aug-1962	1528
12-Aug-1962	1523
26-Aug-1962	1511
2-Sep-1962	1500
9-Sep-1962	1519
16-Sep-1962	1515
21-Sep-1962	1508
28-Sep-1962	1505
6-Oct-1962	1492
14-Oct-1962	1503
21-Oct-1962	1491
28-Oct-1962	1496
3-Nov-1962	1491
8-Nov-1962	1486
15-Nov-1962	1470
25-Nov-1962	1479
2-Dec-1962	1483
9-Dec-1962	1489
14-Dec-1962	1496
30-Jun-1963	1492
7-Jul-1963	1509
14-Jul-1963	1511
21-Jul-1963	1521
27-Jul-1963	1516
3-Aug-1963	1514
11-Aug-1963	1511
18-Aug-1963	1517
25-Aug-1963	1508
8-Sep-1963	1504
15-Sep-1963	1513
22-Sep-1963	1510
29-Sep-1963	1503
6-Oct-1963	1510
10-Oct-1963	1512
13-Oct-1963	1512
19-Oct-1963	1507
26-Oct-1963	1504
3-Nov-1963	1500
10-Nov-1963	1496
17-Nov-1963	1519
1-Dec-1963	1526
8-Dec-1963	1507
15-Dec-1963	1515
5-Jul-1964	1513
12-Jul-1964	1519
22-Jul-1964	1546
2-Aug-1964	1569
9-Aug-1964	1566
16-Aug-1964	1582
20-Aug-1964	1585
22-Aug-1964	1572
30-Aug-1964	1576
6-Sep-1964	1557
10-Sep-1964	1553
19-Sep-1964	1558
25-Sep-1964	1553
1-Oct-1964	1545
4-Oct-1964	1542
17-Oct-1964	1548
25-Oct-1964	1555
5-Nov-1964	1531
8-Nov-1964	1538
15-Nov-1964	1548
22-Nov-1964	1542
29-Nov-1964	1541
5-Dec-1964	1537
13-Dec-1964	1528
11-Sep-1966	1526
18-Sep-1966	1536
21-Sep-1966	1532
25-Sep-1966	1528
28-Sep-1966	1525
2-Oct-1966	1521
9-Oct-1966	1514
16-Oct-1966	1525
19-Oct-1966	1513
23-Oct-1966	1499
29-Oct-1966	1505
26-Aug-1967	1513
3-Sep-1967	1513
6-Sep-1967	1527
10-Sep-1967	1535
1-Oct-1967	1543
8-Oct-1967	1531
14-Oct-1967	1546
21-Oct-1967	1543
28-Oct-1967	1537
4-Nov-1967	1544
11-Nov-1967	1534
18-Nov-1967	1529
26-Nov-1967	1535
29-Nov-1967	1532
3-Dec-1967	1528
10-Dec-1967	1521
13-Dec-1967	1528
17-Dec-1967	1539
10-Mar-1968	1539
16-Mar-1968	1543
24-Mar-1968	1538
28-Mar-1968	1535
31-Mar-1968	1532
3-Apr-1968	1528
7-Apr-1968	1524
14-Apr-1968	1536
21-Apr-1968	1545
27-Apr-1968	1540
2-May-1968	1538
9-Mar-1969	1534
16-Mar-1969	1523
19-Mar-1969	1532
22-Mar-1969	1539
30-Mar-1969	1544
12-Apr-1969	1541
21-Apr-1969	1530
27-Apr-1969	1532
1-May-1969	1526
4-May-1969	1520
11-May-1969	1528
28-Jun-1970	1523
4-Jul-1970	1518
8-Jul-1970	1511
11-Jul-1970	1518
18-Jul-1970	1515
22-Jul-1970	1513
26-Jul-1970	1528
1-Aug-1970	1530
5-Aug-1970	1526
9-Aug-1970	1522
16-Aug-1970	1523
22-Aug-1970	1519
30-Aug-1970	1512
3-Sep-1970	1509
10-Sep-1970	1505
12-Sep-1970	1502
17-Sep-1970	1510
20-Sep-1970	1502
11-Mar-1971	1510
14-Mar-1971	1497
19-Mar-1971	1502
25-Mar-1971	1499
31-Mar-1971	1496
4-Apr-1971	1485
26-Feb-1972	1478
5-Mar-1972	1486
11-Mar-1972	1479
15-Mar-1972	1506
19-Mar-1972	1508
25-Mar-1972	1487
2-Apr-1972	1499
9-Apr-1972	1504
15-Apr-1972	1499
20-Apr-1972	1490
23-Apr-1972	1482
11-Mar-1973	1491
18-Mar-1973	1485
21-Mar-1973	1476
24-Mar-1973	1472
4-Apr-1973	1467
8-Apr-1973	1457
15-Apr-1973	1452
18-Apr-1973	1444
22-Apr-1973	1442
29-Apr-1973	1429
5-May-1973	1428
3-Aug-1974	1432
11-Aug-1974	1431
14-Aug-1974	1424
18-Aug-1974	1419
25-Aug-1974	1418
1-Sep-1974	1418
4-Sep-1974	1415
11-Sep-1974	1410
15-Sep-1974	1421
22-Sep-1974	1423
25-Sep-1974	1428
5-Oct-1974	1425
9-Oct-1974	1418
12-Oct-1974	1425
19-Oct-1974	1408
23-Oct-1974	1405
27-Oct-1974	1409
3-Nov-1974	1404
9-Nov-1974	1399
13-Nov-1974	1393
16-Nov-1974	1401
23-Nov-1974	1406
27-Nov-1974	1414
1-Dec-1974	1427
8-Dec-1974	1442
2-Mar-1975	1445
9-Mar-1975	1434
12-Mar-1975	1426
16-Mar-1975	1420
26-Mar-1975	1416
30-Mar-1975	1415
2-Apr-1975	1414
5-Apr-1975	1406
9-Apr-1975	1401
13-Apr-1975	1392
20-Apr-1975	1392
1-May-1975	1386
3-May-1975	1382
7-May-1975	1392
11-May-1975	1394
18-May-1975	1380
21-May-1975	1388
24-May-1975	1384
31-May-1975	1374
4-Jun-1975	1371
7-Jun-1975	1384
15-Jun-1975	1375
14-Mar-1976	1386
17-Mar-1976	1383
21-Mar-1976	1381
24-Mar-1976	1385
27-Mar-1976	1382
4-Apr-1976	1374
11-Apr-1976	1374
14-Apr-1976	1369
18-Apr-1976	1373
21-Apr-1976	1364
24-Apr-1976	1382
1-May-1976	1382
5-May-1976	1378
9-May-1976	1361
6-Jun-1976	1372
12-Jun-1976	1372
20-Jun-1976	1357
3-Jul-1976	1344
14-Jul-1976	1334
17-Jul-1976	1325
25-Jul-1976	1326
28-Jul-1976	1327
1-Aug-1976	1320
7-Aug-1976	1323
11-Aug-1976	1324
14-Aug-1976	1321
27-Mar-1977	1311
3-Apr-1977	1308
6-Apr-1977	1305
9-Apr-1977	1303
13-Apr-1977	1307
17-Apr-1977	1299
24-Apr-1977	1312
27-Apr-1977	1316
1-May-1977	1331
7-May-1977	1324
15-May-1977	1325
18-May-1977	1320
22-May-1977	1311
29-May-1977	1309
17-Jul-1977	1307
24-Jul-1977	1304
30-Jul-1977	1296
4-Aug-1977	1286
7-Aug-1977	1279
10-Aug-1977	1294
24-Aug-1977	1307
27-Aug-1977	1293
31-Aug-1977	1289
4-Sep-1977	1289
7-Sep-1977	1283
11-Sep-1977	1287
18-Sep-1977	1285
25-Sep-1977	1300
3-Sep-1978	1288
6-Sep-1978	1285
10-Sep-1978	1283
17-Sep-1978	1287
20-Sep-1978	1286
23-Sep-1978	1276
27-Sep-1978	1272
30-Sep-1978	1271
8-Oct-1978	1275
11-Oct-1978	1270
15-Oct-1978	1275
22-Oct-1978	1269
29-Oct-1978	1267
1-Nov-1978	1260
5-Nov-1978	1283
8-Nov-1978	1287
12-Nov-1978	1285
16-Nov-1978	1284
19-Nov-1978	1282
25-Nov-1978	1287
29-Nov-1978	1295
2-Dec-1978	1286
6-May-1979	1291
12-May-1979	1303
20-May-1979	1316
27-May-1979	1315
30-May-1979	1330
3-Jun-1979	1333
7-Jun-1979	1337
10-Jun-1979	1332
