date	rating
20-May-1917	1476
27-May-1917	1478
3-Jun-1917	1478
10-Jun-1917	1469
1-Jul-1917	1466
8-Jul-1917	1460
15-Jul-1917	1445
22-Jul-1917	1440
2-Sep-1917	1430
9-Sep-1917	1443
16-Sep-1917	1434
30-Sep-1917	1452
28-Oct-1917	1445
4-Nov-1917	1442
18-Nov-1917	1437
9-Dec-1917	1424
23-Dec-1917	1419
30-Dec-1917	1415
21-Apr-1918	1411
5-May-1918	1429
12-May-1918	1423
19-May-1918	1416
26-May-1918	1423
23-Jun-1918	1410
30-Jun-1918	1406
14-Jul-1918	1423
21-Jul-1918	1420
25-Aug-1918	1434
7-Sep-1918	1430
15-Sep-1918	1416
29-Sep-1918	1411
6-Oct-1918	1421
13-Oct-1918	1441
15-Dec-1918	1456
22-Dec-1918	1474
29-Dec-1918	1467
8-Jun-1919	1462
22-Jun-1919	1455
29-Jun-1919	1461
13-Jul-1919	1456
20-Jul-1919	1446
27-Jul-1919	1438
3-Aug-1919	1427
24-Aug-1919	1436
7-Sep-1919	1442
5-Oct-1919	1438
26-Oct-1919	1432
16-Nov-1919	1417
23-Nov-1919	1404
30-Nov-1919	1397
7-Dec-1919	1389
21-Dec-1919	1376
25-Dec-1919	1371
28-Dec-1919	1365
19-Apr-1931	1361
26-Apr-1931	1360
10-May-1931	1354
17-May-1931	1350
24-May-1931	1348
31-May-1931	1336
7-Jun-1931	1326
14-Jun-1931	1329
20-Sep-1931	1338
27-Sep-1931	1334
11-Oct-1931	1330
18-Oct-1931	1328
25-Oct-1931	1323
8-Nov-1931	1341
15-Nov-1931	1339
22-Nov-1931	1330
29-Nov-1931	1346
6-Dec-1931	1349
13-Dec-1931	1345
20-Dec-1931	1363
27-Dec-1931	1375
3-Jan-1932	1392
24-Apr-1932	1383
1-May-1932	1394
8-May-1932	1407
15-May-1932	1404
22-May-1932	1398
5-Jun-1932	1390
12-Jun-1932	1387
19-Jun-1932	1405
26-Jun-1932	1422
10-Jul-1932	1436
17-Jul-1932	1432
24-Jul-1932	1422
31-Jul-1932	1407
7-Aug-1932	1391
14-Aug-1932	1421
21-Aug-1932	1417
4-Sep-1932	1411
11-Sep-1932	1409
18-Sep-1932	1403
25-Sep-1932	1411
9-Oct-1932	1409
16-Oct-1932	1425
