date	rating
23-Aug-1959	1500
30-Aug-1959	1500
1-Sep-1959	1512
20-Sep-1959	1513
27-Sep-1959	1514
29-Sep-1959	1502
2-Sep-1962	1502
9-Sep-1962	1521
23-Sep-1962	1520
30-Sep-1962	1518
3-Oct-1962	1535
31-Oct-1962	1517
8-Nov-1962	1519
25-Aug-1963	1502
28-Aug-1963	1517
1-Sep-1963	1538
4-Sep-1963	1542
11-Sep-1963	1547
15-Sep-1963	1538
30-Aug-1964	1562
6-Sep-1964	1549
9-Sep-1964	1563
20-Sep-1964	1539
27-Sep-1964	1553
29-Sep-1964	1576
18-Oct-1964	1561
25-Oct-1964	1577
27-Oct-1964	1592
8-Nov-1964	1588
18-Nov-1964	1580
7-Aug-1971	1579
11-Aug-1971	1573
15-Aug-1971	1573
22-Aug-1971	1593
29-Aug-1971	1582
1-Sep-1971	1572
5-Sep-1971	1560
8-Sep-1971	1567
11-Sep-1971	1570
19-Sep-1971	1562
25-Sep-1971	1555
3-Oct-1971	1548
10-Oct-1971	1554
17-Oct-1971	1574
20-Oct-1971	1558
24-Oct-1971	1549
31-Oct-1971	1542
7-Nov-1971	1522
14-Nov-1971	1511
10-Sep-1972	1527
13-Sep-1972	1558
17-Sep-1972	1565
20-Sep-1972	1564
24-Sep-1972	1570
27-Sep-1972	1559
1-Oct-1972	1550
4-Oct-1972	1554
8-Oct-1972	1573
11-Oct-1972	1577
15-Oct-1972	1589
18-Oct-1972	1588
22-Oct-1972	1596
25-Oct-1972	1573
29-Oct-1972	1577
1-Nov-1972	1591
5-Nov-1972	1597
8-Nov-1972	1625
12-Nov-1972	1619
16-Nov-1972	1620
19-Nov-1972	1612
22-Nov-1972	1615
26-Nov-1972	1614
29-Nov-1972	1605
3-Dec-1972	1623
9-Dec-1972	1626
14-Dec-1972	1617
17-Dec-1972	1620
26-Aug-1973	1620
29-Aug-1973	1618
2-Sep-1973	1605
5-Sep-1973	1581
8-Sep-1973	1587
13-Sep-1973	1580
16-Sep-1973	1593
23-Sep-1973	1619
26-Sep-1973	1620
30-Sep-1973	1620
4-Oct-1973	1618
7-Oct-1973	1601
14-Oct-1973	1606
17-Oct-1973	1599
21-Oct-1973	1609
24-Oct-1973	1619
27-Oct-1973	1596
1-Nov-1973	1601
4-Nov-1973	1598
11-Nov-1973	1599
14-Nov-1973	1598
18-Nov-1973	1611
25-Nov-1973	1620
28-Nov-1973	1631
2-Dec-1973	1610
8-Dec-1973	1621
12-Dec-1973	1630
16-Dec-1973	1630
13-Jan-1974	1608
16-Jan-1974	1592
19-Jan-1974	1581
23-Jan-1974	1569
27-Jan-1974	1575
30-Jan-1974	1568
3-Feb-1974	1559
6-Feb-1974	1549
10-Feb-1974	1537
9-Mar-1974	1535
17-Mar-1974	1535
20-Mar-1974	1527
23-Mar-1974	1529
27-Mar-1974	1521
30-Mar-1974	1515
3-Apr-1974	1510
10-Apr-1974	1522
20-Apr-1974	1537
27-Apr-1974	1531
4-May-1974	1519
11-May-1974	1536
15-May-1974	1522
18-May-1974	1536
25-May-1974	1544
2-Jun-1974	1544
5-Jun-1974	1551
9-Jun-1974	1558
12-Jun-1974	1558
24-Aug-1975	1571
27-Aug-1975	1558
31-Aug-1975	1541
3-Sep-1975	1530
6-Sep-1975	1522
10-Sep-1975	1545
14-Sep-1975	1545
21-Sep-1975	1563
24-Sep-1975	1555
28-Sep-1975	1558
26-Oct-1975	1573
30-Oct-1975	1572
2-Nov-1975	1557
5-Nov-1975	1539
29-Aug-1976	1526
1-Sep-1976	1525
4-Sep-1976	1532
7-Sep-1976	1523
19-Sep-1976	1510
22-Sep-1976	1499
25-Sep-1976	1487
30-Sep-1976	1488
10-Oct-1976	1490
17-Oct-1976	1508
20-Oct-1976	1495
23-Oct-1976	1496
16-Oct-1977	1481
19-Oct-1977	1482
23-Oct-1977	1494
26-Oct-1977	1487
6-Nov-1977	1509
9-Nov-1977	1496
13-Nov-1977	1517
20-Nov-1977	1533
24-Nov-1977	1519
27-Nov-1977	1511
30-Nov-1977	1493
8-Dec-1977	1491
11-Dec-1977	1505
15-Dec-1977	1528
18-Dec-1977	1524
26-Mar-1978	1531
6-Apr-1978	1553
9-Apr-1978	1560
12-Apr-1978	1547
15-Apr-1978	1536
20-Apr-1978	1553
23-Apr-1978	1551
26-Apr-1978	1549
30-Apr-1978	1568
4-May-1978	1580
14-May-1978	1575
24-May-1978	1577
31-May-1978	1610
4-Jun-1978	1596
7-Jun-1978	1583
10-Jun-1978	1575
13-Jun-1978	1566
17-Jun-1978	1582
24-Jun-1978	1574
3-Oct-1979	1599
6-Oct-1979	1613
10-Oct-1979	1639
14-Oct-1979	1625
17-Oct-1979	1600
20-Oct-1979	1585
24-Oct-1979	1559
27-Oct-1979	1553
4-Nov-1979	1560
7-Nov-1979	1572
10-Nov-1979	1564
14-Nov-1979	1562
18-Nov-1979	1560
21-Nov-1979	1546
25-Nov-1979	1568
28-Nov-1979	1560
24-Feb-1980	1567
27-Feb-1980	1563
2-Mar-1980	1563
5-Mar-1980	1591
9-Mar-1980	1590
16-Mar-1980	1579
19-Mar-1980	1569
23-Mar-1980	1589
30-Mar-1980	1579
6-Apr-1980	1591
13-Apr-1980	1580
17-Apr-1980	1571
21-Apr-1980	1570
27-Apr-1980	1575
3-May-1980	1564
17-Jan-1982	1572
20-Jan-1982	1583
28-Jan-1982	1589
31-Jan-1982	1594
7-Feb-1982	1577
10-Feb-1982	1570
14-Feb-1982	1579
17-Feb-1982	1584
28-Feb-1982	1577
7-Mar-1982	1588
11-Mar-1982	1577
14-Mar-1982	1596
17-Mar-1982	1590
25-Mar-1982	1607
27-Jan-1985	1628
30-Jan-1985	1622
3-Feb-1985	1602
6-Feb-1985	1610
10-Feb-1985	1605
13-Feb-1985	1603
24-Feb-1985	1601
28-Feb-1985	1593
3-Mar-1985	1604
6-Mar-1985	1609
10-Mar-1985	1602
16-Mar-1985	1615
20-Mar-1985	1622
24-Mar-1985	1630
27-Mar-1985	1641
31-Mar-1985	1651
3-Apr-1985	1626
7-Apr-1985	1637
10-Apr-1985	1628
14-Apr-1985	1632
21-Apr-1985	1638
4-Jul-1985	1644
7-Jul-1985	1643
10-Jul-1985	1624
14-Jul-1985	1600
17-Jul-1985	1617
21-Jul-1985	1622
31-Aug-1986	1616
2-Sep-1986	1623
7-Sep-1986	1606
10-Sep-1986	1622
14-Sep-1986	1604
17-Sep-1986	1609
24-Sep-1986	1610
27-Sep-1986	1615
1-Oct-1986	1602
5-Oct-1986	1617
12-Oct-1986	1605
15-Oct-1986	1597
19-Oct-1986	1613
22-Oct-1986	1595
29-Oct-1986	1580
2-Nov-1986	1558
9-Nov-1986	1573
12-Nov-1986	1577
23-Nov-1986	1576
26-Nov-1986	1589
29-Nov-1986	1594
7-Dec-1986	1611
10-Dec-1986	1639
14-Dec-1986	1615
25-Jan-1987	1619
28-Jan-1987	1603
13-Sep-1987	1615
16-Sep-1987	1604
20-Sep-1987	1590
27-Sep-1987	1589
1-Oct-1987	1602
4-Oct-1987	1605
11-Oct-1987	1595
18-Oct-1987	1585
21-Oct-1987	1570
25-Oct-1987	1563
28-Oct-1987	1540
8-Nov-1987	1554
14-Nov-1987	1543
20-Nov-1987	1561
