date	rating
27-Sep-1979	1502
4-Oct-1979	1490
6-Oct-1979	1494
10-Oct-1979	1503
14-Oct-1979	1504
17-Oct-1979	1518
21-Oct-1979	1534
24-Oct-1979	1516
28-Oct-1979	1532
7-Nov-1979	1521
11-Nov-1979	1507
15-Nov-1979	1504
18-Nov-1979	1491
21-Nov-1979	1498
25-Nov-1979	1511
28-Nov-1979	1512
16-Oct-1986	1504
19-Oct-1986	1519
22-Oct-1986	1540
26-Oct-1986	1527
26-Oct-1986	1526
2-Nov-1986	1533
5-Nov-1986	1534
12-Nov-1986	1535
23-Nov-1986	1524
26-Nov-1986	1514
3-Dec-1986	1503
7-Dec-1986	1495
10-Dec-1986	1480
14-Dec-1986	1483
25-Jan-1987	1488
28-Jan-1987	1476
