date	rating
11-Feb-1962	1485
15-Feb-1962	1501
25-Feb-1962	1514
28-Feb-1962	1507
12-Apr-1964	1507
27-Apr-1964	1509
10-May-1964	1490
17-May-1964	1521
26-Feb-1967	1534
5-Mar-1967	1517
9-Mar-1967	1533
14-Mar-1967	1499
18-Mar-1967	1481
3-Apr-1967	1481
5-Apr-1967	1464
16-Apr-1967	1452
19-Apr-1967	1473
27-Apr-1967	1458
7-May-1967	1447
15-May-1967	1465
31-Jan-1969	1491
9-Feb-1969	1475
13-Feb-1969	1489
23-Feb-1969	1503
2-Mar-1969	1502
9-Mar-1969	1528
27-Mar-1969	1524
31-Mar-1969	1535
8-Apr-1969	1523
18-Apr-1969	1525
7-Feb-1971	1529
15-Feb-1971	1543
21-Feb-1971	1541
5-Mar-1971	1544
20-Mar-1971	1543
24-Mar-1971	1526
20-Feb-1972	1527
1-Mar-1972	1537
5-Mar-1972	1527
9-Mar-1972	1506
19-Mar-1972	1531
23-Mar-1972	1556
4-Feb-1973	1580
19-Feb-1973	1604
22-Feb-1973	1601
2-Mar-1973	1582
13-Mar-1973	1596
20-Mar-1973	1620
11-Apr-1973	1645
26-Apr-1973	1666
4-May-1973	1629
15-May-1973	1615
5-Feb-1974	1629
16-Feb-1974	1649
20-Feb-1974	1635
24-Feb-1974	1632
3-Mar-1974	1637
8-Mar-1974	1639
28-Feb-1975	1636
7-Mar-1975	1619
14-Mar-1975	1599
21-Mar-1975	1583
4-Apr-1975	1562
9-Apr-1975	1546
5-Mar-1978	1560
26-Mar-1978	1578
30-Mar-1978	1578
5-Apr-1978	1576
25-Apr-1978	1572
13-May-1978	1587
14-Sep-1978	1561
17-Sep-1978	1562
5-Oct-1978	1586
18-Oct-1978	1560
21-Mar-1980	1542
28-Mar-1980	1557
8-Apr-1980	1574
16-Apr-1980	1571
22-Apr-1980	1551
25-Apr-1980	1550
7-Jul-1981	1557
14-Jul-1981	1547
21-Jul-1981	1541
31-Jul-1981	1550
8-Aug-1981	1587
11-Aug-1981	1578
3-Mar-1985	1578
14-Mar-1985	1576
19-Mar-1985	1577
27-Mar-1985	1601
31-Mar-1985	1578
3-Apr-1985	1600
6-Jul-1988	1602
26-Jul-1988	1596
29-Jul-1988	1572
10-Aug-1988	1557
16-Aug-1988	1568
19-Aug-1988	1585
14-Mar-1990	1571
30-Mar-1990	1605
6-Apr-1990	1612
18-Apr-1990	1630
24-Apr-1990	1617
27-Apr-1990	1622
8-Aug-1990	1621
15-Aug-1990	1605
20-Feb-1991	1600
6-Mar-1991	1596
19-Mar-1991	1606
22-Mar-1991	1604
27-Mar-1991	1614
5-Apr-1991	1611
10-Apr-1991	1623
19-Apr-1991	1618
24-Apr-1991	1634
2-May-1991	1651
8-May-1991	1625
4-Mar-1992	1639
10-Mar-1992	1647
13-Mar-1992	1649
25-Mar-1992	1662
1-Apr-1992	1655
8-Apr-1992	1655
29-Apr-1992	1630
6-May-1992	1657
13-May-1992	1654
20-May-1992	1651
5-Feb-1993	1652
12-Feb-1993	1654
23-Feb-1993	1670
10-Mar-1993	1655
16-Mar-1993	1656
19-Mar-1993	1673
7-Apr-1993	1672
14-Apr-1993	1693
21-Apr-1993	1694
28-Apr-1993	1694
5-May-1993	1684
12-May-1993	1689
2-Mar-1994	1675
16-Mar-1994	1636
18-Mar-1994	1614
24-Mar-1994	1598
8-Apr-1994	1595
15-Apr-1994	1607
15-Feb-1995	1613
24-Feb-1995	1621
21-Mar-1995	1627
28-Mar-1995	1635
31-Mar-1995	1653
7-Apr-1995	1663
26-Apr-1995	1631
3-May-1995	1647
13-Mar-1996	1664
26-Mar-1996	1643
29-Mar-1996	1625
3-Apr-1996	1626
9-Apr-1996	1637
16-Apr-1996	1651
30-Apr-1996	1646
8-May-1996	1627
19-Feb-1997	1608
4-Mar-1997	1589
7-Mar-1997	1571
12-Mar-1997	1568
21-Mar-1997	1581
11-Apr-1997	1607
25-Feb-1998	1584
3-Mar-1998	1586
10-Mar-1998	1616
18-Mar-1998	1605
24-Mar-1998	1589
27-Mar-1998	1609
15-Apr-1998	1629
29-Apr-1998	1648
20-May-1998	1624
27-May-1998	1653
16-Jul-1998	1637
22-Jul-1998	1653
24-Feb-1999	1670
3-Mar-1999	1657
10-Mar-1999	1638
17-Mar-1999	1642
24-Mar-1999	1681
7-Apr-1999	1673
14-Apr-1999	1693
21-Apr-1999	1672
5-May-1999	1629
12-May-1999	1644
19-May-1999	1614
26-May-1999	1631
17-Feb-2000	1643
2-Mar-2000	1622
7-Mar-2000	1623
15-Mar-2000	1598
21-Mar-2000	1618
6-Apr-2000	1643
4-May-2000	1621
10-May-2000	1611
8-Feb-2001	1634
15-Feb-2001	1640
22-Mar-2001	1647
4-Apr-2001	1651
10-Apr-2001	1677
2-May-2001	1657
10-May-2001	1670
16-May-2001	1641
5-Feb-2002	1635
19-Feb-2002	1660
5-Mar-2002	1647
13-Mar-2002	1659
4-Apr-2002	1628
10-Apr-2002	1652
6-Feb-2003	1665
6-Mar-2003	1662
12-Mar-2003	1654
18-Mar-2003	1635
27-Mar-2003	1606
15-Apr-2003	1616
23-Apr-2003	1600
6-May-2003	1616
2-Mar-2005	1622
10-Mar-2005	1624
7-Apr-2005	1639
19-Apr-2005	1655
28-Apr-2005	1672
12-May-2005	1673
19-May-2005	1660
26-May-2005	1677
15-Feb-2006	1682
23-Feb-2006	1703
14-Mar-2006	1671
23-Mar-2006	1671
6-Apr-2006	1647
13-Apr-2006	1667
15-Feb-2007	1656
7-Mar-2007	1636
13-Mar-2007	1630
20-Mar-2007	1641
10-Apr-2007	1652
24-Apr-2007	1640
30-Jan-2008	1624
6-Feb-2008	1614
11-Feb-2010	1616
9-Mar-2010	1597
17-Mar-2010	1588
1-Apr-2010	1578
8-Apr-2010	1565
22-Apr-2010	1565
17-Feb-2011	1597
2-Mar-2011	1604
10-Mar-2011	1597
6-Apr-2011	1611
14-Apr-2011	1602
20-Apr-2011	1619
15-Feb-2013	1602
21-Feb-2013	1582
7-Mar-2013	1565
2-Apr-2013	1548
10-Apr-2013	1517
16-Apr-2013	1520
