date	rating
30-Mar-1978	1522
2-Apr-1978	1504
6-Apr-1978	1491
9-Apr-1978	1478
12-Apr-1978	1473
16-Apr-1978	1454
19-Apr-1978	1446
26-Apr-1978	1464
3-May-1978	1468
7-May-1978	1486
10-May-1978	1478
14-May-1978	1489
24-May-1978	1491
31-May-1978	1491
13-Jun-1978	1503
18-Jun-1978	1502
20-Jun-1978	1498
24-Jun-1978	1486
29-Sep-1979	1485
3-Oct-1979	1485
10-Oct-1979	1472
14-Oct-1979	1455
17-Oct-1979	1447
21-Oct-1979	1435
24-Oct-1979	1424
28-Oct-1979	1414
4-Nov-1979	1416
13-Feb-2008	1442
5-Mar-2008	1444
19-Mar-2008	1439
24-Feb-2010	1471
10-Mar-2010	1463
17-Mar-2010	1483
1-Apr-2010	1469
8-Apr-2014	1487
19-Apr-2014	1494
27-Apr-2014	1487
4-May-2014	1483
11-May-2014	1479
14-May-2014	1472
18-May-2014	1480
21-May-2014	1473
25-May-2014	1503
28-May-2014	1495
1-Jun-2014	1514
19-Jul-2014	1535
23-Jul-2014	1539
26-Jul-2014	1532
3-Aug-2014	1551
6-Aug-2014	1558
10-Aug-2014	1548
17-Aug-2014	1554
20-Aug-2014	1573
23-Aug-2014	1564
30-Aug-2014	1559
6-Sep-2014	1564
10-Sep-2014	1549
13-Sep-2014	1575
18-Sep-2014	1582
21-Sep-2014	1575
24-Sep-2014	1604
27-Sep-2014	1604
2-Oct-2014	1586
9-Oct-2014	1622
12-Oct-2014	1638
18-Oct-2014	1632
22-Oct-2014	1637
25-Oct-2014	1642
2-Nov-2014	1628
9-Nov-2014	1617
16-Nov-2014	1606
20-Nov-2014	1639
23-Nov-2014	1655
30-Nov-2014	1661
7-Dec-2014	1643
9-May-2015	1658
16-May-2015	1652
24-May-2015	1670
30-May-2015	1650
3-Jun-2015	1663
6-Jun-2015	1653
13-Jun-2015	1646
21-Jun-2015	1665
27-Jun-2015	1668
1-Jul-2015	1653
4-Jul-2015	1667
8-Jul-2015	1685
12-Jul-2015	1669
19-Jul-2015	1659
26-Jul-2015	1676
2-Aug-2015	1678
9-Aug-2015	1678
12-Aug-2015	1677
16-Aug-2015	1696
23-Aug-2015	1683
30-Aug-2015	1674
3-Sep-2015	1661
6-Sep-2015	1661
10-Sep-2015	1659
13-Sep-2015	1648
17-Sep-2015	1653
20-Sep-2015	1639
27-Sep-2015	1622
4-Oct-2015	1656
15-Oct-2015	1656
18-Oct-2015	1674
25-Oct-2015	1672
1-Nov-2015	1672
7-Nov-2015	1685
19-Nov-2015	1700
22-Nov-2015	1699
29-Nov-2015	1676
6-Dec-2015	1661
15-May-2016	1666
22-May-2016	1682
25-May-2016	1684
28-May-2016	1681
1-Jun-2016	1694
4-Jun-2016	1693
11-Jun-2016	1680
15-Jun-2016	1686
19-Jun-2016	1697
23-Jun-2016	1697
26-Jun-2016	1677
29-Jun-2016	1692
3-Jul-2016	1679
9-Jul-2016	1671
17-Jul-2016	1670
24-Jul-2016	1684
31-Jul-2016	1685
4-Aug-2016	1689
8-Aug-2016	1677
15-Aug-2016	1691
19-Aug-2016	1699
28-Aug-2016	1685
7-Sep-2016	1680
11-Sep-2016	1695
15-Sep-2016	1709
18-Sep-2016	1710
25-Sep-2016	1698
1-Oct-2016	1675
5-Oct-2016	1660
12-Oct-2016	1685
16-Oct-2016	1687
23-Oct-2016	1680
29-Oct-2016	1684
6-Nov-2016	1694
16-Nov-2016	1719
20-Nov-2016	1738
27-Nov-2016	1730
