date	rating
4-Feb-1998	1515
6-Feb-1998	1509
17-Feb-1998	1532
24-Feb-1998	1550
4-Mar-1998	1534
10-Mar-1998	1557
17-Mar-1998	1583
24-Mar-1998	1557
31-Mar-1998	1543
3-Apr-1998	1536
2-Feb-2005	1558
10-Feb-2005	1581
16-Feb-2005	1598
2-Mar-2005	1601
23-Mar-2005	1614
5-Apr-2005	1610
12-Apr-2005	1590
5-May-2005	1609
18-May-2005	1606
24-May-2005	1625
2-Jun-2005	1667
14-Jun-2005	1672
23-Jun-2005	1649
30-Jun-2005	1653
24-Jan-2006	1670
31-Jan-2006	1685
8-Feb-2006	1692
7-Mar-2006	1682
21-Mar-2006	1701
5-Apr-2006	1720
12-Apr-2006	1710
20-Apr-2006	1700
26-Apr-2006	1712
2-May-2006	1677
9-May-2006	1677
20-Jul-2006	1692
26-Jul-2006	1683
2-Aug-2006	1667
19-Feb-2008	1677
4-Mar-2008	1664
11-Mar-2008	1646
27-Mar-2008	1630
9-Apr-2008	1650
16-Apr-2008	1662
11-Feb-2009	1658
25-Feb-2009	1674
3-Mar-2009	1640
11-Mar-2009	1650
14-Apr-2009	1645
29-Apr-2009	1638
27-Apr-2010	1672
4-May-2010	1651
11-May-2010	1676
18-May-2010	1649
27-Jul-2010	1649
3-Aug-2010	1672
11-Aug-2010	1662
18-Aug-2010	1652
8-Feb-2012	1646
22-Feb-2012	1627
14-Mar-2012	1641
28-Mar-2012	1623
11-Apr-2012	1607
17-Apr-2012	1573
