date	rating
8-Feb-2002	1526
13-Feb-2002	1496
20-Feb-2002	1489
19-Mar-2002	1475
3-Apr-2002	1500
9-Apr-2002	1519
23-Apr-2002	1512
1-May-2002	1501
12-Feb-2004	1489
26-Feb-2004	1508
4-Mar-2004	1498
11-Mar-2004	1488
23-Mar-2004	1492
20-Apr-2004	1514
2-Feb-2005	1493
10-Feb-2005	1470
8-Feb-2006	1463
8-Mar-2006	1455
14-Mar-2006	1467
28-Mar-2006	1433
12-Apr-2006	1428
20-Apr-2006	1438
21-Feb-2007	1425
1-Mar-2007	1421
8-Mar-2007	1463
28-Mar-2007	1482
4-Apr-2007	1525
26-Apr-2007	1500
31-Jan-2008	1519
7-Feb-2008	1521
14-Feb-2008	1540
27-Feb-2008	1534
11-Mar-2008	1547
25-Mar-2008	1545
9-Apr-2008	1533
23-Apr-2008	1518
