date	rating
29-Mar-1978	1494
2-Apr-1978	1484
6-Apr-1978	1497
9-Apr-1978	1487
12-Apr-1978	1472
16-Apr-1978	1490
20-Apr-1978	1508
23-Apr-1978	1487
26-Apr-1978	1470
4-May-1978	1463
11-May-1978	1457
14-May-1978	1474
21-May-1978	1490
27-May-1978	1503
31-May-1978	1502
4-Jun-1978	1506
10-Jun-1978	1523
17-Jun-1978	1501
30-Sep-1979	1499
4-Oct-1979	1514
7-Oct-1979	1516
11-Oct-1979	1527
17-Oct-1979	1525
21-Oct-1979	1514
24-Oct-1979	1524
28-Oct-1979	1518
4-Nov-1979	1531
7-Nov-1979	1548
11-Nov-1979	1542
15-Nov-1979	1539
18-Nov-1979	1550
21-Nov-1979	1541
25-Nov-1979	1527
28-Nov-1979	1513
24-Feb-1980	1533
27-Feb-1980	1561
1-Mar-1980	1568
5-Mar-1980	1568
9-Mar-1980	1582
15-Mar-1980	1572
20-Mar-1980	1550
23-Mar-1980	1566
30-Mar-1980	1556
5-Apr-1980	1582
13-Apr-1980	1574
16-Apr-1980	1568
20-Apr-1980	1547
27-Apr-1980	1542
3-May-1980	1569
18-Jan-1981	1570
21-Jan-1981	1573
25-Jan-1981	1585
28-Jan-1981	1598
1-Feb-1981	1582
4-Feb-1981	1590
7-Feb-1981	1609
14-Feb-1981	1630
21-Feb-1981	1634
7-Mar-1981	1631
11-Mar-1981	1636
15-Mar-1981	1672
21-Mar-1981	1669
1-Apr-1981	1655
4-Apr-1981	1647
23-Jan-1983	1633
26-Jan-1983	1643
30-Jan-1983	1624
2-Feb-1983	1626
9-Feb-1983	1648
19-Feb-1983	1671
23-Feb-1983	1664
27-Feb-1983	1685
13-Mar-1983	1693
16-Mar-1983	1701
19-Mar-1983	1685
26-Mar-1983	1693
30-Mar-1983	1698
2-Apr-1983	1665
10-Apr-1983	1675
13-Apr-1983	1662
16-Apr-1983	1682
20-Apr-1983	1674
26-Apr-1983	1658
30-Apr-1983	1634
