date	rating
25-Aug-1973	1494
29-Aug-1973	1509
2-Sep-1973	1491
5-Sep-1973	1484
9-Sep-1973	1484
12-Sep-1973	1504
16-Sep-1973	1513
23-Sep-1973	1504
26-Sep-1973	1503
30-Sep-1973	1493
3-Oct-1973	1513
7-Oct-1973	1503
14-Oct-1973	1515
17-Oct-1973	1522
21-Oct-1973	1513
24-Oct-1973	1516
27-Oct-1973	1496
31-Oct-1973	1491
4-Nov-1973	1494
11-Nov-1973	1511
14-Nov-1973	1511
17-Nov-1973	1525
25-Nov-1973	1510
28-Nov-1973	1491
2-Dec-1973	1515
8-Dec-1973	1518
13-Dec-1973	1505
16-Dec-1973	1523
24-Aug-1975	1531
26-Aug-1975	1541
31-Aug-1975	1559
3-Sep-1975	1571
7-Sep-1975	1575
17-Sep-1975	1576
20-Sep-1975	1562
24-Sep-1975	1555
28-Sep-1975	1537
1-Oct-1975	1520
19-Oct-1975	1533
22-Oct-1975	1525
30-Oct-1975	1530
5-Nov-1975	1537
2-Apr-1978	1538
5-Apr-1978	1554
9-Apr-1978	1552
12-Apr-1978	1540
16-Apr-1978	1537
23-Apr-1978	1542
26-Apr-1978	1551
29-Apr-1978	1544
3-May-1978	1541
7-May-1978	1537
11-May-1978	1535
28-May-1978	1549
13-Jun-1978	1545
17-Jun-1978	1529
20-Jun-1978	1539
24-Jun-1978	1536
26-Sep-1979	1512
30-Sep-1979	1499
3-Oct-1979	1497
6-Oct-1979	1510
14-Oct-1979	1508
18-Oct-1979	1531
21-Oct-1979	1550
4-Nov-1979	1566
8-Nov-1979	1553
11-Nov-1979	1561
15-Nov-1979	1572
18-Nov-1979	1551
21-Nov-1979	1565
25-Nov-1979	1552
28-Nov-1979	1539
27-Jan-1983	1544
30-Jan-1983	1559
2-Feb-1983	1569
6-Feb-1983	1559
9-Feb-1983	1573
19-Feb-1983	1569
23-Feb-1983	1585
5-Mar-1983	1577
13-Mar-1983	1560
16-Mar-1983	1544
19-Mar-1983	1533
26-Mar-1983	1524
30-Mar-1983	1530
3-Apr-1983	1536
31-Aug-1986	1539
7-Sep-1986	1522
11-Sep-1986	1525
14-Sep-1986	1535
21-Sep-1986	1524
25-Sep-1986	1520
30-Sep-1986	1524
2-Oct-1986	1538
7-Oct-1986	1551
9-Oct-1986	1547
23-Oct-1986	1535
29-Oct-1986	1530
1-Nov-1986	1514
5-Nov-1986	1532
9-Nov-1986	1538
12-Nov-1986	1556
16-Nov-1986	1547
19-Nov-1986	1548
23-Nov-1986	1539
26-Nov-1986	1519
29-Nov-1986	1512
3-Dec-1986	1518
7-Dec-1986	1524
11-Dec-1986	1528
14-Dec-1986	1517
25-Jan-1987	1508
25-Feb-1994	1510
15-Mar-1994	1512
15-Apr-1994	1531
26-Apr-1994	1548
5-Jun-1994	1534
12-Jun-1994	1534
3-Mar-1999	1526
10-Mar-1999	1514
5-Apr-2000	1536
19-Apr-2000	1528
14-Mar-2001	1552
21-Mar-2001	1530
13-Feb-2002	1535
21-Feb-2002	1524
19-Feb-2003	1513
