date	rating
28-Jun-1959	1491
5-Jul-1959	1507
12-Jul-1959	1490
19-Jul-1959	1504
22-Jul-1959	1501
26-Jul-1959	1491
2-Aug-1959	1484
9-Aug-1959	1494
16-Aug-1959	1493
23-Aug-1959	1500
30-Aug-1959	1487
3-Sep-1959	1484
7-Sep-1959	1509
13-Sep-1959	1495
16-Sep-1959	1497
20-Sep-1959	1491
23-Sep-1959	1489
27-Sep-1959	1506
3-Oct-1959	1484
11-Oct-1959	1485
14-Oct-1959	1501
18-Oct-1959	1493
22-Oct-1959	1484
25-Oct-1959	1495
29-Oct-1959	1491
1-Nov-1959	1488
4-Nov-1959	1486
8-Nov-1959	1473
12-Nov-1959	1490
15-Nov-1959	1497
21-Nov-1959	1488
28-Nov-1959	1497
3-Dec-1959	1498
9-Dec-1959	1495
12-Dec-1959	1476
20-Dec-1959	1485
27-Dec-1959	1486
30-Dec-1959	1477
12-Jun-1960	1477
19-Jun-1960	1506
22-Jun-1960	1487
3-Jul-1960	1476
6-Jul-1960	1464
10-Jul-1960	1466
17-Jul-1960	1456
20-Jul-1960	1454
24-Jul-1960	1472
31-Jul-1960	1463
7-Aug-1960	1489
13-Aug-1960	1479
21-Aug-1960	1497
28-Aug-1960	1514
31-Aug-1960	1528
10-Sep-1960	1522
14-Sep-1960	1535
17-Sep-1960	1523
21-Sep-1960	1532
24-Sep-1960	1536
28-Sep-1960	1519
2-Oct-1960	1521
9-Oct-1960	1524
23-Oct-1960	1536
26-Oct-1960	1518
29-Oct-1960	1514
6-Nov-1960	1530
13-Nov-1960	1525
19-Nov-1960	1535
27-Nov-1960	1527
8-Dec-1960	1539
11-Dec-1960	1548
11-Dec-1960	1536
17-Dec-1960	1517
2-Jul-1961	1527
5-Jul-1961	1518
9-Jul-1961	1515
16-Jul-1961	1509
30-Jul-1961	1512
6-Aug-1961	1534
13-Aug-1961	1542
20-Aug-1961	1536
23-Aug-1961	1544
27-Aug-1961	1556
30-Aug-1961	1554
3-Sep-1961	1553
9-Sep-1961	1547
17-Sep-1961	1536
24-Sep-1961	1548
8-Oct-1961	1562
15-Oct-1961	1572
22-Oct-1961	1576
1-Nov-1961	1567
5-Nov-1961	1569
8-Nov-1961	1567
12-Nov-1961	1557
15-Nov-1961	1544
19-Nov-1961	1539
22-Nov-1961	1513
26-Nov-1961	1510
2-Dec-1961	1525
6-Dec-1961	1518
10-Dec-1961	1532
17-Dec-1961	1521
8-Jul-1962	1520
15-Jul-1962	1532
18-Jul-1962	1541
25-Jul-1962	1535
29-Jul-1962	1524
5-Aug-1962	1546
12-Aug-1962	1554
