date	rating
29-Aug-1976	1517
5-Sep-1976	1528
8-Sep-1976	1535
15-Sep-1976	1538
22-Sep-1976	1529
25-Sep-1976	1508
29-Sep-1976	1504
3-Oct-1976	1503
13-Oct-1976	1487
17-Oct-1976	1500
20-Oct-1976	1487
24-Oct-1976	1482
16-Oct-1977	1488
23-Oct-1977	1498
29-Oct-1977	1511
3-Nov-1977	1531
6-Nov-1977	1538
9-Nov-1977	1558
13-Nov-1977	1561
20-Nov-1977	1536
23-Nov-1977	1551
27-Nov-1977	1545
4-Dec-1977	1536
7-Dec-1977	1551
11-Dec-1977	1528
15-Dec-1977	1524
26-Mar-1978	1511
2-Apr-1978	1510
6-Apr-1978	1522
12-Apr-1978	1515
16-Apr-1978	1512
20-Apr-1978	1497
27-Apr-1978	1491
30-Apr-1978	1486
3-May-1978	1482
11-May-1978	1461
14-May-1978	1456
21-May-1978	1464
24-May-1978	1454
28-May-1978	1473
4-Jun-1978	1449
17-Jun-1978	1425
23-Sep-1979	1442
30-Sep-1979	1444
6-Oct-1979	1430
14-Oct-1979	1421
17-Oct-1979	1422
21-Oct-1979	1396
24-Oct-1979	1412
1-Nov-1979	1400
4-Nov-1979	1380
29-Jan-1984	1367
2-Feb-1984	1363
5-Feb-1984	1352
11-Feb-1984	1349
15-Feb-1984	1373
19-Feb-1984	1368
26-Feb-1984	1360
29-Feb-1984	1356
