date	rating
8-Apr-1917	1505
22-Apr-1917	1505
6-May-1917	1488
13-May-1917	1508
17-May-1917	1524
27-May-1917	1541
10-Jun-1917	1540
29-Jun-1917	1533
22-Jul-1917	1546
5-Aug-1917	1532
2-Sep-1917	1545
9-Sep-1917	1540
23-Sep-1917	1550
28-Oct-1917	1543
11-Nov-1917	1533
18-Nov-1917	1544
7-Apr-1918	1544
21-Apr-1918	1555
28-Apr-1918	1561
13-May-1918	1563
30-Jun-1918	1578
14-Jul-1918	1569
11-Aug-1918	1578
18-Aug-1918	1563
8-Sep-1918	1577
15-Sep-1918	1586
22-Sep-1918	1597
15-Dec-1918	1610
22-Dec-1918	1603
29-Dec-1918	1615
5-Jan-1919	1622
12-Jan-1919	1637
19-Jan-1919	1646
22-Jun-1919	1653
29-Jun-1919	1642
13-Jul-1919	1627
20-Jul-1919	1616
27-Jul-1919	1610
3-Aug-1919	1613
24-Aug-1919	1620
31-Aug-1919	1624
7-Sep-1919	1635
21-Sep-1919	1653
28-Sep-1919	1659
12-Oct-1919	1670
19-Oct-1919	1678
9-Nov-1919	1688
23-Nov-1919	1691
30-Nov-1919	1703
7-Dec-1919	1708
21-Dec-1919	1693
25-Apr-1920	1674
13-May-1920	1654
30-May-1920	1662
27-Jun-1920	1665
4-Jul-1920	1654
11-Jul-1920	1669
1-Aug-1920	1664
14-Aug-1920	1670
22-Aug-1920	1680
5-Sep-1920	1691
17-Oct-1920	1697
24-Oct-1920	1704
31-Oct-1920	1713
14-Nov-1920	1732
21-Nov-1920	1738
28-Nov-1920	1747
5-Dec-1920	1751
3-May-1921	1758
8-May-1921	1761
22-May-1921	1763
29-May-1921	1770
5-Jun-1921	1774
12-Jun-1921	1777
10-Jul-1921	1781
24-Jul-1921	1786
31-Jul-1921	1791
7-Aug-1921	1792
4-Sep-1921	1775
11-Sep-1921	1778
25-Sep-1921	1782
2-Oct-1921	1787
16-Oct-1921	1793
23-Oct-1921	1797
30-Oct-1921	1788
15-Nov-1921	1790
20-Nov-1921	1796
27-Nov-1921	1814
11-Dec-1921	1818
25-Dec-1921	1800
23-Apr-1922	1800
7-May-1922	1802
28-May-1922	1806
11-Jun-1922	1809
18-Jun-1922	1812
25-Jun-1922	1815
2-Jul-1922	1826
5-Nov-1922	1828
12-Nov-1922	1811
19-Nov-1922	1814
26-Nov-1922	1818
3-Dec-1922	1810
17-Dec-1922	1819
24-Dec-1922	1809
7-Jan-1923	1814
14-Jan-1923	1819
25-Jan-1923	1823
4-Feb-1923	1837
22-Apr-1923	1841
6-May-1923	1843
20-May-1923	1844
27-May-1923	1850
10-Jun-1923	1842
17-Jun-1923	1845
24-Jun-1923	1847
8-Jul-1923	1862
22-Jul-1923	1868
12-Aug-1923	1870
19-Aug-1923	1872
26-Aug-1923	1874
2-Sep-1923	1878
9-Sep-1923	1860
16-Sep-1923	1858
30-Sep-1923	1861
4-Oct-1923	1845
20-Apr-1924	1850
27-Apr-1924	1851
4-May-1924	1852
13-May-1924	1855
25-May-1924	1859
8-Jun-1924	1861
19-Jun-1924	1837
17-Aug-1924	1826
21-Sep-1924	1828
28-Sep-1924	1803
12-Oct-1924	1776
26-Oct-1924	1780
23-Nov-1924	1785
30-Nov-1924	1780
14-Dec-1924	1785
28-Dec-1924	1791
11-Jan-1925	1800
21-Apr-1925	1784
26-Apr-1925	1785
10-May-1925	1789
17-May-1925	1805
31-May-1925	1809
7-Jun-1925	1814
21-Jun-1925	1820
28-Jun-1925	1822
4-Oct-1925	1827
18-Oct-1925	1818
1-Nov-1925	1807
16-Mar-1930	1810
23-Mar-1930	1813
30-Mar-1930	1818
13-Apr-1930	1821
20-Apr-1930	1826
27-Apr-1930	1830
4-May-1930	1818
11-May-1930	1823
18-May-1930	1830
25-May-1930	1834
1-Jun-1930	1840
10-Aug-1930	1832
17-Aug-1930	1823
24-Aug-1930	1800
31-Aug-1930	1792
7-Sep-1930	1799
14-Sep-1930	1782
28-Sep-1930	1786
5-Oct-1930	1790
11-Oct-1930	1796
9-Nov-1930	1803
23-Nov-1930	1808
30-Nov-1930	1810
