date	rating
30-Sep-1979	1523
3-Oct-1979	1541
7-Oct-1979	1545
14-Oct-1979	1515
17-Oct-1979	1501
21-Oct-1979	1487
24-Oct-1979	1500
28-Oct-1979	1510
4-Nov-1979	1496
12-Oct-1986	1503
16-Oct-1986	1511
19-Oct-1986	1500
22-Oct-1986	1514
26-Oct-1986	1514
30-Oct-1986	1523
2-Nov-1986	1545
12-Nov-1986	1555
26-Nov-1986	1550
29-Nov-1986	1540
3-Dec-1986	1557
7-Dec-1986	1540
10-Dec-1986	1559
14-Dec-1986	1568
25-Jan-1987	1568
28-Jan-1987	1579
13-Sep-1987	1567
17-Sep-1987	1588
20-Sep-1987	1603
23-Sep-1987	1585
27-Sep-1987	1569
30-Sep-1987	1581
4-Oct-1987	1595
24-Oct-1987	1613
28-Oct-1987	1631
1-Nov-1987	1616
4-Nov-1987	1632
8-Nov-1987	1634
22-Nov-1987	1634
25-Nov-1987	1636
4-Sep-1988	1636
7-Sep-1988	1620
11-Sep-1988	1611
17-Sep-1988	1600
25-Sep-1988	1590
2-Oct-1988	1590
9-Oct-1988	1609
16-Oct-1988	1601
23-Oct-1988	1601
28-Oct-1988	1590
2-Nov-1988	1579
6-Nov-1988	1571
13-Nov-1988	1573
16-Nov-1988	1564
20-Nov-1988	1565
24-Nov-1988	1570
27-Nov-1988	1566
1-Dec-1988	1559
4-Dec-1988	1545
7-Dec-1988	1533
10-Dec-1988	1518
15-Dec-1988	1525
18-Dec-1988	1521
27-Jun-1990	1514
4-Jul-1990	1541
8-Aug-1990	1558
12-Aug-1990	1561
22-Aug-1990	1588
5-Sep-1990	1579
12-Sep-1990	1598
26-Sep-1990	1592
21-Feb-1991	1588
28-Feb-1991	1605
10-Mar-1991	1623
20-Mar-1991	1641
18-Apr-1991	1644
25-Apr-1991	1670
12-May-1991	1678
19-May-1991	1689
30-May-1991	1690
2-Jun-1991	1690
6-Mar-1992	1726
24-Mar-1992	1732
27-Mar-1992	1727
1-Apr-1992	1701
10-Apr-1992	1714
18-Apr-1992	1725
30-Apr-1992	1731
4-May-1992	1737
13-May-1992	1726
20-May-1992	1732
21-Jul-1992	1742
25-Aug-1992	1749
6-Oct-1992	1737
13-Oct-1992	1751
30-Oct-1992	1737
13-Nov-1992	1716
4-Sep-1993	1691
12-Sep-1993	1703
15-Sep-1993	1707
18-Sep-1993	1684
22-Sep-1993	1695
25-Sep-1993	1669
29-Sep-1993	1686
6-Oct-1993	1673
10-Oct-1993	1673
13-Oct-1993	1678
16-Oct-1993	1679
20-Oct-1993	1674
24-Oct-1993	1658
27-Oct-1993	1670
11-Feb-1994	1673
18-Feb-1994	1664
13-Aug-1994	1670
17-Aug-1994	1662
21-Aug-1994	1666
24-Aug-1994	1666
28-Aug-1994	1665
1-Sep-1994	1690
7-Sep-1994	1675
11-Sep-1994	1678
18-Sep-1994	1696
25-Sep-1994	1688
2-Oct-1994	1663
9-Oct-1994	1682
15-Oct-1994	1680
19-Oct-1994	1656
22-Oct-1994	1654
26-Oct-1994	1653
30-Oct-1994	1663
3-Nov-1994	1639
6-Nov-1994	1626
9-Nov-1994	1639
16-Nov-1994	1650
20-Nov-1994	1638
23-Nov-1994	1657
27-Nov-1994	1658
20-Aug-1995	1650
27-Aug-1995	1651
30-Aug-1995	1664
3-Sep-1995	1654
10-Sep-1995	1655
17-Sep-1995	1652
20-Sep-1995	1673
24-Sep-1995	1687
27-Sep-1995	1702
30-Sep-1995	1692
7-Oct-1995	1683
11-Oct-1995	1700
14-Oct-1995	1688
21-Oct-1995	1691
29-Oct-1995	1693
4-Nov-1995	1697
8-Nov-1995	1695
12-Nov-1995	1683
15-Nov-1995	1681
18-Nov-1995	1671
21-Nov-1995	1652
26-Nov-1995	1672
29-Nov-1995	1674
5-Mar-1996	1662
13-Mar-1996	1686
3-Apr-1996	1676
10-Apr-1996	1698
3-May-1996	1701
10-May-1996	1686
