date	rating
20-Sep-2000	1522
10-Oct-2000	1545
12-Oct-2000	1526
25-Oct-2000	1498
2-Nov-2000	1527
23-Nov-2000	1549
20-Feb-2001	1571
27-Feb-2001	1583
6-Mar-2001	1581
21-Mar-2001	1593
12-Apr-2001	1574
4-May-2001	1591
10-May-2001	1579
16-May-2001	1607
23-May-2001	1611
30-May-2001	1644
7-Jun-2001	1670
14-Jun-2001	1671
20-Jun-2001	1661
28-Jun-2001	1682
29-Oct-2002	1673
31-Oct-2002	1678
6-Nov-2002	1671
14-Nov-2002	1678
21-Nov-2002	1686
28-Nov-2002	1655
5-Feb-2003	1643
18-Feb-2003	1653
5-Mar-2003	1609
26-Mar-2003	1648
3-Apr-2003	1627
8-Apr-2003	1647
6-May-2003	1648
13-May-2003	1649
21-May-2003	1653
28-May-2003	1643
8-Feb-2012	1651
22-Feb-2012	1663
14-Mar-2012	1668
21-Mar-2012	1658
3-Apr-2012	1649
18-Apr-2012	1662
