date	rating
23-Aug-1960	1488
28-Aug-1960	1502
30-Aug-1960	1515
14-Sep-1960	1525
20-Sep-1960	1521
23-Jul-1961	1539
30-Jul-1961	1549
23-Aug-1961	1545
30-Aug-1961	1553
25-Sep-1962	1551
3-Oct-1962	1562
10-Oct-1962	1561
17-Oct-1962	1547
7-Sep-1966	1569
14-Sep-1966	1590
9-Oct-1966	1592
23-Oct-1966	1606
9-Nov-1966	1627
23-Nov-1966	1655
30-Nov-1966	1691
7-Dec-1966	1708
19-Feb-1967	1713
22-Feb-1967	1725
5-Mar-1967	1736
12-Mar-1967	1757
15-Mar-1967	1743
18-Mar-1967	1751
20-Mar-1967	1759
22-Mar-1967	1757
26-Mar-1967	1766
29-Mar-1967	1746
2-Apr-1967	1736
9-Apr-1967	1718
12-Apr-1967	1752
19-Apr-1967	1772
23-Apr-1967	1764
28-Apr-1967	1774
30-Apr-1967	1750
1-May-1967	1756
3-May-1967	1747
7-May-1967	1733
10-May-1967	1742
14-May-1967	1753
14-Jun-1967	1767
18-Jun-1967	1780
5-Jul-1967	1762
8-Jul-1967	1736
6-Dec-1967	1747
13-Dec-1967	1721
15-Dec-1967	1720
15-Sep-1968	1738
22-Sep-1968	1747
25-Sep-1968	1734
2-Oct-1968	1743
9-Oct-1968	1765
13-Oct-1968	1752
17-Oct-1968	1763
20-Oct-1968	1762
23-Oct-1968	1762
27-Oct-1968	1745
15-Nov-1968	1746
17-Nov-1968	1743
20-Nov-1968	1756
23-Nov-1968	1733
27-Nov-1968	1734
30-Nov-1968	1722
2-Feb-1969	1728
9-Feb-1969	1740
23-Aug-1969	1728
27-Aug-1969	1730
7-Sep-1969	1751
14-Sep-1969	1738
17-Sep-1969	1751
21-Sep-1969	1748
24-Sep-1969	1729
28-Sep-1969	1742
1-Oct-1969	1752
5-Oct-1969	1768
15-Oct-1969	1750
19-Oct-1969	1747
26-Oct-1969	1762
1-Nov-1969	1758
5-Nov-1969	1771
9-Nov-1969	1780
16-Nov-1969	1778
26-Nov-1969	1789
30-Nov-1969	1788
3-Dec-1969	1788
7-Dec-1969	1803
23-Sep-1970	1813
27-Sep-1970	1811
3-Oct-1970	1797
8-Oct-1970	1795
18-Oct-1970	1807
25-Oct-1970	1805
1-Nov-1970	1793
4-Nov-1970	1780
8-Nov-1970	1795
14-Nov-1970	1804
18-Nov-1970	1781
21-Nov-1970	1789
25-Nov-1970	1798
29-Nov-1970	1803
3-Dec-1970	1814
6-Dec-1970	1827
13-Dec-1970	1825
16-Dec-1970	1811
20-Dec-1970	1793
7-Aug-1971	1802
11-Aug-1971	1810
15-Aug-1971	1828
21-Aug-1971	1826
25-Aug-1971	1826
29-Aug-1971	1837
1-Sep-1971	1817
4-Sep-1971	1809
11-Sep-1971	1819
19-Sep-1971	1812
26-Sep-1971	1809
29-Sep-1971	1792
3-Oct-1971	1777
10-Oct-1971	1776
17-Oct-1971	1786
24-Oct-1971	1778
30-Oct-1971	1790
7-Nov-1971	1787
14-Nov-1971	1784
21-Nov-1971	1781
24-Nov-1971	1761
28-Nov-1971	1774
1-Dec-1971	1774
5-Dec-1971	1772
8-Dec-1971	1752
9-Sep-1972	1745
13-Sep-1972	1752
17-Sep-1972	1759
20-Sep-1972	1747
24-Sep-1972	1756
27-Sep-1972	1768
1-Oct-1972	1771
4-Oct-1972	1781
8-Oct-1972	1782
11-Oct-1972	1798
14-Oct-1972	1812
18-Oct-1972	1809
22-Oct-1972	1807
25-Oct-1972	1790
29-Oct-1972	1774
1-Nov-1972	1770
5-Nov-1972	1764
8-Nov-1972	1769
12-Nov-1972	1768
16-Nov-1972	1779
19-Nov-1972	1790
22-Nov-1972	1796
26-Nov-1972	1792
29-Nov-1972	1771
3-Dec-1972	1765
