date	rating
14-Mar-1976	1501
21-Mar-1976	1520
24-Mar-1976	1534
4-Apr-1976	1536
11-Apr-1976	1508
14-Apr-1976	1525
22-Apr-1976	1512
3-Apr-1977	1510
10-Apr-1977	1505
13-Apr-1977	1528
24-Apr-1977	1505
1-May-1977	1500
4-May-1977	1487
17-Feb-2005	1499
24-Feb-2005	1483
8-Mar-2005	1471
14-Apr-2005	1474
27-Apr-2005	1477
4-May-2005	1470
26-Jan-2006	1481
1-Feb-2006	1473
12-Feb-2008	1496
21-Feb-2008	1498
13-Mar-2008	1500
20-Mar-2008	1501
27-Mar-2008	1480
15-Apr-2008	1468
30-Jan-2009	1447
3-Feb-2009	1479
17-Feb-2009	1474
24-Feb-2009	1507
11-Mar-2009	1488
17-Mar-2009	1508
23-Apr-2009	1533
30-Apr-2009	1530
7-May-2009	1545
12-May-2009	1513
11-Feb-2010	1505
17-Feb-2010	1487
9-Mar-2010	1517
17-Mar-2010	1504
7-Apr-2010	1512
21-Apr-2010	1494
