date	rating
3-Apr-1964	1500
8-Apr-1964	1515
3-May-1964	1529
7-May-1964	1498
17-May-1964	1485
24-May-1964	1458
5-Feb-1966	1460
8-Feb-1966	1461
12-Feb-1966	1481
17-Feb-1966	1459
23-Feb-1966	1449
1-Mar-1966	1461
8-Mar-1966	1446
10-Mar-1966	1438
13-Mar-1966	1456
17-Mar-1966	1468
11-Feb-1967	1483
22-Feb-1967	1459
11-Mar-1967	1435
15-Mar-1967	1436
20-Mar-1967	1417
25-Mar-1967	1394
28-Mar-1967	1384
19-Apr-1967	1385
23-Feb-1969	1415
1-Mar-1969	1432
5-Mar-1969	1458
9-Mar-1969	1459
13-Mar-1969	1434
16-Mar-1969	1409
27-Mar-1969	1414
31-Mar-1969	1404
3-Apr-1969	1389
15-Apr-1969	1412
31-Jan-1971	1410
10-Feb-1971	1402
17-Feb-1971	1399
25-Feb-1971	1395
3-Mar-1971	1423
14-Mar-1971	1435
13-Feb-1972	1438
19-Feb-1972	1432
4-Mar-1972	1450
12-Mar-1972	1440
10-Mar-1985	1437
17-Mar-1985	1417
21-Mar-1985	1387
24-Mar-1985	1363
4-Apr-1985	1342
7-Apr-1985	1326
11-Apr-1985	1315
14-Apr-1985	1305
16-Feb-2010	1301
23-Feb-2010	1299
11-Mar-2010	1312
24-Mar-2010	1309
6-Apr-2010	1305
15-Apr-2010	1300
