date	rating
23-Mar-1980	1477
13-Apr-1980	1474
17-Apr-1980	1470
20-Apr-1980	1451
27-Apr-1980	1445
30-Apr-1980	1442
24-Mar-1982	1441
28-Mar-1982	1424
31-Mar-1982	1425
14-Apr-1982	1409
18-Apr-1982	1414
21-Apr-1982	1402
27-Mar-1983	1386
10-Apr-1983	1387
13-Apr-1983	1392
24-Apr-1983	1398
6-May-1983	1378
10-Mar-1985	1381
17-Mar-1985	1380
21-Mar-1985	1372
24-Mar-1985	1395
19-Jul-1987	1422
22-Jul-1987	1431
26-Jul-1987	1444
5-Aug-1987	1437
9-Aug-1987	1428
16-Aug-1987	1449
20-Jul-1988	1451
28-Jul-1988	1438
5-Aug-1988	1430
11-Aug-1988	1432
23-Aug-1988	1421
26-Aug-1988	1405
19-Feb-1989	1422
24-Feb-1989	1448
7-Mar-1989	1459
12-Mar-1989	1482
24-Mar-1989	1473
28-Mar-1989	1463
5-Apr-1989	1440
12-Apr-1989	1473
23-Feb-1991	1471
1-Mar-1991	1480
8-Mar-1991	1471
16-Mar-1991	1484
5-Apr-1991	1490
7-Apr-1991	1484
16-Apr-1991	1479
24-Apr-1991	1469
29-Sep-1999	1449
5-Oct-1999	1469
19-Oct-1999	1470
27-Oct-1999	1472
9-Nov-1999	1445
11-Nov-1999	1424
21-Sep-2000	1443
28-Sep-2000	1458
12-Oct-2000	1477
25-Oct-2000	1456
21-Nov-2000	1471
23-Nov-2000	1449
22-Feb-2001	1456
27-Feb-2001	1447
21-Mar-2001	1443
18-Apr-2001	1430
21-Apr-2001	1427
2-May-2001	1419
24-Oct-2002	1407
31-Oct-2002	1401
6-Nov-2002	1389
19-Nov-2002	1371
21-Nov-2002	1363
28-Nov-2002	1382
11-Feb-2004	1392
24-Feb-2004	1397
9-Mar-2004	1427
17-Mar-2004	1429
8-Apr-2004	1456
14-Apr-2004	1464
4-May-2004	1503
13-May-2004	1507
19-May-2004	1499
26-May-2004	1490
2-Mar-2005	1512
10-Mar-2005	1502
7-Apr-2005	1486
19-Apr-2005	1471
4-May-2005	1464
12-May-2005	1447
25-Jan-2006	1442
1-Feb-2006	1436
30-Jan-2007	1424
8-Feb-2007	1406
10-Feb-2009	1427
4-Mar-2009	1423
11-Mar-2009	1441
17-Mar-2009	1421
16-Apr-2009	1439
30-Apr-2009	1431
26-Jan-2010	1452
2-Feb-2010	1436
15-Feb-2011	1447
1-Mar-2011	1434
10-Mar-2011	1441
6-Apr-2011	1427
12-Apr-2011	1420
20-Apr-2011	1414
15-Feb-2012	1426
22-Feb-2012	1414
13-Mar-2012	1400
27-Mar-2012	1403
3-Apr-2012	1412
18-Apr-2012	1406
