date	rating
16-Oct-1977	1479
19-Oct-1977	1474
30-Oct-1977	1479
7-Nov-1977	1467
10-Nov-1977	1453
13-Nov-1977	1455
16-Nov-1977	1438
20-Nov-1977	1432
27-Nov-1977	1426
4-Dec-1977	1415
8-Dec-1977	1429
14-Dec-1977	1434
18-Dec-1977	1425
26-Mar-1978	1426
29-Mar-1978	1429
2-Apr-1978	1418
6-Apr-1978	1442
9-Apr-1978	1469
16-Apr-1978	1472
20-Apr-1978	1454
23-Apr-1978	1448
26-Apr-1978	1443
3-May-1978	1432
7-May-1978	1436
21-May-1978	1460
28-May-1978	1446
4-Jun-1978	1444
7-Jun-1978	1464
23-Jun-1978	1476
2-Jul-1978	1467
6-Jul-1978	1461
9-Jul-1978	1462
13-Jul-1978	1459
15-Jul-1978	1452
20-Jul-1978	1473
23-Jul-1978	1465
23-Sep-1979	1484
27-Sep-1979	1477
30-Sep-1979	1486
3-Oct-1979	1482
6-Oct-1979	1467
14-Oct-1979	1468
20-Oct-1979	1477
31-Oct-1979	1500
4-Nov-1979	1508
7-Nov-1979	1500
10-Nov-1979	1513
15-Nov-1979	1500
18-Nov-1979	1515
21-Nov-1979	1535
24-Nov-1979	1523
28-Nov-1979	1512
19-Feb-2003	1494
