date	rating
20-Jan-2008	1518
23-Jan-2008	1514
27-Jan-2008	1508
30-Jan-2008	1498
2-Feb-2008	1484
6-Feb-2008	1484
10-Feb-2008	1498
2-Mar-2008	1508
8-Mar-2008	1502
13-Mar-2008	1496
16-Mar-2008	1507
23-Mar-2008	1519
26-Mar-2008	1510
30-Mar-2008	1499
5-Apr-2008	1480
17-Jan-2010	1478
21-Jan-2010	1467
24-Jan-2010	1470
28-Jan-2010	1464
31-Jan-2010	1445
3-Feb-2010	1448
28-Feb-2010	1460
4-Mar-2010	1456
6-Mar-2010	1446
7-Mar-2010	1456
13-Mar-2010	1467
21-Mar-2010	1458
24-Mar-2010	1448
28-Mar-2010	1450
4-Apr-2010	1447
10-Apr-2010	1457
17-Apr-2010	1458
21-Apr-2010	1458
28-Apr-2010	1474
20-Jan-2011	1471
23-Jan-2011	1491
26-Jan-2011	1482
29-Jan-2011	1483
3-Feb-2011	1480
6-Feb-2011	1495
13-Feb-2011	1480
3-Mar-2011	1480
9-Mar-2011	1472
13-Mar-2011	1473
19-Mar-2011	1482
27-Mar-2011	1492
2-Apr-2011	1486
10-Apr-2011	1497
17-Apr-2011	1484
22-Jan-2012	1474
29-Jan-2012	1471
1-Feb-2012	1471
4-Feb-2012	1478
8-Feb-2012	1487
12-Feb-2012	1474
18-Feb-2012	1490
1-Mar-2012	1480
4-Mar-2012	1477
10-Mar-2012	1486
18-Mar-2012	1488
24-Mar-2012	1483
1-Apr-2012	1491
7-Apr-2012	1491
15-Apr-2012	1474
20-Jan-2013	1468
23-Jan-2013	1459
26-Jan-2013	1440
31-Jan-2013	1457
3-Feb-2013	1459
7-Feb-2013	1451
17-Feb-2013	1452
24-Feb-2013	1449
16-Mar-2013	1451
23-Mar-2013	1459
28-Mar-2013	1448
31-Mar-2013	1466
6-Apr-2013	1472
13-Apr-2013	1485
21-Apr-2013	1476
18-Jan-2014	1465
22-Jan-2014	1456
25-Jan-2014	1464
30-Jan-2014	1462
2-Feb-2014	1453
5-Feb-2014	1439
9-Feb-2014	1428
16-Feb-2014	1425
19-Feb-2014	1445
23-Feb-2014	1456
26-Feb-2014	1443
5-Mar-2014	1434
9-Mar-2014	1441
16-Mar-2014	1426
23-Mar-2014	1420
2-Apr-2014	1406
16-Apr-2014	1410
