date	rating
4-Feb-1968	1497
11-Feb-1968	1514
18-Feb-1968	1533
24-Feb-1968	1511
27-Feb-1968	1493
3-Mar-1968	1476
25-Feb-1973	1451
11-Mar-1973	1454
14-Mar-1973	1470
18-Mar-1973	1486
22-Mar-1973	1470
25-Mar-1973	1445
17-Feb-1974	1474
27-Feb-1974	1476
6-Mar-1974	1502
10-Mar-1974	1504
20-Mar-1974	1522
27-Mar-1974	1507
16-Feb-1975	1486
26-Feb-1975	1480
2-Mar-1975	1508
9-Mar-1975	1510
16-Mar-1975	1492
18-Mar-1975	1453
3-Apr-1977	1455
9-Apr-1977	1479
13-Apr-1977	1521
24-Apr-1977	1543
30-Apr-1977	1527
5-May-1977	1522
27-Jun-1978	1528
30-Jun-1978	1521
5-Jul-1978	1547
11-Jul-1978	1532
14-Jul-1978	1521
26-Jul-1978	1505
4-Mar-1979	1520
20-Mar-1979	1503
23-Mar-1979	1493
1-Apr-1979	1491
5-Apr-1979	1513
8-Apr-1979	1498
27-Mar-1983	1518
13-Apr-1983	1512
17-Apr-1983	1513
24-Apr-1983	1485
6-May-1983	1505
11-May-1983	1520
4-Apr-1984	1534
8-Apr-1984	1567
15-Apr-1984	1587
25-Apr-1984	1579
3-May-1984	1584
8-May-1984	1564
23-May-1985	1574
7-Jul-1985	1586
14-Jul-1985	1610
19-Jul-1985	1616
31-Jul-1985	1621
2-Aug-1985	1618
22-Sep-1985	1642
25-Sep-1985	1629
2-Oct-1985	1660
6-Oct-1985	1630
22-Mar-1987	1644
1-Apr-1987	1624
5-Apr-1987	1603
13-May-1987	1584
20-May-1987	1620
24-May-1987	1637
17-Feb-1993	1651
26-Feb-1993	1668
5-Mar-1993	1688
10-Mar-1993	1654
23-Mar-1993	1622
26-Mar-1993	1596
7-Apr-1993	1616
14-Apr-1993	1578
22-Feb-1995	1573
7-Mar-1995	1598
17-Mar-1995	1586
22-Mar-1995	1557
4-Apr-1995	1544
7-Apr-1995	1531
19-Feb-1997	1516
26-Feb-1997	1538
2-Mar-1997	1567
12-Mar-1997	1581
18-Mar-1997	1562
7-May-1997	1584
14-May-1997	1575
16-Feb-2000	1563
16-Mar-2000	1598
21-Mar-2000	1594
6-Apr-2000	1617
13-Apr-2000	1598
20-Apr-2000	1619
3-May-2000	1623
9-May-2000	1606
13-Feb-2001	1580
28-Feb-2001	1602
13-Mar-2001	1621
10-Apr-2001	1633
18-Apr-2001	1614
3-May-2001	1594
8-May-2001	1589
15-May-2001	1580
5-Feb-2002	1597
26-Feb-2002	1580
5-Mar-2002	1598
12-Mar-2002	1574
19-Mar-2002	1601
9-Apr-2002	1618
25-Apr-2002	1624
1-May-2002	1611
5-Feb-2003	1581
26-Feb-2003	1586
12-Mar-2003	1593
19-Mar-2003	1604
27-Mar-2003	1593
16-Apr-2003	1599
12-Feb-2004	1600
26-Feb-2004	1580
2-Mar-2004	1563
16-Mar-2004	1584
23-Mar-2004	1580
20-Apr-2004	1567
14-Feb-2006	1570
8-Mar-2006	1560
22-Mar-2006	1532
30-Mar-2006	1534
12-Apr-2006	1566
20-Apr-2006	1568
20-Feb-2007	1560
27-Feb-2007	1534
6-Mar-2007	1539
22-Mar-2007	1529
3-Apr-2007	1517
18-Apr-2007	1509
27-Jan-2009	1475
5-Feb-2009	1476
