date	rating
7-Feb-1993	1486
15-Feb-1993	1480
25-Feb-1993	1477
28-Feb-1993	1479
7-Mar-1993	1476
14-Mar-1993	1476
22-Mar-1993	1460
28-Mar-1993	1461
31-Mar-1993	1447
4-Apr-1993	1466
11-Apr-1993	1478
1-Feb-1995	1490
6-Feb-1995	1496
9-Feb-1995	1496
12-Feb-1995	1512
15-Feb-1995	1503
18-Feb-1995	1509
23-Feb-1995	1507
28-Feb-1995	1516
2-Mar-1995	1500
5-Mar-1995	1492
8-Mar-1995	1501
12-Mar-1995	1479
16-Mar-1995	1475
19-Mar-1995	1484
26-Mar-1995	1476
2-Apr-1995	1467
9-Apr-1995	1460
15-Apr-1995	1464
22-Apr-1995	1457
30-Apr-1995	1452
8-May-1995	1447
14-May-1995	1443
21-May-1995	1436
29-May-1995	1431
3-Jun-1995	1444
10-Jun-1995	1449
18-Jun-1995	1443
24-Jun-1995	1450
27-Jan-2002	1452
2-Feb-2002	1440
6-Feb-2002	1437
16-Feb-2002	1452
21-Feb-2002	1449
23-Feb-2002	1436
28-Feb-2002	1430
3-Mar-2002	1449
7-Mar-2002	1453
10-Mar-2002	1438
15-Mar-2002	1434
17-Apr-2002	1421
21-Apr-2002	1423
24-Apr-2002	1420
28-Apr-2002	1419
1-May-2002	1414
4-May-2002	1406
8-May-2002	1410
11-May-2002	1396
15-May-2002	1383
19-May-2002	1373
22-May-2002	1380
