date	rating
2-Jul-1961	1490
9-Jul-1961	1516
16-Jul-1961	1528
30-Jul-1961	1542
2-Aug-1961	1554
6-Aug-1961	1545
13-Aug-1961	1531
27-Aug-1961	1546
3-Sep-1961	1547
6-Sep-1961	1537
10-Sep-1961	1550
13-Sep-1961	1545
17-Sep-1961	1542
24-Sep-1961	1542
30-Sep-1961	1550
4-Oct-1961	1546
8-Oct-1961	1532
11-Oct-1961	1518
15-Oct-1961	1509
18-Oct-1961	1509
22-Oct-1961	1497
31-Oct-1961	1490
5-Nov-1961	1483
8-Nov-1961	1480
12-Nov-1961	1497
19-Nov-1961	1511
25-Nov-1961	1503
7-Dec-1961	1498
13-Dec-1961	1482
17-Dec-1961	1494
8-Jul-1962	1483
15-Jul-1962	1478
22-Jul-1962	1475
5-Aug-1962	1474
12-Aug-1962	1479
15-Aug-1962	1478
19-Aug-1962	1464
26-Aug-1962	1479
2-Sep-1962	1480
9-Sep-1962	1474
12-Sep-1962	1484
16-Sep-1962	1466
23-Sep-1962	1463
26-Sep-1962	1479
30-Sep-1962	1473
10-Oct-1962	1483
14-Oct-1962	1473
17-Oct-1962	1468
21-Oct-1962	1469
24-Oct-1962	1494
31-Oct-1962	1504
4-Nov-1962	1523
14-Nov-1962	1527
22-Nov-1962	1517
25-Nov-1962	1501
2-Dec-1962	1521
5-Dec-1962	1508
9-Dec-1962	1526
12-Dec-1962	1530
16-Dec-1962	1523
12-May-1963	1507
19-May-1963	1507
9-Jun-1963	1497
23-Jun-1963	1490
30-Jun-1963	1493
7-Jul-1963	1483
14-Jul-1963	1490
21-Jul-1963	1498
31-Jul-1963	1506
7-Aug-1963	1509
15-Aug-1963	1515
25-Aug-1963	1531
31-Aug-1963	1520
11-Sep-1963	1539
22-Sep-1963	1530
29-Sep-1963	1519
6-Oct-1963	1534
9-Oct-1963	1530
16-Oct-1963	1542
20-Oct-1963	1525
27-Oct-1963	1512
30-Oct-1963	1528
7-Nov-1963	1524
10-Nov-1963	1502
14-Nov-1963	1512
20-Nov-1963	1500
24-Nov-1963	1495
24-Nov-1963	1499
4-Dec-1963	1503
15-Dec-1963	1501
5-Jul-1964	1493
12-Jul-1964	1498
19-Jul-1964	1516
26-Jul-1964	1519
29-Jul-1964	1537
2-Aug-1964	1531
9-Aug-1964	1534
16-Aug-1964	1522
23-Aug-1964	1531
30-Aug-1964	1530
7-Sep-1964	1524
13-Sep-1964	1512
20-Sep-1964	1505
23-Sep-1964	1498
27-Sep-1964	1489
4-Oct-1964	1481
11-Oct-1964	1467
14-Oct-1964	1461
21-Oct-1964	1487
28-Oct-1964	1473
1-Nov-1964	1477
4-Nov-1964	1482
11-Nov-1964	1472
15-Nov-1964	1484
22-Nov-1964	1480
25-Nov-1964	1463
28-Nov-1964	1466
6-Dec-1964	1462
6-Dec-1964	1465
13-Dec-1964	1458
