date	rating
16-Oct-1977	1481
20-Oct-1977	1502
26-Oct-1977	1489
29-Oct-1977	1476
5-Nov-1977	1459
9-Nov-1977	1455
13-Nov-1977	1445
16-Nov-1977	1455
20-Nov-1977	1442
4-Dec-1977	1457
11-Dec-1977	1470
14-Dec-1977	1491
18-Dec-1977	1481
29-Jan-1978	1484
1-Feb-1978	1482
15-Feb-1978	1478
19-Feb-1978	1470
22-Feb-1978	1465
26-Mar-1978	1482
29-Mar-1978	1479
5-Apr-1978	1468
12-Apr-1978	1467
23-Apr-1978	1482
26-Apr-1978	1496
30-Apr-1978	1497
3-May-1978	1489
7-May-1978	1475
11-May-1978	1495
14-May-1978	1483
21-May-1978	1492
28-May-1978	1472
31-May-1978	1460
4-Jun-1978	1461
17-Jun-1978	1437
30-Sep-1979	1420
4-Oct-1979	1411
6-Oct-1979	1390
10-Oct-1979	1373
17-Oct-1979	1389
21-Oct-1979	1392
24-Oct-1979	1412
28-Oct-1979	1389
4-Nov-1979	1391
14-Feb-2007	1388
28-Feb-2007	1383
13-Feb-2008	1407
27-Feb-2008	1396
2-Apr-2008	1389
4-Mar-2009	1395
19-Mar-2009	1381
10-Apr-2013	1384
25-Apr-2013	1375
