date	rating
3-May-1906	1521
13-May-1906	1543
10-Jun-1906	1560
14-Jul-1906	1575
5-Aug-1906	1558
12-Aug-1906	1567
9-Sep-1906	1581
30-Sep-1906	1597
14-Oct-1906	1613
21-Oct-1906	1622
3-May-1908	1642
24-May-1908	1654
14-Jun-1908	1650
5-Jul-1908	1663
19-Jul-1908	1670
2-Aug-1908	1681
16-Aug-1908	1685
1-Sep-1908	1680
6-Sep-1908	1686
4-Oct-1908	1690
9-May-1909	1686
23-May-1909	1696
30-May-1909	1708
13-Jun-1909	1720
4-Jul-1909	1725
11-Jul-1909	1731
22-Aug-1909	1738
5-Sep-1909	1734
19-Sep-1909	1742
26-Sep-1909	1747
10-Oct-1909	1749
1-May-1910	1760
5-Jun-1910	1765
19-Jun-1910	1771
26-Jun-1910	1750
10-Jul-1910	1755
31-Jul-1910	1765
21-Aug-1910	1758
25-Sep-1910	1735
9-Oct-1910	1738
20-Oct-1910	1740
7-May-1911	1744
11-Jun-1911	1751
9-Jul-1911	1765
3-Sep-1911	1768
10-Sep-1911	1774
1-Oct-1911	1784
3-May-1913	1766
1-Jun-1913	1747
8-Jun-1913	1753
22-Jun-1913	1758
6-Jul-1913	1764
27-Jul-1913	1757
3-Aug-1913	1730
17-Aug-1913	1738
31-Aug-1913	1720
28-Sep-1913	1714
12-Oct-1913	1704
19-Oct-1913	1680
1-Nov-1913	1701
9-Nov-1913	1679
15-Nov-1913	1674
3-May-1914	1682
13-May-1914	1683
31-May-1914	1690
21-Jun-1914	1681
26-Jul-1914	1671
16-Aug-1914	1678
6-Sep-1914	1690
11-Oct-1914	1698
25-Oct-1914	1702
1-Nov-1914	1710
8-Nov-1914	1711
15-Nov-1914	1700
3-May-1915	1706
9-May-1915	1685
16-May-1915	1691
23-May-1915	1696
4-Jul-1915	1698
1-Aug-1915	1705
22-Aug-1915	1706
29-Aug-1915	1713
5-Sep-1915	1719
12-Oct-1915	1737
17-Oct-1915	1748
1-Nov-1915	1733
3-May-1916	1727
13-May-1916	1711
25-Jun-1916	1728
6-Aug-1916	1712
20-Aug-1916	1697
3-Sep-1916	1702
10-Sep-1916	1706
22-Oct-1916	1697
1-Nov-1916	1689
19-Nov-1916	1662
26-Nov-1916	1662
3-Dec-1916	1658
8-Dec-1916	1675
27-May-1917	1690
10-Jun-1917	1696
1-Jul-1917	1704
8-Jul-1917	1710
14-Jul-1917	1729
5-Aug-1917	1733
15-Aug-1917	1744
26-Aug-1917	1750
2-Sep-1917	1742
9-Sep-1917	1753
16-Sep-1917	1757
4-Nov-1917	1760
