date	rating
20-Aug-1978	1511
23-Aug-1978	1511
26-Aug-1978	1493
30-Aug-1978	1499
3-Sep-1978	1504
6-Sep-1978	1500
10-Sep-1978	1491
13-Sep-1978	1506
17-Sep-1978	1505
20-Sep-1978	1512
24-Sep-1978	1502
28-Sep-1978	1496
1-Oct-1978	1505
8-Oct-1978	1499
15-Oct-1978	1500
19-Oct-1978	1524
22-Oct-1978	1530
29-Oct-1978	1544
1-Nov-1978	1533
26-Nov-1978	1515
29-Nov-1978	1535
6-Dec-1978	1536
6-Dec-1978	1546
9-Dec-1978	1538
17-Dec-1978	1536
28-Jan-1979	1527
31-Jan-1979	1526
4-Feb-1979	1536
7-Feb-1979	1537
11-Feb-1979	1550
14-Feb-1979	1556
18-Feb-1979	1545
24-Feb-1979	1546
4-Mar-1979	1544
11-Mar-1979	1543
18-Mar-1979	1550
25-Mar-1979	1540
1-Apr-1979	1543
14-Apr-1979	1537
29-Apr-1979	1533
2-May-1979	1523
6-May-1979	1517
10-May-1979	1513
13-May-1979	1526
16-May-1979	1528
27-May-1979	1522
30-May-1979	1526
10-Jun-1979	1526
1-Jul-1979	1517
4-Jul-1979	1516
8-Jul-1979	1522
11-Jul-1979	1523
15-Jul-1979	1513
18-Jul-1979	1534
22-Jul-1979	1532
25-Jul-1979	1533
29-Jul-1979	1549
1-Aug-1979	1554
5-Aug-1979	1542
8-Aug-1979	1531
12-Aug-1979	1549
15-Aug-1979	1548
19-Aug-1979	1560
23-Aug-1979	1574
26-Aug-1979	1580
30-Aug-1979	1580
2-Sep-1979	1562
7-Sep-1979	1565
9-Sep-1979	1564
12-Sep-1979	1568
16-Sep-1979	1555
20-Sep-1979	1546
23-Sep-1979	1534
26-Sep-1979	1535
3-Oct-1979	1540
7-Oct-1979	1540
10-Oct-1979	1543
14-Oct-1979	1548
16-Oct-1979	1558
18-Oct-1979	1568
21-Oct-1979	1558
24-Oct-1979	1548
28-Oct-1979	1530
30-Oct-1979	1539
1-Nov-1979	1516
3-Nov-1979	1508
8-Nov-1979	1522
11-Nov-1979	1532
15-Nov-1979	1516
18-Nov-1979	1505
21-Nov-1979	1516
25-Nov-1979	1508
28-Nov-1979	1516
11-May-1980	1506
14-May-1980	1494
18-May-1980	1493
22-May-1980	1484
25-May-1980	1490
29-May-1980	1478
1-Jun-1980	1471
5-Jun-1980	1466
8-Jun-1980	1468
11-Jun-1980	1473
15-Jun-1980	1466
18-Jun-1980	1473
29-Jun-1980	1478
2-Jul-1980	1489
6-Jul-1980	1500
13-Jul-1980	1487
16-Jul-1980	1489
20-Jul-1980	1484
23-Jul-1980	1506
10-Aug-1980	1520
17-Aug-1980	1524
20-Aug-1980	1517
24-Aug-1980	1530
31-Aug-1980	1542
3-Sep-1980	1531
7-Sep-1980	1522
10-Sep-1980	1522
14-Sep-1980	1522
17-Sep-1980	1528
21-Sep-1980	1526
28-Sep-1980	1532
1-Oct-1980	1537
5-Oct-1980	1540
8-Oct-1980	1540
11-Oct-1980	1531
15-Oct-1980	1524
19-Oct-1980	1525
26-Oct-1980	1509
25-Feb-1981	1510
28-Feb-1981	1497
5-Mar-1981	1487
8-Mar-1981	1505
11-Mar-1981	1508
15-Mar-1981	1499
18-Mar-1981	1502
21-Mar-1981	1492
25-Mar-1981	1510
28-Mar-1981	1509
29-Apr-1981	1511
2-May-1981	1530
6-May-1981	1533
9-May-1981	1522
12-May-1981	1515
17-May-1981	1520
20-May-1981	1504
24-May-1981	1513
27-May-1981	1504
30-May-1981	1520
7-Jun-1981	1530
10-Jun-1981	1535
14-Jun-1981	1528
18-Jun-1981	1527
21-Jun-1981	1522
24-Jun-1981	1524
28-Jun-1981	1517
1-Jul-1981	1507
5-Jul-1981	1496
12-Jul-1981	1488
15-Jul-1981	1499
19-Jul-1981	1488
22-Jul-1981	1487
26-Jul-1981	1499
29-Jul-1981	1492
9-Aug-1981	1496
12-Aug-1981	1496
16-Aug-1981	1491
19-Aug-1981	1514
23-Aug-1981	1508
30-Aug-1981	1523
2-Sep-1981	1530
10-Sep-1981	1520
13-Sep-1981	1539
16-Sep-1981	1524
20-Sep-1981	1527
23-Sep-1981	1527
27-Sep-1981	1527
30-Sep-1981	1513
4-Oct-1981	1515
8-Oct-1981	1501
11-Oct-1981	1504
14-Oct-1981	1516
18-Oct-1981	1518
18-Jul-1982	1515
21-Jul-1982	1503
25-Jul-1982	1508
28-Jul-1982	1499
1-Aug-1982	1486
4-Aug-1982	1480
8-Aug-1982	1483
11-Aug-1982	1479
15-Aug-1982	1481
19-Aug-1982	1484
22-Aug-1982	1476
25-Aug-1982	1461
29-Aug-1982	1466
1-Sep-1982	1460
5-Sep-1982	1473
12-Sep-1982	1464
15-Sep-1982	1487
19-Sep-1982	1489
22-Sep-1982	1481
29-Sep-1982	1474
3-Oct-1982	1492
10-Oct-1982	1487
13-Oct-1982	1490
17-Oct-1982	1483
21-Oct-1982	1487
24-Oct-1982	1489
27-Oct-1982	1493
31-Oct-1982	1506
3-Nov-1982	1496
7-Nov-1982	1483
10-Nov-1982	1486
13-Nov-1982	1487
17-Nov-1982	1492
21-Nov-1982	1505
23-Nov-1982	1506
27-Nov-1982	1499
30-Nov-1982	1488
5-Dec-1982	1493
8-Dec-1982	1514
