date	rating
16-Mar-1930	1484
23-Mar-1930	1482
30-Mar-1930	1509
6-Apr-1930	1512
13-Apr-1930	1497
27-Apr-1930	1516
4-May-1930	1531
11-May-1930	1544
18-May-1930	1549
1-Jun-1930	1563
8-Jun-1930	1580
15-Jun-1930	1569
10-Aug-1930	1584
24-Aug-1930	1568
31-Aug-1930	1567
7-Sep-1930	1544
21-Sep-1930	1555
28-Sep-1930	1562
5-Oct-1930	1542
12-Oct-1930	1548
9-Nov-1930	1541
30-Nov-1930	1551
14-Dec-1930	1539
21-Dec-1930	1527
28-Dec-1930	1542
4-Jan-1931	1547
29-Mar-1931	1566
5-Apr-1931	1572
12-Apr-1931	1561
10-May-1931	1564
17-May-1931	1570
24-May-1931	1582
31-May-1931	1589
7-Jun-1931	1585
14-Jun-1931	1571
28-Jun-1931	1578
20-Sep-1931	1569
27-Sep-1931	1540
4-Oct-1931	1547
18-Oct-1931	1553
25-Oct-1931	1559
1-Nov-1931	1549
8-Nov-1931	1536
15-Nov-1931	1543
22-Nov-1931	1559
29-Nov-1931	1566
6-Dec-1931	1550
13-Dec-1931	1544
20-Dec-1931	1538
27-Dec-1931	1545
3-Jan-1932	1541
10-Jan-1932	1530
20-Aug-1950	1521
27-Aug-1950	1530
10-Sep-1950	1534
17-Sep-1950	1522
23-Sep-1950	1501
1-Oct-1950	1506
8-Oct-1950	1514
14-Oct-1950	1505
28-Oct-1950	1509
5-Nov-1950	1522
11-Nov-1950	1516
19-Nov-1950	1523
25-Nov-1950	1528
2-Dec-1950	1540
10-Dec-1950	1560
17-Dec-1950	1545
24-Dec-1950	1536
31-Dec-1950	1551
7-Jan-1951	1558
14-Jan-1951	1568
21-Jan-1951	1577
27-Jan-1951	1567
3-Jun-1951	1582
10-Jun-1951	1576
17-Jun-1951	1579
24-Jun-1951	1567
4-Aug-1951	1564
12-Aug-1951	1573
19-Aug-1951	1557
26-Aug-1951	1569
2-Sep-1951	1553
9-Sep-1951	1543
16-Sep-1951	1531
23-Sep-1951	1524
30-Sep-1951	1524
7-Oct-1951	1518
21-Oct-1951	1532
27-Oct-1951	1544
4-Nov-1951	1534
10-Nov-1951	1548
25-Nov-1951	1572
2-Dec-1951	1570
9-Dec-1951	1575
16-Dec-1951	1582
23-Dec-1951	1591
29-Dec-1951	1605
6-Jan-1952	1616
13-Jan-1952	1607
19-Jan-1952	1613
27-Jan-1952	1598
31-Aug-1952	1605
7-Sep-1952	1594
10-Sep-1952	1579
13-Sep-1952	1589
21-Sep-1952	1581
27-Sep-1952	1588
5-Oct-1952	1597
8-Oct-1952	1604
11-Oct-1952	1590
19-Oct-1952	1583
26-Oct-1952	1564
2-Nov-1952	1559
9-Nov-1952	1553
12-Nov-1952	1546
15-Nov-1952	1519
23-Nov-1952	1529
26-Nov-1952	1538
30-Nov-1952	1562
7-Dec-1952	1575
14-Dec-1952	1571
17-Dec-1952	1552
21-Dec-1952	1562
24-Dec-1952	1568
28-Dec-1952	1558
3-Jan-1953	1545
10-Jan-1953	1537
14-Jan-1953	1523
18-Jan-1953	1529
25-Jan-1953	1527
1-Feb-1953	1536
19-Jul-1953	1545
26-Jul-1953	1555
2-Aug-1953	1564
9-Aug-1953	1588
15-Aug-1953	1593
30-Aug-1953	1584
6-Sep-1953	1572
13-Sep-1953	1570
20-Sep-1953	1578
27-Sep-1953	1584
4-Oct-1953	1591
7-Oct-1953	1577
11-Oct-1953	1598
18-Oct-1953	1589
1-Nov-1953	1584
8-Nov-1953	1591
15-Nov-1953	1600
29-Nov-1953	1580
6-Dec-1953	1591
20-Dec-1953	1589
27-Dec-1953	1573
3-Jan-1954	1579
10-Jan-1954	1574
16-Jan-1954	1570
24-Jan-1954	1553
27-Jan-1954	1558
31-Jan-1954	1567
7-Feb-1954	1564
15-Aug-1954	1558
22-Aug-1954	1539
5-Sep-1954	1535
8-Sep-1954	1533
12-Sep-1954	1522
19-Sep-1954	1531
26-Sep-1954	1530
2-Oct-1954	1546
10-Oct-1954	1534
17-Oct-1954	1548
24-Oct-1954	1559
30-Oct-1954	1575
7-Nov-1954	1590
21-Nov-1954	1579
28-Nov-1954	1571
5-Dec-1954	1585
8-Dec-1954	1581
19-Dec-1954	1568
26-Dec-1954	1574
2-Jan-1955	1582
8-Jan-1955	1572
16-Jan-1955	1579
19-Jan-1955	1575
30-Jan-1955	1590
6-Feb-1955	1567
13-Feb-1955	1556
30-Jul-1955	1552
10-Aug-1955	1555
14-Aug-1955	1547
21-Aug-1955	1559
28-Aug-1955	1577
4-Sep-1955	1577
7-Sep-1955	1592
11-Sep-1955	1600
18-Sep-1955	1581
25-Sep-1955	1558
2-Oct-1955	1555
9-Oct-1955	1578
16-Oct-1955	1586
23-Oct-1955	1602
