date	rating
1-Feb-1965	1515
25-Feb-1965	1528
7-Mar-1965	1545
10-Mar-1965	1523
27-Feb-1966	1521
5-Mar-1966	1499
8-Mar-1966	1475
11-Mar-1966	1476
16-Mar-1966	1504
20-Mar-1966	1526
23-Mar-1966	1539
30-Mar-1966	1523
6-Apr-1966	1506
14-Apr-1966	1493
19-Apr-1966	1499
21-Apr-1966	1485
26-Apr-1966	1477
26-Feb-1967	1464
5-Mar-1967	1451
9-Mar-1967	1478
14-Mar-1967	1481
18-Mar-1967	1467
2-Apr-1967	1494
5-Apr-1967	1518
16-Apr-1967	1521
19-Apr-1967	1546
23-Apr-1967	1529
30-Apr-1967	1520
15-May-1967	1502
2-Feb-1968	1524
6-Feb-1968	1531
12-Feb-1968	1521
16-Feb-1968	1518
21-Feb-1968	1541
24-Feb-1968	1548
13-Mar-1968	1524
17-Mar-1968	1551
24-Mar-1968	1588
4-Apr-1968	1581
11-Feb-1970	1593
15-Feb-1970	1610
25-Feb-1970	1618
5-Mar-1970	1612
8-Mar-1970	1610
12-Mar-1970	1607
18-Mar-1970	1623
24-Mar-1970	1619
31-Mar-1970	1626
5-Apr-1970	1622
19-Apr-1970	1653
22-Apr-1970	1632
26-Apr-1970	1621
29-Apr-1970	1617
7-Feb-1971	1614
18-Feb-1971	1608
24-Feb-1971	1624
5-Mar-1971	1620
13-Mar-1971	1600
17-Mar-1971	1580
3-Mar-1985	1580
12-Mar-1985	1600
21-Mar-1985	1600
27-Mar-1985	1576
31-Mar-1985	1545
3-Apr-1985	1533
19-Feb-1997	1552
25-Feb-1997	1520
28-Feb-1997	1503
12-Mar-1997	1505
18-Mar-1997	1507
8-Apr-1997	1539
23-Apr-1997	1564
6-May-1997	1558
13-Feb-2001	1584
1-Mar-2001	1580
6-Mar-2001	1563
13-Mar-2001	1544
17-Apr-2001	1569
3-May-2001	1560
4-Feb-2004	1562
18-Feb-2004	1572
3-Mar-2004	1565
18-Mar-2004	1579
25-Mar-2004	1574
14-Apr-2004	1552
10-Feb-2009	1531
24-Feb-2009	1498
18-Mar-2009	1490
9-Apr-2009	1483
16-Apr-2009	1465
30-Apr-2009	1468
15-Feb-2011	1456
22-Feb-2011	1451
9-Mar-2011	1446
17-Mar-2011	1438
30-Mar-2011	1434
13-Apr-2011	1418
