date	rating
31-May-1964	1527
4-Jun-1964	1524
7-Jun-1964	1549
15-Jul-1964	1573
22-Jul-1964	1595
6-Aug-1964	1596
12-Aug-1964	1612
24-Mar-1965	1635
28-Mar-1965	1619
5-Apr-1965	1619
9-Apr-1965	1633
12-Apr-1965	1609
15-Apr-1965	1636
7-Apr-1966	1660
12-Apr-1966	1659
14-Apr-1966	1672
19-Apr-1966	1646
26-Apr-1966	1655
29-Apr-1966	1654
10-May-1966	1638
27-Jan-1968	1607
8-Feb-1968	1588
18-Feb-1968	1604
22-Feb-1968	1598
29-Feb-1968	1574
6-Mar-1968	1585
21-Mar-1968	1615
28-Mar-1968	1599
4-Apr-1968	1584
11-Apr-1968	1611
16-Feb-1972	1607
22-Feb-1972	1602
24-Feb-1972	1618
9-Mar-1972	1636
21-Mar-1972	1649
23-Mar-1972	1660
6-Apr-1972	1655
18-Apr-1972	1666
27-Apr-1972	1655
4-May-1972	1686
17-May-1972	1682
24-May-1972	1693
6-Apr-1973	1671
26-Apr-1973	1683
5-May-1973	1680
9-May-1973	1693
22-May-1973	1689
29-May-1973	1686
6-Jun-1973	1697
4-Sep-1974	1694
18-Sep-1974	1708
20-Sep-1974	1728
2-Oct-1974	1726
12-Oct-1974	1711
16-Oct-1974	1735
19-Oct-1974	1750
6-May-1975	1720
23-May-1975	1702
30-May-1975	1721
6-Jun-1975	1751
18-Jun-1975	1728
25-Jun-1975	1742
29-Jun-1975	1754
13-May-1976	1749
26-May-1976	1762
23-Jun-1976	1742
15-Jul-1976	1754
16-Jul-1976	1736
27-Jun-1978	1713
30-Jun-1978	1721
5-Jul-1978	1719
14-Jul-1978	1730
20-Jul-1978	1741
26-Jul-1978	1740
2-Aug-1978	1711
14-Mar-1979	1718
20-Mar-1979	1711
23-Mar-1979	1693
4-Apr-1979	1703
10-Apr-1979	1716
13-Apr-1979	1732
10-May-1979	1728
13-Jun-1979	1747
20-Jun-1979	1757
27-Jun-1979	1737
11-Jul-1979	1725
29-Feb-1984	1726
15-Mar-1984	1732
16-Mar-1984	1711
30-Mar-1984	1721
13-Apr-1984	1746
24-Apr-1984	1757
31-May-1984	1755
7-Jun-1984	1747
26-Jun-1984	1755
4-Jul-1984	1768
24-Jul-1984	1786
27-Jul-1984	1788
16-Sep-1985	1781
19-Sep-1985	1773
4-Oct-1985	1784
10-Oct-1985	1763
19-Jul-1987	1736
22-Jul-1987	1739
1-Aug-1987	1736
4-Aug-1987	1741
9-Aug-1987	1750
16-Aug-1987	1768
26-Aug-1987	1768
2-Sep-1987	1734
23-Sep-1987	1751
30-Sep-1987	1725
25-Mar-1990	1727
1-Apr-1990	1743
4-Aug-1990	1755
15-Aug-1990	1764
22-Aug-1990	1741
29-Aug-1990	1743
19-Feb-1995	1741
22-Feb-1995	1751
9-Mar-1995	1727
29-Mar-1995	1702
14-Apr-1995	1684
20-Apr-1995	1692
26-Apr-1995	1662
3-May-1995	1662
12-Feb-2004	1675
24-Feb-2004	1672
2-Mar-2004	1689
16-Mar-2004	1669
25-Mar-2004	1667
20-Apr-2004	1645
28-Apr-2004	1652
24-Feb-2011	1674
3-Mar-2011	1642
10-Mar-2011	1611
23-Mar-2011	1607
5-Apr-2011	1609
12-Apr-2011	1623
