date	rating
8-Aug-1971	1510
15-Aug-1971	1498
21-Aug-1971	1519
25-Aug-1971	1532
29-Aug-1971	1523
1-Sep-1971	1529
5-Sep-1971	1537
8-Sep-1971	1535
11-Sep-1971	1535
19-Sep-1971	1546
26-Sep-1971	1553
2-Oct-1971	1581
6-Oct-1971	1586
10-Oct-1971	1584
17-Oct-1971	1597
23-Oct-1971	1605
31-Oct-1971	1586
6-Nov-1971	1595
14-Nov-1971	1626
20-Nov-1971	1630
25-Nov-1971	1613
28-Nov-1971	1593
1-Dec-1971	1620
5-Dec-1971	1636
9-Dec-1971	1650
13-Sep-1972	1622
17-Sep-1972	1630
20-Sep-1972	1644
23-Sep-1972	1660
27-Sep-1972	1664
1-Oct-1972	1659
4-Oct-1972	1655
8-Oct-1972	1657
12-Oct-1972	1654
15-Oct-1972	1648
19-Oct-1972	1649
22-Oct-1972	1653
25-Oct-1972	1657
29-Oct-1972	1666
1-Nov-1972	1654
5-Nov-1972	1661
9-Nov-1972	1669
12-Nov-1972	1670
16-Nov-1972	1693
18-Nov-1972	1692
21-Nov-1972	1708
23-Nov-1972	1706
26-Nov-1972	1727
29-Nov-1972	1734
3-Dec-1972	1739
10-Dec-1972	1751
14-Dec-1972	1767
17-Dec-1972	1765
20-Dec-1972	1767
25-Aug-1973	1747
30-Aug-1973	1739
31-Aug-1973	1725
5-Sep-1973	1729
9-Sep-1973	1736
12-Sep-1973	1740
16-Sep-1973	1728
22-Sep-1973	1714
30-Sep-1973	1711
3-Oct-1973	1705
6-Oct-1973	1712
10-Oct-1973	1707
14-Oct-1973	1714
17-Oct-1973	1721
21-Oct-1973	1722
24-Oct-1973	1732
27-Oct-1973	1743
31-Oct-1973	1752
3-Nov-1973	1762
11-Nov-1973	1761
15-Nov-1973	1752
18-Nov-1973	1739
25-Nov-1973	1749
28-Nov-1973	1727
2-Dec-1973	1722
8-Dec-1973	1720
12-Dec-1973	1728
15-Dec-1973	1726
13-Jan-1974	1723
17-Jan-1974	1735
20-Jan-1974	1738
23-Jan-1974	1745
27-Jan-1974	1738
30-Jan-1974	1724
3-Feb-1974	1735
6-Feb-1974	1743
10-Feb-1974	1741
13-Feb-1974	1722
17-Feb-1974	1715
20-Feb-1974	1729
10-Mar-1974	1710
13-Mar-1974	1716
17-Mar-1974	1724
20-Mar-1974	1729
23-Mar-1974	1742
30-Mar-1974	1752
6-Apr-1974	1745
13-Apr-1974	1743
20-Apr-1974	1752
27-Apr-1974	1746
4-May-1974	1726
11-May-1974	1723
15-May-1974	1733
18-May-1974	1703
25-May-1974	1715
2-Jun-1974	1713
5-Jun-1974	1724
13-Jun-1974	1702
19-Jun-1974	1697
30-Jun-1974	1695
3-Jul-1974	1706
6-Jul-1974	1703
14-Jul-1974	1713
17-Jul-1974	1727
21-Jul-1974	1729
24-Jul-1974	1718
28-Jul-1974	1719
20-Aug-1975	1727
23-Aug-1975	1749
27-Aug-1975	1754
30-Aug-1975	1772
7-Sep-1975	1771
10-Sep-1975	1776
14-Sep-1975	1785
17-Sep-1975	1789
21-Sep-1975	1781
24-Sep-1975	1787
28-Sep-1975	1772
8-Oct-1975	1787
12-Oct-1975	1799
15-Oct-1975	1807
19-Oct-1975	1807
22-Oct-1975	1822
26-Oct-1975	1817
29-Oct-1975	1800
2-Nov-1975	1795
6-Nov-1975	1806
9-Nov-1975	1803
12-Nov-1975	1785
16-Nov-1975	1796
19-Nov-1975	1796
23-Nov-1975	1804
27-Nov-1975	1811
30-Nov-1975	1809
4-Dec-1975	1825
7-Dec-1975	1844
14-Dec-1975	1855
7-Mar-1976	1838
14-Mar-1976	1843
21-Mar-1976	1850
28-Mar-1976	1826
11-Apr-1976	1830
13-Apr-1976	1820
1-Sep-1976	1830
7-Sep-1976	1842
12-Sep-1976	1820
19-Sep-1976	1825
22-Sep-1976	1829
26-Sep-1976	1839
29-Sep-1976	1843
3-Oct-1976	1853
10-Oct-1976	1852
13-Oct-1976	1862
17-Oct-1976	1867
20-Oct-1976	1875
24-Oct-1976	1884
30-Oct-1976	1865
3-Nov-1976	1873
7-Nov-1976	1887
10-Nov-1976	1891
14-Nov-1976	1901
21-Nov-1976	1882
24-Nov-1976	1891
28-Nov-1976	1898
3-Apr-1977	1890
10-Apr-1977	1894
13-Apr-1977	1853
24-Apr-1977	1861
1-May-1977	1866
5-May-1977	1872
3-Jul-1977	1856
10-Jul-1977	1811
24-Jul-1977	1814
27-Jul-1977	1820
16-Oct-1977	1813
19-Oct-1977	1818
23-Oct-1977	1828
30-Oct-1977	1835
6-Nov-1977	1805
13-Nov-1977	1810
16-Nov-1977	1814
20-Nov-1977	1823
27-Nov-1977	1814
4-Dec-1977	1822
7-Dec-1977	1816
11-Dec-1977	1789
18-Dec-1977	1777
26-Mar-1978	1782
29-Mar-1978	1788
2-Apr-1978	1796
9-Apr-1978	1803
12-Apr-1978	1808
16-Apr-1978	1817
19-Apr-1978	1821
23-Apr-1978	1805
30-Apr-1978	1776
7-May-1978	1770
11-May-1978	1761
14-May-1978	1774
28-May-1978	1774
31-May-1978	1783
4-Jun-1978	1797
8-Jun-1978	1801
10-Jun-1978	1811
13-Jun-1978	1816
17-Jun-1978	1813
24-Jun-1978	1818
2-Jul-1978	1788
6-Jul-1978	1795
9-Jul-1978	1803
13-Jul-1978	1810
16-Jul-1978	1816
19-Jul-1978	1822
23-Jul-1978	1831
23-Sep-1979	1821
26-Sep-1979	1833
30-Sep-1979	1836
6-Oct-1979	1849
10-Oct-1979	1860
13-Oct-1979	1870
21-Oct-1979	1863
28-Oct-1979	1866
31-Oct-1979	1860
