date	rating
10-Mar-1974	1487
13-Mar-1974	1480
17-Mar-1974	1463
20-Mar-1974	1458
23-Mar-1974	1474
30-Mar-1974	1461
13-Apr-1974	1480
27-Apr-1974	1495
4-May-1974	1485
8-May-1974	1474
15-May-1974	1470
18-May-1974	1462
22-May-1974	1453
25-May-1974	1467
30-May-1974	1450
2-Jun-1974	1468
5-Jun-1974	1463
8-Jun-1974	1446
13-Jun-1974	1438
30-Sep-1979	1461
3-Oct-1979	1483
6-Oct-1979	1484
14-Oct-1979	1487
17-Oct-1979	1488
20-Oct-1979	1500
24-Oct-1979	1487
27-Oct-1979	1501
4-Nov-1979	1489
11-Nov-1979	1491
15-Nov-1979	1480
18-Nov-1979	1468
21-Nov-1979	1460
23-Nov-1979	1440
25-Nov-1979	1432
28-Nov-1979	1421
23-Feb-1980	1445
27-Feb-1980	1434
2-Mar-1980	1425
5-Mar-1980	1448
8-Mar-1980	1437
16-Mar-1980	1452
20-Mar-1980	1448
30-Mar-1980	1428
18-Jan-1981	1413
21-Jan-1981	1403
25-Jan-1981	1428
28-Jan-1981	1414
4-Feb-1981	1407
7-Feb-1981	1400
11-Feb-1981	1397
14-Feb-1981	1380
21-Feb-1981	1373
17-Jan-1982	1368
20-Jan-1982	1361
24-Jan-1982	1352
31-Jan-1982	1345
4-Feb-1982	1352
10-Feb-1982	1346
14-Feb-1982	1336
17-Feb-1982	1359
