date	rating
25-Feb-1987	1486
8-Mar-1987	1495
11-Mar-1987	1519
15-Mar-1987	1519
18-Mar-1987	1531
22-Mar-1987	1526
25-Mar-1987	1520
29-Mar-1987	1518
1-Apr-1987	1510
5-Apr-1987	1500
8-Apr-1987	1487
12-Apr-1987	1481
19-Apr-1987	1473
22-Apr-1987	1480
26-Apr-1987	1480
29-Apr-1987	1474
3-May-1987	1477
6-May-1987	1480
10-May-1987	1496
13-May-1987	1501
20-May-1987	1499
24-May-1987	1517
28-May-1987	1535
31-May-1987	1524
7-Jun-1987	1520
14-Jun-1987	1512
31-Jan-1988	1523
7-Feb-1988	1526
21-Feb-1988	1526
24-Feb-1988	1522
28-Feb-1988	1528
2-Mar-1988	1523
6-Mar-1988	1516
13-Mar-1988	1514
20-Mar-1988	1508
23-Mar-1988	1512
27-Mar-1988	1492
3-Apr-1988	1496
10-Apr-1988	1487
17-Apr-1988	1510
20-Apr-1988	1517
24-Apr-1988	1512
1-May-1988	1508
4-May-1988	1489
8-May-1988	1507
15-May-1988	1496
22-May-1988	1495
28-May-1988	1503
16-Feb-1989	1510
19-Feb-1989	1508
26-Feb-1989	1506
5-Mar-1989	1505
12-Mar-1989	1515
18-Mar-1989	1510
26-Mar-1989	1523
29-Mar-1989	1512
2-Apr-1989	1501
16-Apr-1989	1520
23-Apr-1989	1509
30-Apr-1989	1521
3-May-1989	1547
7-May-1989	1544
14-May-1989	1542
17-May-1989	1540
21-May-1989	1527
28-May-1989	1530
31-May-1989	1525
4-Jun-1989	1534
7-Jun-1989	1548
10-Jun-1989	1545
27-Jan-1990	1553
31-Jan-1990	1547
3-Feb-1990	1558
7-Feb-1990	1571
10-Feb-1990	1568
14-Feb-1990	1556
18-Feb-1990	1568
21-Feb-1990	1587
4-Mar-1990	1585
7-Mar-1990	1590
11-Mar-1990	1587
18-Mar-1990	1587
21-Mar-1990	1592
25-Mar-1990	1578
28-Mar-1990	1567
31-Mar-1990	1561
8-Apr-1990	1539
11-Apr-1990	1531
15-Apr-1990	1531
18-Apr-1990	1521
21-Apr-1990	1517
28-Apr-1990	1516
7-Aug-1991	1508
10-Aug-1991	1520
17-Aug-1991	1526
25-Aug-1991	1527
29-Aug-1991	1533
1-Sep-1991	1530
7-Sep-1991	1525
15-Sep-1991	1539
18-Sep-1991	1531
22-Sep-1991	1538
29-Sep-1991	1528
5-Oct-1991	1521
13-Oct-1991	1521
19-Oct-1991	1522
31-Oct-1991	1516
3-Nov-1991	1517
10-Nov-1991	1516
13-Nov-1991	1512
17-Nov-1991	1503
24-Nov-1991	1512
1-Dec-1991	1508
7-Dec-1991	1499
23-Aug-1992	1500
2-Sep-1992	1486
7-Sep-1992	1481
9-Sep-1992	1471
14-Sep-1992	1466
16-Sep-1992	1463
20-Sep-1992	1452
25-Sep-1992	1455
27-Sep-1992	1452
1-Oct-1992	1448
4-Oct-1992	1460
11-Oct-1992	1460
18-Oct-1992	1457
22-Oct-1992	1453
24-Oct-1992	1433
28-Oct-1992	1435
4-Nov-1992	1425
8-Nov-1992	1429
15-Nov-1992	1446
18-Nov-1992	1458
22-Nov-1992	1470
30-Nov-1992	1459
4-Dec-1992	1453
6-Dec-1992	1448
18-Apr-1993	1446
22-Apr-1993	1442
25-Apr-1993	1456
2-May-1993	1453
8-May-1993	1446
16-May-1993	1446
23-May-1993	1440
27-May-1993	1442
30-May-1993	1445
2-Jun-1993	1453
5-Jun-1993	1468
30-Jan-1994	1465
6-Feb-1994	1456
10-Feb-1994	1454
21-Feb-1994	1448
27-Feb-1994	1438
3-Mar-1994	1429
6-Mar-1994	1422
9-Mar-1994	1419
14-Mar-1994	1412
20-Mar-1994	1426
26-Mar-1994	1435
1-Feb-1995	1443
5-Feb-1995	1439
8-Feb-1995	1442
13-Feb-1995	1437
16-Feb-1995	1449
19-Feb-1995	1465
23-Feb-1995	1467
28-Feb-1995	1458
2-Mar-1995	1454
5-Mar-1995	1451
8-Mar-1995	1454
12-Mar-1995	1451
15-Mar-1995	1452
19-Mar-1995	1461
13-Mar-1996	1457
20-Mar-1996	1473
24-Mar-1996	1477
4-Apr-1996	1471
7-Apr-1996	1472
10-Apr-1996	1468
14-Apr-1996	1481
21-Apr-1996	1480
24-Apr-1996	1480
28-Apr-1996	1488
4-May-1996	1517
12-May-1996	1512
19-May-1996	1505
22-May-1996	1504
26-May-1996	1505
29-May-1996	1500
2-Jun-1996	1489
7-Jun-1996	1489
16-Jun-1996	1505
19-Jun-1996	1519
23-Jun-1996	1507
27-Jun-1996	1499
29-Jan-1997	1482
2-Feb-1997	1465
5-Feb-1997	1476
7-Feb-1997	1469
16-Feb-1997	1465
2-Mar-1997	1459
9-Mar-1997	1447
12-Mar-1997	1443
16-Mar-1997	1430
19-Mar-1997	1442
23-Mar-1997	1441
1-Feb-1998	1426
18-Feb-1998	1411
7-Mar-1999	1408
14-Mar-1999	1405
20-Mar-1999	1401
24-Mar-1999	1388
28-Mar-1999	1381
31-Mar-1999	1374
4-Apr-1999	1360
11-Apr-1999	1348
17-Apr-1999	1342
25-Apr-1999	1349
1-May-1999	1346
9-May-1999	1343
15-May-1999	1331
19-May-1999	1328
23-May-1999	1322
26-May-1999	1327
30-May-1999	1319
2-Jun-1999	1310
