date	rating
28-Jan-1990	1500
4-Feb-1990	1484
7-Feb-1990	1495
11-Feb-1990	1492
14-Feb-1990	1488
21-Feb-1990	1482
4-Mar-1990	1477
7-Mar-1990	1481
11-Mar-1990	1473
15-Mar-1990	1479
18-Mar-1990	1493
21-Mar-1990	1510
25-Mar-1990	1511
28-Mar-1990	1504
1-Apr-1990	1520
8-Apr-1990	1521
15-Apr-1990	1532
22-Apr-1990	1531
25-Apr-1990	1550
29-Apr-1990	1559
2-May-1990	1567
6-May-1990	1579
12-May-1990	1578
27-Jun-1990	1573
2-Jul-1990	1564
11-Jul-1990	1580
15-Jul-1990	1595
18-Jul-1990	1583
21-Jul-1990	1575
25-Jul-1990	1566
1-Aug-1990	1571
5-Aug-1990	1573
8-Aug-1990	1576
12-Aug-1990	1590
15-Aug-1990	1589
24-Jul-1991	1603
28-Jul-1991	1601
31-Jul-1991	1594
4-Aug-1991	1584
7-Aug-1991	1589
11-Aug-1991	1600
14-Aug-1991	1589
18-Aug-1991	1588
21-Aug-1991	1600
25-Aug-1991	1619
1-Sep-1991	1612
4-Sep-1991	1616
8-Sep-1991	1615
14-Sep-1991	1593
18-Sep-1991	1594
22-Sep-1991	1608
2-Oct-1991	1596
5-Oct-1991	1616
9-Oct-1991	1626
13-Oct-1991	1606
16-Oct-1991	1619
19-Oct-1991	1606
23-Oct-1991	1595
26-Oct-1991	1615
29-Oct-1991	1613
3-Nov-1991	1612
12-Jul-1992	1628
19-Jul-1992	1632
26-Jul-1992	1630
5-Aug-1992	1634
9-Aug-1992	1636
12-Aug-1992	1622
19-Aug-1992	1631
23-Aug-1992	1620
30-Aug-1992	1617
3-Sep-1992	1621
6-Sep-1992	1618
9-Sep-1992	1620
13-Sep-1992	1623
20-Sep-1992	1631
24-Sep-1992	1643
27-Sep-1992	1650
30-Sep-1992	1638
4-Oct-1992	1646
7-Oct-1992	1640
11-Oct-1992	1638
14-Oct-1992	1630
17-Oct-1992	1617
21-Oct-1992	1621
24-Oct-1992	1635
29-Oct-1992	1650
1-Nov-1992	1652
28-Jan-1993	1644
31-Jan-1993	1642
3-Feb-1993	1631
6-Feb-1993	1614
