date	rating
28-Feb-1971	1516
7-Mar-1971	1489
10-Mar-1971	1488
18-Mar-1971	1464
21-Mar-1971	1465
28-Mar-1971	1445
12-Apr-1978	1450
14-May-1978	1452
17-May-1978	1473
9-Jul-1978	1478
18-Jul-1978	1477
23-Jul-1978	1467
25-Mar-1981	1488
31-Mar-1981	1497
3-Apr-1981	1488
9-Apr-1981	1473
22-Apr-1981	1457
24-Apr-1981	1446
21-Mar-1984	1433
29-Mar-1984	1428
3-Apr-1984	1421
12-Apr-1984	1462
8-May-1984	1498
10-May-1984	1492
4-Mar-1994	1475
12-Mar-1994	1484
18-Mar-1994	1505
24-Mar-1994	1521
12-Apr-1994	1512
15-Apr-1994	1501
20-Apr-1994	1508
27-Apr-1994	1514
27-Jul-1994	1539
3-Aug-1994	1539
10-Aug-1994	1558
17-Aug-1994	1546
13-Mar-1996	1569
26-Mar-1996	1583
3-Apr-1996	1569
9-Apr-1996	1538
12-Apr-1996	1533
16-Apr-1996	1544
30-Apr-1996	1549
8-May-1996	1568
15-May-1996	1575
22-May-1996	1566
17-Feb-2000	1554
2-Mar-2000	1583
9-Mar-2000	1596
15-Mar-2000	1620
21-Mar-2000	1598
6-Apr-2000	1609
3-May-2000	1584
10-May-2000	1563
7-Feb-2001	1592
22-Feb-2001	1576
15-Mar-2001	1586
22-Mar-2001	1623
4-Apr-2001	1610
19-Apr-2001	1603
10-May-2001	1594
16-May-2001	1601
3-Feb-2005	1607
10-Feb-2005	1617
15-Feb-2005	1631
1-Mar-2005	1645
17-Mar-2005	1628
7-Apr-2005	1617
19-Apr-2005	1586
3-May-2005	1600
17-May-2005	1609
26-May-2005	1595
28-Jan-2010	1591
4-Feb-2010	1563
17-Feb-2011	1575
24-Feb-2011	1601
9-Mar-2011	1606
17-Mar-2011	1611
7-Apr-2011	1602
14-Apr-2011	1597
8-Feb-2012	1574
23-Feb-2012	1577
8-Mar-2012	1557
20-Mar-2012	1539
4-Apr-2012	1573
17-Apr-2012	1590
