date	rating
15-Feb-1970	1527
21-Feb-1970	1511
1-Mar-1970	1534
14-Mar-1970	1532
16-Mar-1970	1510
22-Mar-1970	1528
12-Apr-1970	1518
22-Apr-1970	1539
29-Apr-1970	1542
2-May-1970	1535
16-Feb-1975	1555
23-Feb-1975	1567
5-Mar-1975	1562
9-Mar-1975	1560
16-Mar-1975	1567
19-Mar-1975	1563
4-May-1975	1565
7-May-1975	1585
22-May-1975	1570
27-May-1975	1545
14-Mar-1976	1543
21-Mar-1976	1569
24-Mar-1976	1578
4-Apr-1976	1576
11-Apr-1976	1585
14-Apr-1976	1566
22-Apr-1976	1579
5-May-1976	1591
9-May-1976	1583
26-May-1976	1554
30-May-1976	1547
27-Jun-1978	1570
30-Jun-1978	1575
5-Jul-1978	1549
18-Jul-1978	1532
20-Jul-1978	1521
26-Jul-1978	1536
7-Mar-1982	1508
14-Mar-1982	1532
18-Aug-1982	1531
22-Aug-1982	1535
7-Sep-1982	1519
10-Sep-1982	1505
20-Feb-1991	1521
8-Mar-1991	1549
13-Mar-1991	1547
19-Mar-1991	1515
22-Mar-1991	1499
5-Apr-1991	1505
17-Apr-1991	1510
25-Apr-1991	1494
21-Feb-1999	1524
5-Mar-1999	1539
12-Mar-1999	1555
17-Mar-1999	1531
6-Apr-1999	1528
9-Apr-1999	1506
14-Apr-1999	1500
21-Apr-1999	1524
22-Feb-2000	1516
3-Mar-2000	1505
14-Mar-2000	1493
5-Apr-2000	1502
11-Apr-2000	1496
19-Apr-2000	1501
10-Feb-2004	1531
25-Feb-2004	1550
4-Mar-2004	1593
10-Mar-2004	1585
25-Mar-2004	1565
7-Apr-2004	1590
5-May-2004	1624
11-May-2004	1610
3-Feb-2005	1639
10-Feb-2005	1610
24-Feb-2005	1581
8-Mar-2005	1600
17-Mar-2005	1624
6-Apr-2005	1613
27-Apr-2005	1614
11-May-2005	1613
17-May-2005	1634
26-May-2005	1618
7-Feb-2006	1593
16-Feb-2006	1603
7-Mar-2006	1583
16-Mar-2006	1606
6-Apr-2006	1622
18-Apr-2006	1624
25-Apr-2006	1657
2-May-2006	1672
10-May-2006	1694
19-Jul-2006	1679
1-Feb-2007	1672
6-Feb-2007	1687
22-Feb-2007	1662
7-Mar-2007	1676
15-Mar-2007	1677
29-Mar-2007	1677
3-Apr-2007	1639
25-Apr-2007	1652
20-Feb-2008	1658
4-Mar-2008	1679
12-Mar-2008	1687
26-Mar-2008	1703
8-Apr-2008	1674
17-Apr-2008	1664
29-Apr-2008	1687
6-May-2008	1670
15-May-2008	1666
22-May-2008	1661
27-May-2008	1664
3-Jun-2008	1665
25-Jun-2008	1694
2-Jul-2008	1674
17-Feb-2009	1695
4-Mar-2009	1676
12-Mar-2009	1647
9-Apr-2009	1648
21-Apr-2009	1635
29-Apr-2009	1625
17-Feb-2011	1605
3-Mar-2011	1637
9-Mar-2011	1621
17-Mar-2011	1651
5-Apr-2011	1649
12-Apr-2011	1664
23-Jan-2013	1686
30-Jan-2013	1676
