date	rating
6-Oct-1979	1487
10-Oct-1979	1474
14-Oct-1979	1456
17-Oct-1979	1472
21-Oct-1979	1493
24-Oct-1979	1514
28-Oct-1979	1501
1-Nov-1979	1514
4-Nov-1979	1526
8-Nov-1979	1528
10-Nov-1979	1514
15-Nov-1979	1515
18-Nov-1979	1503
22-Nov-1979	1525
25-Nov-1979	1526
29-Nov-1979	1521
27-Jan-1985	1521
30-Jan-1985	1509
3-Feb-1985	1524
6-Feb-1985	1538
10-Feb-1985	1536
13-Feb-1985	1547
24-Feb-1985	1522
27-Feb-1985	1542
3-Mar-1985	1555
6-Mar-1985	1534
10-Mar-1985	1527
17-Mar-1985	1515
20-Mar-1985	1509
24-Mar-1985	1500
27-Mar-1985	1481
31-Mar-1985	1466
3-Apr-1985	1481
7-Apr-1985	1493
10-Apr-1985	1467
14-Apr-1985	1455
17-Apr-1985	1455
21-Apr-1985	1451
